Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
CED404F8,CED404F8,Wed Jan 31 2024 17:36:30 GMT-0700 (Mountain Standard Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri May 26 2023 19:36:30 GMT-0600 (Mountain Daylight Time),3.8,68.3,-1.5
1,Fri May 26 2023 20:36:30 GMT-0600 (Mountain Daylight Time),3.7,68.5,-1.6
2,Fri May 26 2023 21:36:30 GMT-0600 (Mountain Daylight Time),5.3,61.1,-1.6
3,Fri May 26 2023 22:36:30 GMT-0600 (Mountain Daylight Time),7,60.3,-0.1
4,Fri May 26 2023 23:36:30 GMT-0600 (Mountain Daylight Time),7.9,56.6,-0.2
5,Sat May 27 2023 00:36:30 GMT-0600 (Mountain Daylight Time),9.6,49.6,-0.4
6,Sat May 27 2023 01:36:30 GMT-0600 (Mountain Daylight Time),10.3,44.7,-1.2
7,Sat May 27 2023 02:36:30 GMT-0600 (Mountain Daylight Time),10.7,45.4,-0.6
8,Sat May 27 2023 03:36:30 GMT-0600 (Mountain Daylight Time),11,42.3,-1.3
9,Sat May 27 2023 04:36:30 GMT-0600 (Mountain Daylight Time),12.9,38,-1
10,Sat May 27 2023 05:36:30 GMT-0600 (Mountain Daylight Time),10.8,48.6,0.4
11,Sat May 27 2023 06:36:30 GMT-0600 (Mountain Daylight Time),12,43.4,0
12,Sat May 27 2023 07:36:30 GMT-0600 (Mountain Daylight Time),11.6,44,-0.2
13,Sat May 27 2023 08:36:30 GMT-0600 (Mountain Daylight Time),10.6,43.5,-1.3
14,Sat May 27 2023 09:36:30 GMT-0600 (Mountain Daylight Time),11.7,39.7,-1.5
15,Sat May 27 2023 10:36:30 GMT-0600 (Mountain Daylight Time),11.4,40.3,-1.6
16,Sat May 27 2023 11:36:30 GMT-0600 (Mountain Daylight Time),10.7,42.1,-1.6
17,Sat May 27 2023 12:36:30 GMT-0600 (Mountain Daylight Time),10.1,44.1,-1.5
18,Sat May 27 2023 13:36:30 GMT-0600 (Mountain Daylight Time),9.6,44.4,-1.9
19,Sat May 27 2023 14:36:30 GMT-0600 (Mountain Daylight Time),9.1,45.7,-2
20,Sat May 27 2023 15:36:30 GMT-0600 (Mountain Daylight Time),6.6,53.7,-2.1
21,Sat May 27 2023 16:36:30 GMT-0600 (Mountain Daylight Time),6.6,53.7,-2.1
22,Sat May 27 2023 17:36:30 GMT-0600 (Mountain Daylight Time),4.5,71.3,-0.2
23,Sat May 27 2023 18:36:30 GMT-0600 (Mountain Daylight Time),3.9,75.3,-0.1
24,Sat May 27 2023 19:36:30 GMT-0600 (Mountain Daylight Time),3.3,81.8,0.5
25,Sat May 27 2023 20:36:30 GMT-0600 (Mountain Daylight Time),3,79.9,-0.1
26,Sat May 27 2023 21:36:30 GMT-0600 (Mountain Daylight Time),4.1,81.2,1.2
27,Sat May 27 2023 22:36:30 GMT-0600 (Mountain Daylight Time),7.6,65.4,1.5
28,Sat May 27 2023 23:36:30 GMT-0600 (Mountain Daylight Time),10.9,51.4,1.3
29,Sun May 28 2023 00:36:30 GMT-0600 (Mountain Daylight Time),14,40.2,0.7
30,Sun May 28 2023 01:36:30 GMT-0600 (Mountain Daylight Time),13.8,39.9,0.4
31,Sun May 28 2023 02:36:30 GMT-0600 (Mountain Daylight Time),14.8,38.7,0.9
32,Sun May 28 2023 03:36:30 GMT-0600 (Mountain Daylight Time),13.7,42.2,1.1
33,Sun May 28 2023 04:36:30 GMT-0600 (Mountain Daylight Time),15,39.7,1.5
34,Sun May 28 2023 05:36:30 GMT-0600 (Mountain Daylight Time),14.5,39.8,1
35,Sun May 28 2023 06:36:30 GMT-0600 (Mountain Daylight Time),15.9,35.1,0.6
36,Sun May 28 2023 07:36:30 GMT-0600 (Mountain Daylight Time),15.1,37,0.6
37,Sun May 28 2023 08:36:30 GMT-0600 (Mountain Daylight Time),15.6,36,0.6
38,Sun May 28 2023 09:36:30 GMT-0600 (Mountain Daylight Time),14.3,34.9,-0.9
39,Sun May 28 2023 10:36:30 GMT-0600 (Mountain Daylight Time),13.2,37.2,-1.1
40,Sun May 28 2023 11:36:30 GMT-0600 (Mountain Daylight Time),11.3,47.9,0.7
41,Sun May 28 2023 12:36:30 GMT-0600 (Mountain Daylight Time),11.2,65.6,5
42,Sun May 28 2023 13:36:30 GMT-0600 (Mountain Daylight Time),10.6,58,2.7
43,Sun May 28 2023 14:36:30 GMT-0600 (Mountain Daylight Time),8.9,72.7,4.3
44,Sun May 28 2023 15:36:30 GMT-0600 (Mountain Daylight Time),7.6,81.6,4.7
45,Sun May 28 2023 16:36:30 GMT-0600 (Mountain Daylight Time),7.1,87.7,5.2
46,Sun May 28 2023 17:36:30 GMT-0600 (Mountain Daylight Time),6.6,91.4,5.3
47,Sun May 28 2023 18:36:30 GMT-0600 (Mountain Daylight Time),6.5,89.4,4.9
48,Sun May 28 2023 19:36:30 GMT-0600 (Mountain Daylight Time),6.5,86.1,4.4
49,Sun May 28 2023 20:36:30 GMT-0600 (Mountain Daylight Time),4.7,89.5,3.1
50,Sun May 28 2023 21:36:30 GMT-0600 (Mountain Daylight Time),5.5,88.2,3.7
51,Sun May 28 2023 22:36:30 GMT-0600 (Mountain Daylight Time),8.2,78.2,4.6
52,Sun May 28 2023 23:36:30 GMT-0600 (Mountain Daylight Time),5.9,90.3,4.4
53,Mon May 29 2023 00:36:30 GMT-0600 (Mountain Daylight Time),8,83.1,5.3
54,Mon May 29 2023 01:36:30 GMT-0600 (Mountain Daylight Time),6.7,96.4,6.2
55,Mon May 29 2023 02:36:30 GMT-0600 (Mountain Daylight Time),5.3,100,5.7
56,Mon May 29 2023 03:36:30 GMT-0600 (Mountain Daylight Time),5.3,100,5.7
57,Mon May 29 2023 04:36:30 GMT-0600 (Mountain Daylight Time),7.6,93.6,6.6
58,Mon May 29 2023 05:36:30 GMT-0600 (Mountain Daylight Time),9.3,79.5,6
59,Mon May 29 2023 06:36:30 GMT-0600 (Mountain Daylight Time),10.2,57.4,2.2
60,Mon May 29 2023 07:36:30 GMT-0600 (Mountain Daylight Time),8.4,75.7,4.4
61,Mon May 29 2023 08:36:30 GMT-0600 (Mountain Daylight Time),8.1,73.1,3.6
62,Mon May 29 2023 09:36:30 GMT-0600 (Mountain Daylight Time),7.6,71,2.7
63,Mon May 29 2023 10:36:30 GMT-0600 (Mountain Daylight Time),7.6,72,2.9
64,Mon May 29 2023 11:36:30 GMT-0600 (Mountain Daylight Time),7,75.3,2.9
65,Mon May 29 2023 12:36:30 GMT-0600 (Mountain Daylight Time),6.7,75.4,2.7
66,Mon May 29 2023 13:36:30 GMT-0600 (Mountain Daylight Time),6,83,3.3
67,Mon May 29 2023 14:36:30 GMT-0600 (Mountain Daylight Time),4.9,91.4,3.6
68,Mon May 29 2023 15:36:30 GMT-0600 (Mountain Daylight Time),4.7,91.1,3.4
69,Mon May 29 2023 16:36:30 GMT-0600 (Mountain Daylight Time),4.8,90.8,3.4
70,Mon May 29 2023 17:36:30 GMT-0600 (Mountain Daylight Time),4.2,97.4,3.8
71,Mon May 29 2023 18:36:30 GMT-0600 (Mountain Daylight Time),3.8,99.7,3.8
72,Mon May 29 2023 19:36:30 GMT-0600 (Mountain Daylight Time),3.9,96.6,3.4
73,Mon May 29 2023 20:36:30 GMT-0600 (Mountain Daylight Time),4.5,91.8,3.3
74,Mon May 29 2023 21:36:30 GMT-0600 (Mountain Daylight Time),4.1,94.4,3.3
75,Mon May 29 2023 22:36:30 GMT-0600 (Mountain Daylight Time),4.2,94.9,3.5
76,Mon May 29 2023 23:36:30 GMT-0600 (Mountain Daylight Time),4.5,99.9,4.5
77,Tue May 30 2023 00:36:30 GMT-0600 (Mountain Daylight Time),6.4,93.7,5.5
78,Tue May 30 2023 01:36:30 GMT-0600 (Mountain Daylight Time),7,90.9,5.6
79,Tue May 30 2023 02:36:30 GMT-0600 (Mountain Daylight Time),6.6,92.4,5.5
80,Tue May 30 2023 03:36:30 GMT-0600 (Mountain Daylight Time),4.6,100,4.6
81,Tue May 30 2023 04:36:30 GMT-0600 (Mountain Daylight Time),4.6,100,4.7
82,Tue May 30 2023 05:36:30 GMT-0600 (Mountain Daylight Time),5,100,5.3
83,Tue May 30 2023 06:36:30 GMT-0600 (Mountain Daylight Time),5.1,100,5.2
84,Tue May 30 2023 07:36:30 GMT-0600 (Mountain Daylight Time),6.7,100,7.2
85,Tue May 30 2023 08:36:30 GMT-0600 (Mountain Daylight Time),6.4,100,6.6
86,Tue May 30 2023 09:36:30 GMT-0600 (Mountain Daylight Time),5.7,100,6
87,Tue May 30 2023 10:36:30 GMT-0600 (Mountain Daylight Time),4.8,100,5
88,Tue May 30 2023 11:36:30 GMT-0600 (Mountain Daylight Time),4.4,100,4.6
89,Tue May 30 2023 12:36:30 GMT-0600 (Mountain Daylight Time),4.4,100,4.4
90,Tue May 30 2023 13:36:30 GMT-0600 (Mountain Daylight Time),4,100,4.2
91,Tue May 30 2023 14:36:30 GMT-0600 (Mountain Daylight Time),3.7,100,4
92,Tue May 30 2023 15:36:30 GMT-0600 (Mountain Daylight Time),3.8,98.7,3.6
93,Tue May 30 2023 16:36:30 GMT-0600 (Mountain Daylight Time),3.7,99.2,3.6
94,Tue May 30 2023 17:36:30 GMT-0600 (Mountain Daylight Time),3.7,96.5,3.2
95,Tue May 30 2023 18:36:30 GMT-0600 (Mountain Daylight Time),3.7,97.5,3.3
96,Tue May 30 2023 19:36:30 GMT-0600 (Mountain Daylight Time),3.6,94.7,2.8
97,Tue May 30 2023 20:36:30 GMT-0600 (Mountain Daylight Time),3.6,95.6,3
98,Tue May 30 2023 21:36:30 GMT-0600 (Mountain Daylight Time),3.4,92.7,2.3
99,Tue May 30 2023 22:36:30 GMT-0600 (Mountain Daylight Time),3.7,92.4,2.6
100,Tue May 30 2023 23:36:30 GMT-0600 (Mountain Daylight Time),3.9,87.1,2
101,Wed May 31 2023 00:36:30 GMT-0600 (Mountain Daylight Time),4.6,86.4,2.5
102,Wed May 31 2023 01:36:30 GMT-0600 (Mountain Daylight Time),5.7,83,3
103,Wed May 31 2023 02:36:30 GMT-0600 (Mountain Daylight Time),7.6,78.8,4.2
104,Wed May 31 2023 03:36:30 GMT-0600 (Mountain Daylight Time),8.1,73.7,3.7
105,Wed May 31 2023 04:36:30 GMT-0600 (Mountain Daylight Time),10.2,68,4.6
106,Wed May 31 2023 05:36:30 GMT-0600 (Mountain Daylight Time),9.1,66.6,3.2
107,Wed May 31 2023 06:36:30 GMT-0600 (Mountain Daylight Time),10.1,65.9,4
108,Wed May 31 2023 07:36:30 GMT-0600 (Mountain Daylight Time),8.9,70.8,3.9
109,Wed May 31 2023 08:36:30 GMT-0600 (Mountain Daylight Time),7.5,75.1,3.4
110,Wed May 31 2023 09:36:30 GMT-0600 (Mountain Daylight Time),6.7,77,3
111,Wed May 31 2023 10:36:30 GMT-0600 (Mountain Daylight Time),5.9,79.1,2.6
112,Wed May 31 2023 11:36:30 GMT-0600 (Mountain Daylight Time),5.4,81.7,2.5
113,Wed May 31 2023 12:36:30 GMT-0600 (Mountain Daylight Time),4.9,84.8,2.6
114,Wed May 31 2023 13:36:30 GMT-0600 (Mountain Daylight Time),4.9,84.9,2.6
115,Wed May 31 2023 14:36:30 GMT-0600 (Mountain Daylight Time),4.5,83.3,1.9
116,Wed May 31 2023 15:36:30 GMT-0600 (Mountain Daylight Time),4.5,83.4,1.9
117,Wed May 31 2023 16:36:30 GMT-0600 (Mountain Daylight Time),4.4,83.5,1.9
118,Wed May 31 2023 17:36:30 GMT-0600 (Mountain Daylight Time),4.1,86.5,2.1
119,Wed May 31 2023 18:36:30 GMT-0600 (Mountain Daylight Time),3.9,87.8,2.1
120,Wed May 31 2023 19:36:30 GMT-0600 (Mountain Daylight Time),4.1,86.3,2
121,Wed May 31 2023 20:36:30 GMT-0600 (Mountain Daylight Time),3.9,88,2.1
122,Wed May 31 2023 21:36:30 GMT-0600 (Mountain Daylight Time),4,87.6,2.1
123,Wed May 31 2023 22:36:30 GMT-0600 (Mountain Daylight Time),5,83.8,2.5
124,Wed May 31 2023 23:36:30 GMT-0600 (Mountain Daylight Time),8.1,70.6,3.1
125,Thu Jun 01 2023 00:36:30 GMT-0600 (Mountain Daylight Time),11.7,58.9,4
