Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
EE8448CE,EE8448CE,Wed Jan 31 2024 17:26:30 GMT-0700 (Mountain Standard Time),Not set,3600,4885,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Wed Jul 12 2023 06:26:30 GMT-0600 (Mountain Daylight Time),15.4,6,-22.1
1,Wed Jul 12 2023 07:26:30 GMT-0600 (Mountain Daylight Time),0.8,13.7,-24.1
2,Wed Jul 12 2023 08:26:30 GMT-0600 (Mountain Daylight Time),-1.7,20.1,-21.8
3,Wed Jul 12 2023 09:26:30 GMT-0600 (Mountain Daylight Time),-3.7,26.6,-20.3
4,Wed Jul 12 2023 10:26:30 GMT-0600 (Mountain Daylight Time),-4.8,31.6,-19.2
5,Wed Jul 12 2023 11:26:30 GMT-0600 (Mountain Daylight Time),-4.7,34,-18.2
6,Wed Jul 12 2023 12:26:30 GMT-0600 (Mountain Daylight Time),-3.1,30.8,-18
7,Wed Jul 12 2023 13:26:30 GMT-0600 (Mountain Daylight Time),-3.3,32.4,-17.6
8,Wed Jul 12 2023 14:26:30 GMT-0600 (Mountain Daylight Time),-3.1,33.7,-16.9
9,Wed Jul 12 2023 15:26:30 GMT-0600 (Mountain Daylight Time),-1.9,32.2,-16.4
10,Wed Jul 12 2023 16:26:30 GMT-0600 (Mountain Daylight Time),-3.1,34.5,-16.6
11,Wed Jul 12 2023 17:26:30 GMT-0600 (Mountain Daylight Time),-4.1,37.4,-16.6
12,Wed Jul 12 2023 18:26:30 GMT-0600 (Mountain Daylight Time),-4.4,41.1,-15.7
13,Wed Jul 12 2023 19:26:30 GMT-0600 (Mountain Daylight Time),-4.9,43.5,-15.5
14,Wed Jul 12 2023 20:26:30 GMT-0600 (Mountain Daylight Time),-4.8,49.6,-13.8
15,Wed Jul 12 2023 21:26:30 GMT-0600 (Mountain Daylight Time),-5.1,50.6,-13.8
16,Wed Jul 12 2023 22:26:30 GMT-0600 (Mountain Daylight Time),-6,52.6,-14.2
17,Wed Jul 12 2023 23:26:30 GMT-0600 (Mountain Daylight Time),-4.6,50.8,-13.3
18,Thu Jul 13 2023 00:26:30 GMT-0600 (Mountain Daylight Time),-2.3,45,-12.7
19,Thu Jul 13 2023 01:26:30 GMT-0600 (Mountain Daylight Time),-0.8,43.8,-11.6
20,Thu Jul 13 2023 02:26:30 GMT-0600 (Mountain Daylight Time),-0.3,42.1,-11.7
21,Thu Jul 13 2023 03:26:30 GMT-0600 (Mountain Daylight Time),0.3,44.2,-10.5
22,Thu Jul 13 2023 04:26:30 GMT-0600 (Mountain Daylight Time),-1.2,47.8,-10.9
23,Thu Jul 13 2023 05:26:30 GMT-0600 (Mountain Daylight Time),-1.6,45.4,-11.9
24,Thu Jul 13 2023 06:26:30 GMT-0600 (Mountain Daylight Time),-2.7,47.8,-12.3
25,Thu Jul 13 2023 07:26:30 GMT-0600 (Mountain Daylight Time),-3.8,53.4,-11.9
26,Thu Jul 13 2023 08:26:30 GMT-0600 (Mountain Daylight Time),-4.9,58.3,-11.9
27,Thu Jul 13 2023 09:26:30 GMT-0600 (Mountain Daylight Time),-6,62.9,-11.9
28,Thu Jul 13 2023 10:26:30 GMT-0600 (Mountain Daylight Time),-6.8,64.2,-12.5
29,Thu Jul 13 2023 11:26:30 GMT-0600 (Mountain Daylight Time),-7,57.8,-13.9
30,Thu Jul 13 2023 12:26:30 GMT-0600 (Mountain Daylight Time),-6.2,50.9,-14.8
31,Thu Jul 13 2023 13:26:30 GMT-0600 (Mountain Daylight Time),-6.6,55.6,-14
32,Thu Jul 13 2023 14:26:30 GMT-0600 (Mountain Daylight Time),-9.2,84.9,-11.3
33,Thu Jul 13 2023 15:26:30 GMT-0600 (Mountain Daylight Time),-8.8,59,-15.4
34,Thu Jul 13 2023 16:26:30 GMT-0600 (Mountain Daylight Time),-8.7,53.8,-16.4
35,Thu Jul 13 2023 17:26:30 GMT-0600 (Mountain Daylight Time),-9.1,50.5,-17.6
36,Thu Jul 13 2023 18:26:30 GMT-0600 (Mountain Daylight Time),-9.4,47.4,-18.6
37,Thu Jul 13 2023 19:26:30 GMT-0600 (Mountain Daylight Time),-8.8,37.5,-20.8
38,Thu Jul 13 2023 20:26:30 GMT-0600 (Mountain Daylight Time),-8,34.3,-21.1
39,Thu Jul 13 2023 21:26:30 GMT-0600 (Mountain Daylight Time),-7.9,26.4,-24
40,Thu Jul 13 2023 22:26:30 GMT-0600 (Mountain Daylight Time),-6.7,20.3,-25.9
41,Thu Jul 13 2023 23:26:30 GMT-0600 (Mountain Daylight Time),-5.7,28.7,-21.1
42,Fri Jul 14 2023 00:26:30 GMT-0600 (Mountain Daylight Time),-4.7,43.2,-15.4
43,Fri Jul 14 2023 01:26:30 GMT-0600 (Mountain Daylight Time),-1.6,49.5,-10.8
44,Fri Jul 14 2023 02:26:30 GMT-0600 (Mountain Daylight Time),-2.2,52.4,-10.7
