Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
F7860854,F7860854,Wed Jan 31 2024 17:17:31 GMT-0700 (Mountain Standard Time),Not set,3600,5829,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Jun 02 2023 22:17:31 GMT-0600 (Mountain Daylight Time),1.2,26.4,-16.1
1,Fri Jun 02 2023 23:17:31 GMT-0600 (Mountain Daylight Time),0.9,22.3,-18.4
2,Sat Jun 03 2023 00:17:31 GMT-0600 (Mountain Daylight Time),-2.3,27.7,-18.6
3,Sat Jun 03 2023 01:17:31 GMT-0600 (Mountain Daylight Time),-4,34.6,-17.4
4,Sat Jun 03 2023 02:17:31 GMT-0600 (Mountain Daylight Time),-5.1,38.7,-17.1
5,Sat Jun 03 2023 03:17:31 GMT-0600 (Mountain Daylight Time),-5.2,40.2,-16.7
6,Sat Jun 03 2023 04:17:31 GMT-0600 (Mountain Daylight Time),-3.7,37.9,-16
7,Sat Jun 03 2023 05:17:31 GMT-0600 (Mountain Daylight Time),-3.6,40.2,-15.2
8,Sat Jun 03 2023 06:17:31 GMT-0600 (Mountain Daylight Time),-2.8,40.8,-14.3
9,Sat Jun 03 2023 07:17:31 GMT-0600 (Mountain Daylight Time),-2.3,39.9,-14.1
10,Sat Jun 03 2023 08:17:31 GMT-0600 (Mountain Daylight Time),-3.2,42.3,-14.2
11,Sat Jun 03 2023 09:17:31 GMT-0600 (Mountain Daylight Time),-4.6,45.5,-14.6
12,Sat Jun 03 2023 10:17:31 GMT-0600 (Mountain Daylight Time),-5,49.4,-14
13,Sat Jun 03 2023 11:17:31 GMT-0600 (Mountain Daylight Time),-5.7,52.3,-14
14,Sat Jun 03 2023 12:17:31 GMT-0600 (Mountain Daylight Time),-5.2,55.8,-12.7
15,Sat Jun 03 2023 13:17:31 GMT-0600 (Mountain Daylight Time),-5.8,58.5,-12.7
16,Sat Jun 03 2023 14:17:31 GMT-0600 (Mountain Daylight Time),-6.3,60,-12.8
17,Sat Jun 03 2023 15:17:31 GMT-0600 (Mountain Daylight Time),-4.7,57.8,-11.8
18,Sat Jun 03 2023 16:17:31 GMT-0600 (Mountain Daylight Time),-2.5,52.4,-10.9
19,Sat Jun 03 2023 17:17:31 GMT-0600 (Mountain Daylight Time),-0.6,48.7,-10.1
20,Sat Jun 03 2023 18:17:31 GMT-0600 (Mountain Daylight Time),0,50.4,-9.1
21,Sat Jun 03 2023 19:17:31 GMT-0600 (Mountain Daylight Time),1,48.4,-8.7
22,Sat Jun 03 2023 20:17:31 GMT-0600 (Mountain Daylight Time),-1.6,54.6,-9.6
23,Sat Jun 03 2023 21:17:31 GMT-0600 (Mountain Daylight Time),-2.3,53.7,-10.4
24,Sat Jun 03 2023 22:17:31 GMT-0600 (Mountain Daylight Time),-3.4,59.9,-10.1
25,Sat Jun 03 2023 23:17:31 GMT-0600 (Mountain Daylight Time),-3.9,57.7,-11
26,Sun Jun 04 2023 00:17:31 GMT-0600 (Mountain Daylight Time),-5.1,64.4,-10.8
27,Sun Jun 04 2023 01:17:31 GMT-0600 (Mountain Daylight Time),-6.2,69,-11
28,Sun Jun 04 2023 02:17:31 GMT-0600 (Mountain Daylight Time),-7.4,72.6,-11.5
29,Sun Jun 04 2023 03:17:31 GMT-0600 (Mountain Daylight Time),-7.2,63.9,-12.9
30,Sun Jun 04 2023 04:17:31 GMT-0600 (Mountain Daylight Time),-6.4,60.5,-12.8
31,Sun Jun 04 2023 05:17:31 GMT-0600 (Mountain Daylight Time),-6.8,61.5,-13
32,Sun Jun 04 2023 06:17:31 GMT-0600 (Mountain Daylight Time),-8.9,74.8,-12.6
33,Sun Jun 04 2023 07:17:31 GMT-0600 (Mountain Daylight Time),-8.9,61.3,-15
34,Sun Jun 04 2023 08:17:31 GMT-0600 (Mountain Daylight Time),-8.9,56.9,-15.9
35,Sun Jun 04 2023 09:17:31 GMT-0600 (Mountain Daylight Time),-9.3,54.8,-16.8
36,Sun Jun 04 2023 10:17:31 GMT-0600 (Mountain Daylight Time),-9.5,51.8,-17.6
37,Sun Jun 04 2023 11:17:31 GMT-0600 (Mountain Daylight Time),-8.7,39.8,-20
