Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
DB41B7B9,DB41B7B9,Wed Jan 31 2024 18:15:04 GMT-0700 (Mountain Standard Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri May 26 2023 20:15:04 GMT-0600 (Mountain Daylight Time),-11,93.5,-11.8
1,Fri May 26 2023 21:15:04 GMT-0600 (Mountain Daylight Time),-6,90.1,-7.4
2,Fri May 26 2023 22:15:04 GMT-0600 (Mountain Daylight Time),0.6,57.7,-6.8
3,Fri May 26 2023 23:15:04 GMT-0600 (Mountain Daylight Time),3.6,49.1,-6.1
4,Sat May 27 2023 00:15:04 GMT-0600 (Mountain Daylight Time),4.7,41.3,-7.3
5,Sat May 27 2023 01:15:04 GMT-0600 (Mountain Daylight Time),5.8,40.6,-6.6
6,Sat May 27 2023 02:15:04 GMT-0600 (Mountain Daylight Time),6.2,38.3,-7
7,Sat May 27 2023 03:15:04 GMT-0600 (Mountain Daylight Time),6,37.3,-7.5
8,Sat May 27 2023 04:15:04 GMT-0600 (Mountain Daylight Time),6.5,35.7,-7.6
9,Sat May 27 2023 05:15:04 GMT-0600 (Mountain Daylight Time),7.8,32.3,-7.7
10,Sat May 27 2023 06:15:04 GMT-0600 (Mountain Daylight Time),5.6,35.8,-8.4
11,Sat May 27 2023 07:15:04 GMT-0600 (Mountain Daylight Time),4,39.8,-8.5
12,Sat May 27 2023 08:15:04 GMT-0600 (Mountain Daylight Time),1.1,49.2,-8.4
13,Sat May 27 2023 09:15:04 GMT-0600 (Mountain Daylight Time),-0.6,57,-8.1
14,Sat May 27 2023 10:15:04 GMT-0600 (Mountain Daylight Time),-3.1,69.5,-7.9
15,Sat May 27 2023 11:15:04 GMT-0600 (Mountain Daylight Time),-1.1,63.4,-7.2
16,Sat May 27 2023 12:15:04 GMT-0600 (Mountain Daylight Time),-4,72.2,-8.3
17,Sat May 27 2023 13:15:04 GMT-0600 (Mountain Daylight Time),-3.4,67.1,-8.6
18,Sat May 27 2023 14:15:04 GMT-0600 (Mountain Daylight Time),0.9,49.8,-8.4
19,Sat May 27 2023 15:15:04 GMT-0600 (Mountain Daylight Time),0.9,47.7,-9
20,Sat May 27 2023 16:15:04 GMT-0600 (Mountain Daylight Time),0.8,50.3,-8.4
21,Sat May 27 2023 17:15:04 GMT-0600 (Mountain Daylight Time),0.7,51,-8.3
22,Sat May 27 2023 18:15:04 GMT-0600 (Mountain Daylight Time),-0.9,57.6,-8.2
23,Sat May 27 2023 19:15:04 GMT-0600 (Mountain Daylight Time),1,48.8,-8.6
24,Sat May 27 2023 20:15:04 GMT-0600 (Mountain Daylight Time),0,51.5,-8.8
25,Sat May 27 2023 21:15:04 GMT-0600 (Mountain Daylight Time),1.5,50.1,-7.8
26,Sat May 27 2023 22:15:04 GMT-0600 (Mountain Daylight Time),3.9,43.6,-7.4
27,Sat May 27 2023 23:15:04 GMT-0600 (Mountain Daylight Time),4.2,43.7,-7.1
28,Sun May 28 2023 00:15:04 GMT-0600 (Mountain Daylight Time),5.5,40.6,-6.8
29,Sun May 28 2023 01:15:04 GMT-0600 (Mountain Daylight Time),7.8,33.7,-7.2
30,Sun May 28 2023 02:15:04 GMT-0600 (Mountain Daylight Time),9,31,-7.2
31,Sun May 28 2023 03:15:04 GMT-0600 (Mountain Daylight Time),8.8,33.1,-6.5
32,Sun May 28 2023 04:15:04 GMT-0600 (Mountain Daylight Time),9.2,31.3,-6.9
33,Sun May 28 2023 05:15:04 GMT-0600 (Mountain Daylight Time),9.7,28.8,-7.6
34,Sun May 28 2023 06:15:04 GMT-0600 (Mountain Daylight Time),7.2,39.3,-5.7
35,Sun May 28 2023 07:15:04 GMT-0600 (Mountain Daylight Time),6.2,44.3,-5.1
36,Sun May 28 2023 08:15:04 GMT-0600 (Mountain Daylight Time),3.4,51.3,-5.7
37,Sun May 28 2023 09:15:04 GMT-0600 (Mountain Daylight Time),3.3,49.7,-6.2
38,Sun May 28 2023 10:15:04 GMT-0600 (Mountain Daylight Time),0.3,64,-5.7
39,Sun May 28 2023 11:15:04 GMT-0600 (Mountain Daylight Time),4.8,41.4,-7.2
40,Sun May 28 2023 12:15:04 GMT-0600 (Mountain Daylight Time),4.3,46.1,-6.3
41,Sun May 28 2023 13:15:04 GMT-0600 (Mountain Daylight Time),3.7,51,-5.5
42,Sun May 28 2023 14:15:04 GMT-0600 (Mountain Daylight Time),2.1,62.5,-4.3
43,Sun May 28 2023 15:15:04 GMT-0600 (Mountain Daylight Time),4.9,54.3,-3.5
44,Sun May 28 2023 16:15:04 GMT-0600 (Mountain Daylight Time),5.4,53,-3.4
45,Sun May 28 2023 17:15:04 GMT-0600 (Mountain Daylight Time),4.7,57.4,-3
46,Sun May 28 2023 18:15:04 GMT-0600 (Mountain Daylight Time),4.4,58.4,-3
47,Sun May 28 2023 19:15:04 GMT-0600 (Mountain Daylight Time),4.8,56.7,-3.1
48,Sun May 28 2023 20:15:04 GMT-0600 (Mountain Daylight Time),4.8,56.5,-3.1
49,Sun May 28 2023 21:15:04 GMT-0600 (Mountain Daylight Time),5.5,54.6,-2.9
50,Sun May 28 2023 22:15:04 GMT-0600 (Mountain Daylight Time),6.3,54.6,-2.2
51,Sun May 28 2023 23:15:04 GMT-0600 (Mountain Daylight Time),7.7,55,-0.8
52,Mon May 29 2023 00:15:04 GMT-0600 (Mountain Daylight Time),9.5,45.5,-1.7
53,Mon May 29 2023 01:15:04 GMT-0600 (Mountain Daylight Time),9.3,45.9,-1.7
54,Mon May 29 2023 02:15:04 GMT-0600 (Mountain Daylight Time),10.2,43.5,-1.6
55,Mon May 29 2023 03:15:04 GMT-0600 (Mountain Daylight Time),11.3,39.6,-1.9
56,Mon May 29 2023 04:15:04 GMT-0600 (Mountain Daylight Time),11.7,40.1,-1.4
