Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Ben10,C178DEB4,Wed Jul 19 2023 13:55:42 GMT-0600 (Mountain Daylight Time),Not set,3600,3337,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Thu Mar 02 2023 12:55:42 GMT-0700 (Mountain Standard Time),1.9,28.1,-14.7
1,Thu Mar 02 2023 13:55:42 GMT-0700 (Mountain Standard Time),1.8,22.8,-17.3
2,Thu Mar 02 2023 14:55:42 GMT-0700 (Mountain Standard Time),1.9,22.2,-17.5
3,Thu Mar 02 2023 15:55:42 GMT-0700 (Mountain Standard Time),1.2,24.5,-17
4,Thu Mar 02 2023 16:55:42 GMT-0700 (Mountain Standard Time),1.7,21.5,-18.1
5,Thu Mar 02 2023 17:55:42 GMT-0700 (Mountain Standard Time),-2.2,28,-18.3
6,Thu Mar 02 2023 18:55:42 GMT-0700 (Mountain Standard Time),-4.3,34.4,-17.7
7,Thu Mar 02 2023 19:55:42 GMT-0700 (Mountain Standard Time),-5.4,39.5,-17.1
8,Thu Mar 02 2023 20:55:42 GMT-0700 (Mountain Standard Time),-5.4,41.7,-16.4
9,Thu Mar 02 2023 21:55:42 GMT-0700 (Mountain Standard Time),-4.7,41.7,-15.8
10,Thu Mar 02 2023 22:55:42 GMT-0700 (Mountain Standard Time),-4.4,42,-15.4
11,Thu Mar 02 2023 23:55:42 GMT-0700 (Mountain Standard Time),-4.5,41.6,-15.6
12,Fri Mar 03 2023 00:55:42 GMT-0700 (Mountain Standard Time),-4,42.5,-14.9
13,Fri Mar 03 2023 01:55:42 GMT-0700 (Mountain Standard Time),-3.3,42.4,-14.3
14,Fri Mar 03 2023 02:55:42 GMT-0700 (Mountain Standard Time),-4.7,45.9,-14.6
15,Fri Mar 03 2023 03:55:42 GMT-0700 (Mountain Standard Time),-5,49.8,-13.9
16,Fri Mar 03 2023 04:55:42 GMT-0700 (Mountain Standard Time),-6.1,53,-14.2
17,Fri Mar 03 2023 05:55:42 GMT-0700 (Mountain Standard Time),-5.9,56.7,-13.1
18,Fri Mar 03 2023 06:55:42 GMT-0700 (Mountain Standard Time),-7,60.9,-13.3
19,Fri Mar 03 2023 07:55:42 GMT-0700 (Mountain Standard Time),-6.5,61.5,-12.7
20,Fri Mar 03 2023 08:55:42 GMT-0700 (Mountain Standard Time),-4.6,58.5,-11.5
21,Fri Mar 03 2023 09:55:42 GMT-0700 (Mountain Standard Time),-1.2,49,-10.6
22,Fri Mar 03 2023 10:55:42 GMT-0700 (Mountain Standard Time),3.1,43.8,-8
23,Fri Mar 03 2023 11:55:42 GMT-0700 (Mountain Standard Time),0.2,47.7,-9.6
24,Fri Mar 03 2023 12:55:42 GMT-0700 (Mountain Standard Time),2.4,43.2,-8.9
25,Fri Mar 03 2023 13:55:42 GMT-0700 (Mountain Standard Time),0.9,50.8,-8.2
26,Fri Mar 03 2023 14:55:42 GMT-0700 (Mountain Standard Time),-0.4,49,-9.8
27,Fri Mar 03 2023 15:55:42 GMT-0700 (Mountain Standard Time),-1.6,56.3,-9.2
28,Fri Mar 03 2023 16:55:42 GMT-0700 (Mountain Standard Time),-2.8,55.4,-10.5
29,Fri Mar 03 2023 17:55:42 GMT-0700 (Mountain Standard Time),-4.2,62.1,-10.4
30,Fri Mar 03 2023 18:55:42 GMT-0700 (Mountain Standard Time),-6.2,71.1,-10.6
31,Fri Mar 03 2023 19:55:42 GMT-0700 (Mountain Standard Time),-7,72.7,-11.1
32,Fri Mar 03 2023 20:55:42 GMT-0700 (Mountain Standard Time),-7.3,64.4,-12.9
33,Fri Mar 03 2023 21:55:42 GMT-0700 (Mountain Standard Time),-5.8,61.2,-12.1
34,Fri Mar 03 2023 22:55:42 GMT-0700 (Mountain Standard Time),-6.2,61,-12.5
35,Fri Mar 03 2023 23:55:42 GMT-0700 (Mountain Standard Time),-8.4,75.1,-12
36,Sat Mar 04 2023 00:55:42 GMT-0700 (Mountain Standard Time),-9.8,68.5,-14.5
37,Sat Mar 04 2023 01:55:42 GMT-0700 (Mountain Standard Time),-8.8,58,-15.6
38,Sat Mar 04 2023 02:55:42 GMT-0700 (Mountain Standard Time),-9.1,56.3,-16.2
39,Sat Mar 04 2023 03:55:42 GMT-0700 (Mountain Standard Time),-9.8,55.4,-17.1
40,Sat Mar 04 2023 04:55:42 GMT-0700 (Mountain Standard Time),-8.7,43.3,-19
41,Sat Mar 04 2023 05:55:42 GMT-0700 (Mountain Standard Time),-8.1,41.8,-18.9
42,Sat Mar 04 2023 06:55:42 GMT-0700 (Mountain Standard Time),-8.3,34.1,-21.4
43,Sat Mar 04 2023 07:55:42 GMT-0700 (Mountain Standard Time),-7.7,32.2,-21.6
44,Sat Mar 04 2023 08:55:42 GMT-0700 (Mountain Standard Time),-5.3,30.4,-20.1
45,Sat Mar 04 2023 09:55:42 GMT-0700 (Mountain Standard Time),-2.2,46.4,-12.2
46,Sat Mar 04 2023 10:55:42 GMT-0700 (Mountain Standard Time),-2.5,56.2,-10
47,Sat Mar 04 2023 11:55:42 GMT-0700 (Mountain Standard Time),-2,59,-9
48,Sat Mar 04 2023 12:55:42 GMT-0700 (Mountain Standard Time),-1.3,56.7,-8.8
49,Sat Mar 04 2023 13:55:42 GMT-0700 (Mountain Standard Time),-1.1,59,-8.1
50,Sat Mar 04 2023 14:55:42 GMT-0700 (Mountain Standard Time),-2.6,63.6,-8.6
51,Sat Mar 04 2023 15:55:42 GMT-0700 (Mountain Standard Time),-2.4,67,-7.7
52,Sat Mar 04 2023 16:55:42 GMT-0700 (Mountain Standard Time),-4,70.8,-8.5
53,Sat Mar 04 2023 17:55:42 GMT-0700 (Mountain Standard Time),-4.9,76.1,-8.5
54,Sat Mar 04 2023 18:55:42 GMT-0700 (Mountain Standard Time),-6,84.3,-8.2
55,Sat Mar 04 2023 19:55:42 GMT-0700 (Mountain Standard Time),-6.5,90.9,-7.7
56,Sat Mar 04 2023 20:55:42 GMT-0700 (Mountain Standard Time),-6.5,94.3,-7.3
57,Sat Mar 04 2023 21:55:42 GMT-0700 (Mountain Standard Time),-6.5,94.9,-7.2
58,Sat Mar 04 2023 22:55:42 GMT-0700 (Mountain Standard Time),-6.3,95,-7
59,Sat Mar 04 2023 23:55:42 GMT-0700 (Mountain Standard Time),-1.9,69.7,-6.7
60,Sun Mar 05 2023 00:55:42 GMT-0700 (Mountain Standard Time),-3.3,77.3,-6.7
61,Sun Mar 05 2023 01:55:42 GMT-0700 (Mountain Standard Time),-1.6,58,-8.8
62,Sun Mar 05 2023 02:55:42 GMT-0700 (Mountain Standard Time),-2.9,67.7,-8
63,Sun Mar 05 2023 03:55:42 GMT-0700 (Mountain Standard Time),-5.7,88.2,-7.3
64,Sun Mar 05 2023 04:55:42 GMT-0700 (Mountain Standard Time),-5.9,89.5,-7.3
65,Sun Mar 05 2023 05:55:42 GMT-0700 (Mountain Standard Time),-6.3,90.7,-7.6
66,Sun Mar 05 2023 06:55:42 GMT-0700 (Mountain Standard Time),-3.7,61.8,-10
67,Sun Mar 05 2023 07:55:42 GMT-0700 (Mountain Standard Time),-2,51.1,-10.8
68,Sun Mar 05 2023 08:55:42 GMT-0700 (Mountain Standard Time),-0.5,44.5,-11.1
69,Sun Mar 05 2023 09:55:42 GMT-0700 (Mountain Standard Time),0.6,46.9,-9.5
70,Sun Mar 05 2023 10:55:42 GMT-0700 (Mountain Standard Time),3.5,35.2,-10.5
71,Sun Mar 05 2023 11:55:42 GMT-0700 (Mountain Standard Time),1.3,49.1,-8.2
72,Sun Mar 05 2023 12:55:42 GMT-0700 (Mountain Standard Time),-1.4,67.9,-6.6
73,Sun Mar 05 2023 13:55:42 GMT-0700 (Mountain Standard Time),-2.7,86.4,-4.7
74,Sun Mar 05 2023 14:55:42 GMT-0700 (Mountain Standard Time),-2.6,73.7,-6.7
75,Sun Mar 05 2023 15:55:42 GMT-0700 (Mountain Standard Time),-3.8,64.4,-9.5
76,Sun Mar 05 2023 16:55:42 GMT-0700 (Mountain Standard Time),-5.5,79.3,-8.5
77,Sun Mar 05 2023 17:55:42 GMT-0700 (Mountain Standard Time),-6.1,78.6,-9.2
78,Sun Mar 05 2023 18:55:42 GMT-0700 (Mountain Standard Time),-7.2,84.5,-9.4
79,Sun Mar 05 2023 19:55:42 GMT-0700 (Mountain Standard Time),-7.1,84.3,-9.3
80,Sun Mar 05 2023 20:55:42 GMT-0700 (Mountain Standard Time),-7.2,88.1,-8.8
81,Sun Mar 05 2023 21:55:42 GMT-0700 (Mountain Standard Time),-7.4,84.6,-9.6
82,Sun Mar 05 2023 22:55:42 GMT-0700 (Mountain Standard Time),-8.4,85.3,-10.4
83,Sun Mar 05 2023 23:55:42 GMT-0700 (Mountain Standard Time),-8,87,-9.8
84,Mon Mar 06 2023 00:55:42 GMT-0700 (Mountain Standard Time),-9.3,91.2,-10.5
85,Mon Mar 06 2023 01:55:42 GMT-0700 (Mountain Standard Time),-11.1,91.2,-12.3
86,Mon Mar 06 2023 02:55:42 GMT-0700 (Mountain Standard Time),-12.2,91.1,-13.4
87,Mon Mar 06 2023 03:55:42 GMT-0700 (Mountain Standard Time),-13,89.4,-14.4
88,Mon Mar 06 2023 04:55:42 GMT-0700 (Mountain Standard Time),-12.7,89.3,-14.1
89,Mon Mar 06 2023 05:55:42 GMT-0700 (Mountain Standard Time),-12.3,90.4,-13.6
90,Mon Mar 06 2023 06:55:42 GMT-0700 (Mountain Standard Time),-12.7,89.9,-14
91,Mon Mar 06 2023 07:55:42 GMT-0700 (Mountain Standard Time),-9.8,87.3,-11.5
92,Mon Mar 06 2023 08:55:42 GMT-0700 (Mountain Standard Time),-5.6,70.6,-10.1
93,Mon Mar 06 2023 09:55:42 GMT-0700 (Mountain Standard Time),-2.3,62.6,-8.5
94,Mon Mar 06 2023 10:55:42 GMT-0700 (Mountain Standard Time),-1.1,49.1,-10.5
95,Mon Mar 06 2023 11:55:42 GMT-0700 (Mountain Standard Time),-0.1,48.1,-9.8
96,Mon Mar 06 2023 12:55:42 GMT-0700 (Mountain Standard Time),-0.2,50.2,-9.3
97,Mon Mar 06 2023 13:55:42 GMT-0700 (Mountain Standard Time),-0.5,46.6,-10.6
98,Mon Mar 06 2023 14:55:42 GMT-0700 (Mountain Standard Time),-0.9,48.7,-10.4
99,Mon Mar 06 2023 15:55:42 GMT-0700 (Mountain Standard Time),-1.7,55.9,-9.4
100,Mon Mar 06 2023 16:55:42 GMT-0700 (Mountain Standard Time),-2.2,59.5,-9
101,Mon Mar 06 2023 17:55:42 GMT-0700 (Mountain Standard Time),-3.9,67.5,-9
102,Mon Mar 06 2023 18:55:42 GMT-0700 (Mountain Standard Time),-6.6,79.2,-9.6
103,Mon Mar 06 2023 19:55:42 GMT-0700 (Mountain Standard Time),-7.6,83.3,-9.9
104,Mon Mar 06 2023 20:55:42 GMT-0700 (Mountain Standard Time),-7.3,87.5,-9
