Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Ben8,F415DE5C,Wed Jul 19 2023 14:02:09 GMT-0600 (Mountain Daylight Time),Not set,900,10609,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Mar 31 2023 02:02:09 GMT-0600 (Mountain Daylight Time),2.1,39.6,-10.2
1,Fri Mar 31 2023 02:17:09 GMT-0600 (Mountain Daylight Time),2.4,38.8,-10.2
2,Fri Mar 31 2023 02:32:09 GMT-0600 (Mountain Daylight Time),1.8,40.9,-10.1
3,Fri Mar 31 2023 02:47:09 GMT-0600 (Mountain Daylight Time),0.3,46.4,-9.9
4,Fri Mar 31 2023 03:02:09 GMT-0600 (Mountain Daylight Time),0.4,49.9,-8.9
5,Fri Mar 31 2023 03:17:09 GMT-0600 (Mountain Daylight Time),0.2,52.8,-8.3
6,Fri Mar 31 2023 03:32:09 GMT-0600 (Mountain Daylight Time),0.1,54.7,-8
7,Fri Mar 31 2023 03:47:09 GMT-0600 (Mountain Daylight Time),-0.2,57.1,-7.7
8,Fri Mar 31 2023 04:02:09 GMT-0600 (Mountain Daylight Time),-0.2,59,-7.3
9,Fri Mar 31 2023 04:17:09 GMT-0600 (Mountain Daylight Time),-0.4,60.2,-7.2
10,Fri Mar 31 2023 04:32:09 GMT-0600 (Mountain Daylight Time),-0.4,59.2,-7.4
11,Fri Mar 31 2023 04:47:09 GMT-0600 (Mountain Daylight Time),-0.5,60.5,-7.2
12,Fri Mar 31 2023 05:02:09 GMT-0600 (Mountain Daylight Time),-0.9,62.5,-7.2
13,Fri Mar 31 2023 05:17:09 GMT-0600 (Mountain Daylight Time),-1,64,-7
14,Fri Mar 31 2023 05:32:09 GMT-0600 (Mountain Daylight Time),-1.2,64.9,-7
15,Fri Mar 31 2023 05:47:09 GMT-0600 (Mountain Daylight Time),-1.2,66.9,-6.6
16,Fri Mar 31 2023 06:02:09 GMT-0600 (Mountain Daylight Time),-1.5,67.7,-6.7
17,Fri Mar 31 2023 06:17:09 GMT-0600 (Mountain Daylight Time),-1.7,68,-6.8
18,Fri Mar 31 2023 06:32:09 GMT-0600 (Mountain Daylight Time),-1.8,68.6,-6.8
19,Fri Mar 31 2023 06:47:09 GMT-0600 (Mountain Daylight Time),-2,68.4,-7
20,Fri Mar 31 2023 07:02:09 GMT-0600 (Mountain Daylight Time),-2.3,70.1,-7
21,Fri Mar 31 2023 07:17:09 GMT-0600 (Mountain Daylight Time),-2.4,71.3,-6.9
22,Fri Mar 31 2023 07:32:09 GMT-0600 (Mountain Daylight Time),-2.3,72.1,-6.6
23,Fri Mar 31 2023 07:47:09 GMT-0600 (Mountain Daylight Time),-2.7,75.2,-6.5
24,Fri Mar 31 2023 08:02:09 GMT-0600 (Mountain Daylight Time),-3.1,76.7,-6.6
25,Fri Mar 31 2023 08:17:09 GMT-0600 (Mountain Daylight Time),-3.1,76.3,-6.7
26,Fri Mar 31 2023 08:32:09 GMT-0600 (Mountain Daylight Time),-3.2,75.3,-7
27,Fri Mar 31 2023 08:47:09 GMT-0600 (Mountain Daylight Time),-3.4,75.6,-7.1
28,Fri Mar 31 2023 09:02:09 GMT-0600 (Mountain Daylight Time),-3.2,72.6,-7.4
29,Fri Mar 31 2023 09:17:09 GMT-0600 (Mountain Daylight Time),-3,69.6,-7.8
30,Fri Mar 31 2023 09:32:09 GMT-0600 (Mountain Daylight Time),-2.7,64.3,-8.5
31,Fri Mar 31 2023 09:47:09 GMT-0600 (Mountain Daylight Time),-1.7,57.4,-9
32,Fri Mar 31 2023 10:02:09 GMT-0600 (Mountain Daylight Time),-1.7,57.2,-9.1
33,Fri Mar 31 2023 10:17:09 GMT-0600 (Mountain Daylight Time),-2,58.1,-9.2
34,Fri Mar 31 2023 10:32:09 GMT-0600 (Mountain Daylight Time),-2.6,61.1,-9.1
35,Fri Mar 31 2023 10:47:09 GMT-0600 (Mountain Daylight Time),-2.1,60.5,-8.7
36,Fri Mar 31 2023 11:02:09 GMT-0600 (Mountain Daylight Time),-2.1,62,-8.4
37,Fri Mar 31 2023 11:17:09 GMT-0600 (Mountain Daylight Time),-4,73.3,-8.1
38,Fri Mar 31 2023 11:32:09 GMT-0600 (Mountain Daylight Time),-6.1,79.1,-9.1
39,Fri Mar 31 2023 11:47:09 GMT-0600 (Mountain Daylight Time),-7,84.1,-9.2
40,Fri Mar 31 2023 12:02:09 GMT-0600 (Mountain Daylight Time),-7.6,86.8,-9.4
41,Fri Mar 31 2023 12:17:09 GMT-0600 (Mountain Daylight Time),-7.9,87.4,-9.6
42,Fri Mar 31 2023 12:32:09 GMT-0600 (Mountain Daylight Time),-8.5,87.3,-10.2
43,Fri Mar 31 2023 12:47:09 GMT-0600 (Mountain Daylight Time),-8.9,87.4,-10.6
44,Fri Mar 31 2023 13:02:09 GMT-0600 (Mountain Daylight Time),-9.1,88,-10.7
45,Fri Mar 31 2023 13:17:09 GMT-0600 (Mountain Daylight Time),-9.1,88.2,-10.7
46,Fri Mar 31 2023 13:32:09 GMT-0600 (Mountain Daylight Time),-9.3,88.1,-10.9
47,Fri Mar 31 2023 13:47:09 GMT-0600 (Mountain Daylight Time),-9.7,87.9,-11.3
48,Fri Mar 31 2023 14:02:09 GMT-0600 (Mountain Daylight Time),-9.9,87.8,-11.5
49,Fri Mar 31 2023 14:17:09 GMT-0600 (Mountain Daylight Time),-10.1,87.8,-11.7
50,Fri Mar 31 2023 14:32:09 GMT-0600 (Mountain Daylight Time),-10.4,87.6,-12.1
51,Fri Mar 31 2023 14:47:09 GMT-0600 (Mountain Daylight Time),-10.9,87,-12.6
52,Fri Mar 31 2023 15:02:09 GMT-0600 (Mountain Daylight Time),-11.6,86.8,-13.4
53,Fri Mar 31 2023 15:17:09 GMT-0600 (Mountain Daylight Time),-11.8,86.7,-13.6
54,Fri Mar 31 2023 15:32:09 GMT-0600 (Mountain Daylight Time),-12.1,86.5,-13.9
55,Fri Mar 31 2023 15:47:09 GMT-0600 (Mountain Daylight Time),-12.1,86.3,-13.9
56,Fri Mar 31 2023 16:02:09 GMT-0600 (Mountain Daylight Time),-11.9,86.8,-13.7
57,Fri Mar 31 2023 16:17:09 GMT-0600 (Mountain Daylight Time),-11.8,86.9,-13.5
58,Fri Mar 31 2023 16:32:09 GMT-0600 (Mountain Daylight Time),-11.8,87,-13.5
59,Fri Mar 31 2023 16:47:09 GMT-0600 (Mountain Daylight Time),-11.9,86.9,-13.6
60,Fri Mar 31 2023 17:02:09 GMT-0600 (Mountain Daylight Time),-11.9,86.9,-13.6
61,Fri Mar 31 2023 17:17:09 GMT-0600 (Mountain Daylight Time),-12,86.7,-13.8
62,Fri Mar 31 2023 17:32:09 GMT-0600 (Mountain Daylight Time),-12.1,86.8,-13.9
63,Fri Mar 31 2023 17:47:09 GMT-0600 (Mountain Daylight Time),-12.1,86.7,-13.9
64,Fri Mar 31 2023 18:02:09 GMT-0600 (Mountain Daylight Time),-12.2,86.7,-14
65,Fri Mar 31 2023 18:17:09 GMT-0600 (Mountain Daylight Time),-12.2,86.9,-13.9
66,Fri Mar 31 2023 18:32:09 GMT-0600 (Mountain Daylight Time),-12.2,86.8,-14
67,Fri Mar 31 2023 18:47:09 GMT-0600 (Mountain Daylight Time),-12.4,86.7,-14.2
68,Fri Mar 31 2023 19:02:09 GMT-0600 (Mountain Daylight Time),-12.7,86.3,-14.5
69,Fri Mar 31 2023 19:17:09 GMT-0600 (Mountain Daylight Time),-12.8,86.4,-14.6
70,Fri Mar 31 2023 19:32:09 GMT-0600 (Mountain Daylight Time),-12.9,86.2,-14.7
71,Fri Mar 31 2023 19:47:09 GMT-0600 (Mountain Daylight Time),-13.2,85.9,-15.1
72,Fri Mar 31 2023 20:02:09 GMT-0600 (Mountain Daylight Time),-13.3,86,-15.2
73,Fri Mar 31 2023 20:17:09 GMT-0600 (Mountain Daylight Time),-13.2,86,-15.1
74,Fri Mar 31 2023 20:32:09 GMT-0600 (Mountain Daylight Time),-13.3,85.9,-15.2
75,Fri Mar 31 2023 20:47:09 GMT-0600 (Mountain Daylight Time),-13.5,85.6,-15.4
76,Fri Mar 31 2023 21:02:09 GMT-0600 (Mountain Daylight Time),-13.7,85.4,-15.6
77,Fri Mar 31 2023 21:17:09 GMT-0600 (Mountain Daylight Time),-13.8,85.5,-15.7
78,Fri Mar 31 2023 21:32:09 GMT-0600 (Mountain Daylight Time),-13.9,85.5,-15.8
79,Fri Mar 31 2023 21:47:09 GMT-0600 (Mountain Daylight Time),-13.8,85.3,-15.7
80,Fri Mar 31 2023 22:02:09 GMT-0600 (Mountain Daylight Time),-13.9,85.1,-15.9
81,Fri Mar 31 2023 22:17:09 GMT-0600 (Mountain Daylight Time),-13.8,85.4,-15.7
82,Fri Mar 31 2023 22:32:09 GMT-0600 (Mountain Daylight Time),-13.7,85.5,-15.6
83,Fri Mar 31 2023 22:47:09 GMT-0600 (Mountain Daylight Time),-13.6,85.5,-15.5
84,Fri Mar 31 2023 23:02:09 GMT-0600 (Mountain Daylight Time),-13.6,85.3,-15.5
85,Fri Mar 31 2023 23:17:09 GMT-0600 (Mountain Daylight Time),-13.4,85.4,-15.3
86,Fri Mar 31 2023 23:32:09 GMT-0600 (Mountain Daylight Time),-13.3,85.2,-15.3
87,Fri Mar 31 2023 23:47:09 GMT-0600 (Mountain Daylight Time),-12.9,85.2,-14.9
88,Sat Apr 01 2023 00:02:09 GMT-0600 (Mountain Daylight Time),-12.4,84.5,-14.5
89,Sat Apr 01 2023 00:17:09 GMT-0600 (Mountain Daylight Time),-12.6,84.3,-14.7
90,Sat Apr 01 2023 00:32:09 GMT-0600 (Mountain Daylight Time),-12.2,83.9,-14.4
91,Sat Apr 01 2023 00:47:09 GMT-0600 (Mountain Daylight Time),-12.1,83.3,-14.4
92,Sat Apr 01 2023 01:02:09 GMT-0600 (Mountain Daylight Time),-12.4,82.9,-14.7
93,Sat Apr 01 2023 01:17:09 GMT-0600 (Mountain Daylight Time),-12.3,83.7,-14.5
94,Sat Apr 01 2023 01:32:09 GMT-0600 (Mountain Daylight Time),-11.9,83.1,-14.2
95,Sat Apr 01 2023 01:47:09 GMT-0600 (Mountain Daylight Time),-10.4,81.3,-13
96,Sat Apr 01 2023 02:02:09 GMT-0600 (Mountain Daylight Time),-10.3,80,-13.1
97,Sat Apr 01 2023 02:17:09 GMT-0600 (Mountain Daylight Time),-10.5,81.6,-13
98,Sat Apr 01 2023 02:32:09 GMT-0600 (Mountain Daylight Time),-9.8,82.2,-12.3
99,Sat Apr 01 2023 02:47:09 GMT-0600 (Mountain Daylight Time),-10.4,80.3,-13.2
100,Sat Apr 01 2023 03:02:09 GMT-0600 (Mountain Daylight Time),-10.7,81.1,-13.3
101,Sat Apr 01 2023 03:17:09 GMT-0600 (Mountain Daylight Time),-11,80.4,-13.7
102,Sat Apr 01 2023 03:32:09 GMT-0600 (Mountain Daylight Time),-10.4,79,-13.4
103,Sat Apr 01 2023 03:47:09 GMT-0600 (Mountain Daylight Time),-10.2,79.2,-13.1
104,Sat Apr 01 2023 04:02:09 GMT-0600 (Mountain Daylight Time),-8.4,68.6,-13.2
105,Sat Apr 01 2023 04:17:09 GMT-0600 (Mountain Daylight Time),-8,65.3,-13.4
106,Sat Apr 01 2023 04:32:09 GMT-0600 (Mountain Daylight Time),-8.2,60.8,-14.5
107,Sat Apr 01 2023 04:47:09 GMT-0600 (Mountain Daylight Time),-8.6,56.1,-15.8
108,Sat Apr 01 2023 05:02:09 GMT-0600 (Mountain Daylight Time),-10,55.9,-17.2
109,Sat Apr 01 2023 05:17:09 GMT-0600 (Mountain Daylight Time),-10.1,52.7,-18
110,Sat Apr 01 2023 05:32:09 GMT-0600 (Mountain Daylight Time),-10.4,54.3,-17.9
111,Sat Apr 01 2023 05:47:09 GMT-0600 (Mountain Daylight Time),-10.9,58.9,-17.4
112,Sat Apr 01 2023 06:02:09 GMT-0600 (Mountain Daylight Time),-10.9,57.6,-17.7
113,Sat Apr 01 2023 06:17:09 GMT-0600 (Mountain Daylight Time),-10.9,56.1,-18
114,Sat Apr 01 2023 06:32:09 GMT-0600 (Mountain Daylight Time),-11.1,56,-18.2
115,Sat Apr 01 2023 06:47:09 GMT-0600 (Mountain Daylight Time),-11.3,59.5,-17.7
116,Sat Apr 01 2023 07:02:09 GMT-0600 (Mountain Daylight Time),-11.2,63.6,-16.8
117,Sat Apr 01 2023 07:17:09 GMT-0600 (Mountain Daylight Time),-11.4,63.4,-17
118,Sat Apr 01 2023 07:32:09 GMT-0600 (Mountain Daylight Time),-11.5,60.3,-17.7
119,Sat Apr 01 2023 07:47:09 GMT-0600 (Mountain Daylight Time),-11.6,58.5,-18.2
120,Sat Apr 01 2023 08:02:09 GMT-0600 (Mountain Daylight Time),-11.6,59.6,-17.9
121,Sat Apr 01 2023 08:17:09 GMT-0600 (Mountain Daylight Time),-11.7,60.9,-17.8
122,Sat Apr 01 2023 08:32:09 GMT-0600 (Mountain Daylight Time),-12,61.7,-17.9
123,Sat Apr 01 2023 08:47:09 GMT-0600 (Mountain Daylight Time),-11.7,64.3,-17.1
124,Sat Apr 01 2023 09:02:09 GMT-0600 (Mountain Daylight Time),-12.4,65.3,-17.6
125,Sat Apr 01 2023 09:17:09 GMT-0600 (Mountain Daylight Time),-11.9,64,-17.4
126,Sat Apr 01 2023 09:32:09 GMT-0600 (Mountain Daylight Time),-11.5,62.6,-17.2
127,Sat Apr 01 2023 09:47:09 GMT-0600 (Mountain Daylight Time),-11.1,61.6,-17.1
128,Sat Apr 01 2023 10:02:09 GMT-0600 (Mountain Daylight Time),-11.3,60.8,-17.4
129,Sat Apr 01 2023 10:17:09 GMT-0600 (Mountain Daylight Time),-11.5,60.1,-17.7
130,Sat Apr 01 2023 10:32:09 GMT-0600 (Mountain Daylight Time),-11,56.7,-18
131,Sat Apr 01 2023 10:47:09 GMT-0600 (Mountain Daylight Time),-11.2,56.1,-18.3
132,Sat Apr 01 2023 11:02:09 GMT-0600 (Mountain Daylight Time),-11.4,55.8,-18.5
133,Sat Apr 01 2023 11:17:09 GMT-0600 (Mountain Daylight Time),-11.1,55.1,-18.4
134,Sat Apr 01 2023 11:32:09 GMT-0600 (Mountain Daylight Time),-10.9,54.5,-18.3
135,Sat Apr 01 2023 11:47:09 GMT-0600 (Mountain Daylight Time),-10.9,54.4,-18.4
136,Sat Apr 01 2023 12:02:09 GMT-0600 (Mountain Daylight Time),-10.9,53.9,-18.5
137,Sat Apr 01 2023 12:17:09 GMT-0600 (Mountain Daylight Time),-10.7,53.3,-18.4
138,Sat Apr 01 2023 12:32:09 GMT-0600 (Mountain Daylight Time),-11,52.8,-18.8
139,Sat Apr 01 2023 12:47:09 GMT-0600 (Mountain Daylight Time),-10.3,50.7,-18.6
140,Sat Apr 01 2023 13:02:09 GMT-0600 (Mountain Daylight Time),-10.3,48.5,-19.2
141,Sat Apr 01 2023 13:17:09 GMT-0600 (Mountain Daylight Time),-10.7,49.3,-19.3
142,Sat Apr 01 2023 13:32:09 GMT-0600 (Mountain Daylight Time),-9.8,47.1,-19
143,Sat Apr 01 2023 13:47:09 GMT-0600 (Mountain Daylight Time),-10.4,48.3,-19.3
144,Sat Apr 01 2023 14:02:09 GMT-0600 (Mountain Daylight Time),-10.3,48.2,-19.2
145,Sat Apr 01 2023 14:17:09 GMT-0600 (Mountain Daylight Time),-10.6,48.4,-19.5
