Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
D960CB85,D960CB85,Fri Jun 14 2024 16:38:25 GMT-0600 (Mountain Daylight Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sun Oct 08 2023 17:38:25 GMT-0600 (Mountain Daylight Time),22.8,34.7,6.5
1,Sun Oct 08 2023 18:38:25 GMT-0600 (Mountain Daylight Time),18.9,46.6,7.3
2,Sun Oct 08 2023 19:38:25 GMT-0600 (Mountain Daylight Time),16.5,51.4,6.5
3,Sun Oct 08 2023 20:38:25 GMT-0600 (Mountain Daylight Time),16.1,50.2,5.8
4,Sun Oct 08 2023 21:38:25 GMT-0600 (Mountain Daylight Time),19.6,33.8,3.3
5,Sun Oct 08 2023 22:38:25 GMT-0600 (Mountain Daylight Time),16.5,45.7,4.8
6,Sun Oct 08 2023 23:38:25 GMT-0600 (Mountain Daylight Time),13.5,56.6,5.1
7,Mon Oct 09 2023 00:38:25 GMT-0600 (Mountain Daylight Time),13,59.1,5.2
8,Mon Oct 09 2023 01:38:25 GMT-0600 (Mountain Daylight Time),12.8,58.6,4.9
9,Mon Oct 09 2023 02:38:25 GMT-0600 (Mountain Daylight Time),12.9,57.4,4.7
10,Mon Oct 09 2023 03:38:25 GMT-0600 (Mountain Daylight Time),12.3,59.8,4.7
11,Mon Oct 09 2023 04:38:25 GMT-0600 (Mountain Daylight Time),12.1,59.1,4.4
12,Mon Oct 09 2023 05:38:25 GMT-0600 (Mountain Daylight Time),11.5,60.3,4.1
13,Mon Oct 09 2023 06:38:25 GMT-0600 (Mountain Daylight Time),11.2,61,4
14,Mon Oct 09 2023 07:38:25 GMT-0600 (Mountain Daylight Time),10.9,60.9,3.7
15,Mon Oct 09 2023 08:38:25 GMT-0600 (Mountain Daylight Time),10.2,62,3.3
16,Mon Oct 09 2023 09:38:25 GMT-0600 (Mountain Daylight Time),10.6,58.3,2.8
17,Mon Oct 09 2023 10:38:25 GMT-0600 (Mountain Daylight Time),6.9,72.7,2.4
18,Mon Oct 09 2023 11:38:25 GMT-0600 (Mountain Daylight Time),6.3,79,2.9
19,Mon Oct 09 2023 12:38:25 GMT-0600 (Mountain Daylight Time),11.3,65.7,5.1
20,Mon Oct 09 2023 13:38:25 GMT-0600 (Mountain Daylight Time),13.1,57.6,5
21,Mon Oct 09 2023 14:38:25 GMT-0600 (Mountain Daylight Time),14.4,51,4.4
22,Mon Oct 09 2023 15:38:25 GMT-0600 (Mountain Daylight Time),16.9,42.4,4.1
23,Mon Oct 09 2023 16:38:25 GMT-0600 (Mountain Daylight Time),18.4,38.3,4
24,Mon Oct 09 2023 17:38:25 GMT-0600 (Mountain Daylight Time),18.5,44.4,6.2
25,Mon Oct 09 2023 18:38:25 GMT-0600 (Mountain Daylight Time),18.7,46.1,7
26,Mon Oct 09 2023 19:38:25 GMT-0600 (Mountain Daylight Time),19,49.1,8.2
27,Mon Oct 09 2023 20:38:25 GMT-0600 (Mountain Daylight Time),20.1,47.4,8.6
28,Mon Oct 09 2023 21:38:25 GMT-0600 (Mountain Daylight Time),17.7,55.8,8.8
29,Mon Oct 09 2023 22:38:25 GMT-0600 (Mountain Daylight Time),14.7,65.1,8.3
30,Mon Oct 09 2023 23:38:25 GMT-0600 (Mountain Daylight Time),14.3,67,8.3
31,Tue Oct 10 2023 00:38:25 GMT-0600 (Mountain Daylight Time),12.6,73.1,7.9
32,Tue Oct 10 2023 01:38:25 GMT-0600 (Mountain Daylight Time),10.6,81.1,7.5
33,Tue Oct 10 2023 02:38:25 GMT-0600 (Mountain Daylight Time),8.9,88.5,7.1
34,Tue Oct 10 2023 03:38:25 GMT-0600 (Mountain Daylight Time),7.3,95.4,6.6
35,Tue Oct 10 2023 04:38:25 GMT-0600 (Mountain Daylight Time),6.1,98.6,5.9
36,Tue Oct 10 2023 05:38:25 GMT-0600 (Mountain Daylight Time),5,100,5.3
37,Tue Oct 10 2023 06:38:25 GMT-0600 (Mountain Daylight Time),4.7,100,5.2
38,Tue Oct 10 2023 07:38:25 GMT-0600 (Mountain Daylight Time),4,100,4.7
39,Tue Oct 10 2023 08:38:25 GMT-0600 (Mountain Daylight Time),3.1,100,4
40,Tue Oct 10 2023 09:38:25 GMT-0600 (Mountain Daylight Time),2.7,100,3.7
41,Tue Oct 10 2023 10:38:25 GMT-0600 (Mountain Daylight Time),2.6,100,3.8
42,Tue Oct 10 2023 11:38:25 GMT-0600 (Mountain Daylight Time),2.4,100,3.5
43,Tue Oct 10 2023 12:38:25 GMT-0600 (Mountain Daylight Time),7.5,100,7.6
44,Tue Oct 10 2023 13:38:25 GMT-0600 (Mountain Daylight Time),15.8,65.5,9.4
45,Tue Oct 10 2023 14:38:25 GMT-0600 (Mountain Daylight Time),19,38.8,4.7
46,Tue Oct 10 2023 15:38:25 GMT-0600 (Mountain Daylight Time),21.8,29.3,3.2
47,Tue Oct 10 2023 16:38:25 GMT-0600 (Mountain Daylight Time),22.1,26.4,2
48,Tue Oct 10 2023 17:38:25 GMT-0600 (Mountain Daylight Time),22.9,23.4,1
49,Tue Oct 10 2023 18:38:25 GMT-0600 (Mountain Daylight Time),24.1,24.6,2.8
50,Tue Oct 10 2023 19:38:25 GMT-0600 (Mountain Daylight Time),24.2,25,3.1
51,Tue Oct 10 2023 20:38:25 GMT-0600 (Mountain Daylight Time),23.5,34,6.9
52,Tue Oct 10 2023 21:38:25 GMT-0600 (Mountain Daylight Time),22.7,38.7,8
53,Tue Oct 10 2023 22:38:25 GMT-0600 (Mountain Daylight Time),22.5,40.9,8.7
54,Tue Oct 10 2023 23:38:25 GMT-0600 (Mountain Daylight Time),19.7,46.2,7.9
55,Wed Oct 11 2023 00:38:25 GMT-0600 (Mountain Daylight Time),14.4,65.4,8
56,Wed Oct 11 2023 01:38:25 GMT-0600 (Mountain Daylight Time),12,71.4,7
57,Wed Oct 11 2023 02:38:25 GMT-0600 (Mountain Daylight Time),11.3,72.8,6.6
58,Wed Oct 11 2023 03:38:25 GMT-0600 (Mountain Daylight Time),9.2,75,5
59,Wed Oct 11 2023 04:38:25 GMT-0600 (Mountain Daylight Time),7.3,76.6,3.5
60,Wed Oct 11 2023 05:38:25 GMT-0600 (Mountain Daylight Time),6.5,74.5,2.3
61,Wed Oct 11 2023 06:38:25 GMT-0600 (Mountain Daylight Time),7.6,64,1.2
62,Wed Oct 11 2023 07:38:25 GMT-0600 (Mountain Daylight Time),9.2,54.9,0.6
63,Wed Oct 11 2023 08:38:25 GMT-0600 (Mountain Daylight Time),9.6,51.4,0.1
64,Wed Oct 11 2023 09:38:25 GMT-0600 (Mountain Daylight Time),9.2,52.3,0
65,Wed Oct 11 2023 10:38:25 GMT-0600 (Mountain Daylight Time),8.1,56.2,-0.1
66,Wed Oct 11 2023 11:38:25 GMT-0600 (Mountain Daylight Time),7.4,58.6,-0.2
67,Wed Oct 11 2023 12:38:25 GMT-0600 (Mountain Daylight Time),15.1,41.9,2.3
68,Wed Oct 11 2023 13:38:25 GMT-0600 (Mountain Daylight Time),18.6,31.9,1.6
69,Wed Oct 11 2023 14:38:25 GMT-0600 (Mountain Daylight Time),20.2,24.1,-0.9
70,Wed Oct 11 2023 15:38:25 GMT-0600 (Mountain Daylight Time),21.4,21,-1.7
71,Wed Oct 11 2023 16:38:25 GMT-0600 (Mountain Daylight Time),21.4,20.4,-2.1
72,Wed Oct 11 2023 17:38:25 GMT-0600 (Mountain Daylight Time),22.7,17.8,-2.9
73,Wed Oct 11 2023 18:38:25 GMT-0600 (Mountain Daylight Time),23.6,17.8,-2.1
74,Wed Oct 11 2023 19:38:25 GMT-0600 (Mountain Daylight Time),23.4,15.6,-4.1
75,Wed Oct 11 2023 20:38:25 GMT-0600 (Mountain Daylight Time),23.5,18,-2.1
76,Wed Oct 11 2023 21:38:25 GMT-0600 (Mountain Daylight Time),24.6,15.7,-3
77,Wed Oct 11 2023 22:38:25 GMT-0600 (Mountain Daylight Time),23.2,17,-3.1
78,Wed Oct 11 2023 23:38:25 GMT-0600 (Mountain Daylight Time),20.5,18.9,-3.9
79,Thu Oct 12 2023 00:38:25 GMT-0600 (Mountain Daylight Time),13.8,32.7,-2.3
80,Thu Oct 12 2023 01:38:25 GMT-0600 (Mountain Daylight Time),11.1,39.1,-2.3
81,Thu Oct 12 2023 02:38:25 GMT-0600 (Mountain Daylight Time),9,45.6,-2.1
82,Thu Oct 12 2023 03:38:25 GMT-0600 (Mountain Daylight Time),8.5,46.7,-2.2
83,Thu Oct 12 2023 04:38:25 GMT-0600 (Mountain Daylight Time),7.8,47.2,-2.7
84,Thu Oct 12 2023 05:38:25 GMT-0600 (Mountain Daylight Time),6.8,55.6,-1.4
85,Thu Oct 12 2023 06:38:25 GMT-0600 (Mountain Daylight Time),6.3,64.8,0.2
86,Thu Oct 12 2023 07:38:25 GMT-0600 (Mountain Daylight Time),5.4,69.2,0.2
87,Thu Oct 12 2023 08:38:25 GMT-0600 (Mountain Daylight Time),4.6,74.7,0.5
88,Thu Oct 12 2023 09:38:25 GMT-0600 (Mountain Daylight Time),4.3,75.3,0.3
89,Thu Oct 12 2023 10:38:25 GMT-0600 (Mountain Daylight Time),3.2,79.3,0
90,Thu Oct 12 2023 11:38:25 GMT-0600 (Mountain Daylight Time),3,81.1,0.1
91,Thu Oct 12 2023 12:38:25 GMT-0600 (Mountain Daylight Time),8.4,66,2.4
92,Thu Oct 12 2023 13:38:25 GMT-0600 (Mountain Daylight Time),15.1,43,2.7
93,Thu Oct 12 2023 14:38:25 GMT-0600 (Mountain Daylight Time),18.7,38.2,4.3
94,Thu Oct 12 2023 15:38:25 GMT-0600 (Mountain Daylight Time),22.5,27.8,3.1
95,Thu Oct 12 2023 16:38:25 GMT-0600 (Mountain Daylight Time),23.2,19.5,-1.2
96,Thu Oct 12 2023 17:38:25 GMT-0600 (Mountain Daylight Time),24.6,23.6,2.6
97,Thu Oct 12 2023 18:38:25 GMT-0600 (Mountain Daylight Time),24.3,25.1,3.2
98,Thu Oct 12 2023 19:38:25 GMT-0600 (Mountain Daylight Time),23.3,25.6,2.6
99,Thu Oct 12 2023 20:38:25 GMT-0600 (Mountain Daylight Time),25.4,16.8,-1.4
100,Thu Oct 12 2023 21:38:25 GMT-0600 (Mountain Daylight Time),25.8,13.8,-3.8
101,Thu Oct 12 2023 22:38:25 GMT-0600 (Mountain Daylight Time),24.2,16.3,-2.8
102,Thu Oct 12 2023 23:38:25 GMT-0600 (Mountain Daylight Time),20.9,18.1,-4.1
103,Fri Oct 13 2023 00:38:25 GMT-0600 (Mountain Daylight Time),14.9,27.6,-3.6
104,Fri Oct 13 2023 01:38:25 GMT-0600 (Mountain Daylight Time),12,34.3,-3.2
105,Fri Oct 13 2023 02:38:25 GMT-0600 (Mountain Daylight Time),12.1,30.4,-4.7
106,Fri Oct 13 2023 03:38:25 GMT-0600 (Mountain Daylight Time),8.6,41.7,-3.7
107,Fri Oct 13 2023 04:38:25 GMT-0600 (Mountain Daylight Time),7.5,47.2,-3
108,Fri Oct 13 2023 05:38:25 GMT-0600 (Mountain Daylight Time),6.6,49.9,-3.1
109,Fri Oct 13 2023 06:38:25 GMT-0600 (Mountain Daylight Time),7.3,49.7,-2.5
110,Fri Oct 13 2023 07:38:25 GMT-0600 (Mountain Daylight Time),6.4,53.5,-2.3
111,Fri Oct 13 2023 08:38:25 GMT-0600 (Mountain Daylight Time),5.2,56,-2.9
112,Fri Oct 13 2023 09:38:25 GMT-0600 (Mountain Daylight Time),6,55.9,-2.1
113,Fri Oct 13 2023 10:38:25 GMT-0600 (Mountain Daylight Time),4.9,58.6,-2.5
