Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
ECEC71FE,ECEC71FE,Fri Jun 14 2024 16:39:45 GMT-0600 (Mountain Daylight Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sun Oct 08 2023 17:39:45 GMT-0600 (Mountain Daylight Time),19.1,26.3,-0.6
1,Sun Oct 08 2023 18:39:45 GMT-0600 (Mountain Daylight Time),14.6,32.2,-1.8
2,Sun Oct 08 2023 19:39:45 GMT-0600 (Mountain Daylight Time),9.4,41.9,-2.9
3,Sun Oct 08 2023 20:39:45 GMT-0600 (Mountain Daylight Time),7.8,46.6,-2.9
4,Sun Oct 08 2023 21:39:45 GMT-0600 (Mountain Daylight Time),5.2,52.8,-3.6
5,Sun Oct 08 2023 22:39:45 GMT-0600 (Mountain Daylight Time),4.1,56.3,-3.8
6,Sun Oct 08 2023 23:39:45 GMT-0600 (Mountain Daylight Time),3.2,59.5,-3.9
7,Mon Oct 09 2023 00:39:45 GMT-0600 (Mountain Daylight Time),2,64.2,-4.1
8,Mon Oct 09 2023 01:39:45 GMT-0600 (Mountain Daylight Time),1.4,67.2,-4
9,Mon Oct 09 2023 02:39:45 GMT-0600 (Mountain Daylight Time),1.2,69.6,-3.7
10,Mon Oct 09 2023 03:39:45 GMT-0600 (Mountain Daylight Time),1.7,67.6,-3.6
11,Mon Oct 09 2023 04:39:45 GMT-0600 (Mountain Daylight Time),1.8,66.5,-3.8
12,Mon Oct 09 2023 05:39:45 GMT-0600 (Mountain Daylight Time),0.2,70.9,-4.5
13,Mon Oct 09 2023 06:39:45 GMT-0600 (Mountain Daylight Time),0.4,72.9,-3.9
14,Mon Oct 09 2023 07:39:45 GMT-0600 (Mountain Daylight Time),1.2,71.7,-3.3
15,Mon Oct 09 2023 08:39:45 GMT-0600 (Mountain Daylight Time),3.9,68.4,-1.4
16,Mon Oct 09 2023 09:39:45 GMT-0600 (Mountain Daylight Time),14.4,46.5,3.1
17,Mon Oct 09 2023 10:39:45 GMT-0600 (Mountain Daylight Time),18.3,30.8,0.9
18,Mon Oct 09 2023 11:39:45 GMT-0600 (Mountain Daylight Time),19.2,26.2,-0.6
19,Mon Oct 09 2023 12:39:45 GMT-0600 (Mountain Daylight Time),18.6,23.8,-2.4
20,Mon Oct 09 2023 13:39:45 GMT-0600 (Mountain Daylight Time),19.2,22.4,-2.7
21,Mon Oct 09 2023 14:39:45 GMT-0600 (Mountain Daylight Time),20.2,20.7,-2.9
22,Mon Oct 09 2023 15:39:45 GMT-0600 (Mountain Daylight Time),19.7,21.5,-2.8
23,Mon Oct 09 2023 16:39:45 GMT-0600 (Mountain Daylight Time),20.7,20.3,-2.8
24,Mon Oct 09 2023 17:39:45 GMT-0600 (Mountain Daylight Time),20.8,17.6,-4.6
25,Mon Oct 09 2023 18:39:45 GMT-0600 (Mountain Daylight Time),14.6,22.1,-6.8
26,Mon Oct 09 2023 19:39:45 GMT-0600 (Mountain Daylight Time),11.4,27.9,-6.5
27,Mon Oct 09 2023 20:39:45 GMT-0600 (Mountain Daylight Time),8.3,32.1,-7.4
28,Mon Oct 09 2023 21:39:45 GMT-0600 (Mountain Daylight Time),6.2,35.3,-8
29,Mon Oct 09 2023 22:39:45 GMT-0600 (Mountain Daylight Time),3.9,40.1,-8.5
30,Mon Oct 09 2023 23:39:45 GMT-0600 (Mountain Daylight Time),2.6,43.9,-8.5
31,Tue Oct 10 2023 00:39:45 GMT-0600 (Mountain Daylight Time),2.1,46.3,-8.2
32,Tue Oct 10 2023 01:39:45 GMT-0600 (Mountain Daylight Time),0.8,49.8,-8.5
33,Tue Oct 10 2023 02:39:45 GMT-0600 (Mountain Daylight Time),0.4,50.4,-8.7
34,Tue Oct 10 2023 03:39:45 GMT-0600 (Mountain Daylight Time),0.2,52.2,-8.5
35,Tue Oct 10 2023 04:39:45 GMT-0600 (Mountain Daylight Time),0.2,50.9,-8.8
36,Tue Oct 10 2023 05:39:45 GMT-0600 (Mountain Daylight Time),0.1,51.3,-8.8
37,Tue Oct 10 2023 06:39:45 GMT-0600 (Mountain Daylight Time),0.6,50.7,-8.5
38,Tue Oct 10 2023 07:39:45 GMT-0600 (Mountain Daylight Time),0,50.9,-9
39,Tue Oct 10 2023 08:39:45 GMT-0600 (Mountain Daylight Time),2.5,50,-6.9
