Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
EF071C2F,EF071C2F,Fri Jun 14 2024 16:33:07 GMT-0600 (Mountain Daylight Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sun Oct 08 2023 17:33:07 GMT-0600 (Mountain Daylight Time),10.7,94.2,9.8
1,Sun Oct 08 2023 18:33:07 GMT-0600 (Mountain Daylight Time),11,94.2,10.1
2,Sun Oct 08 2023 19:33:07 GMT-0600 (Mountain Daylight Time),12.3,87.3,10.3
3,Sun Oct 08 2023 20:33:07 GMT-0600 (Mountain Daylight Time),12.5,88.3,10.6
4,Sun Oct 08 2023 21:33:07 GMT-0600 (Mountain Daylight Time),12.4,89.6,10.7
5,Sun Oct 08 2023 22:33:07 GMT-0600 (Mountain Daylight Time),13.5,85.2,11.1
6,Sun Oct 08 2023 23:33:07 GMT-0600 (Mountain Daylight Time),13.5,87.3,11.4
7,Mon Oct 09 2023 00:33:07 GMT-0600 (Mountain Daylight Time),14.7,83.3,11.9
8,Mon Oct 09 2023 01:33:07 GMT-0600 (Mountain Daylight Time),15.3,78,11.5
9,Mon Oct 09 2023 02:33:07 GMT-0600 (Mountain Daylight Time),11.8,100,12.6
10,Mon Oct 09 2023 03:33:07 GMT-0600 (Mountain Daylight Time),14,87.6,12
11,Mon Oct 09 2023 04:33:07 GMT-0600 (Mountain Daylight Time),11.9,89.3,10.2
12,Mon Oct 09 2023 05:33:07 GMT-0600 (Mountain Daylight Time),10.7,92.6,9.6
13,Mon Oct 09 2023 06:33:07 GMT-0600 (Mountain Daylight Time),10.1,95.5,9.4
14,Mon Oct 09 2023 07:33:07 GMT-0600 (Mountain Daylight Time),9.1,99.5,9
15,Mon Oct 09 2023 08:33:07 GMT-0600 (Mountain Daylight Time),9,95.9,8.4
16,Mon Oct 09 2023 09:33:07 GMT-0600 (Mountain Daylight Time),8.2,94.1,7.3
17,Mon Oct 09 2023 10:33:07 GMT-0600 (Mountain Daylight Time),7.9,93.2,6.9
18,Mon Oct 09 2023 11:33:07 GMT-0600 (Mountain Daylight Time),7.6,93.2,6.6
19,Mon Oct 09 2023 12:33:07 GMT-0600 (Mountain Daylight Time),6.3,97.9,6
20,Mon Oct 09 2023 13:33:07 GMT-0600 (Mountain Daylight Time),6.5,95.4,5.8
21,Mon Oct 09 2023 14:33:07 GMT-0600 (Mountain Daylight Time),6.9,90.1,5.4
22,Mon Oct 09 2023 15:33:07 GMT-0600 (Mountain Daylight Time),8.8,82.3,6
23,Mon Oct 09 2023 16:33:07 GMT-0600 (Mountain Daylight Time),12.7,78.9,9.2
24,Mon Oct 09 2023 17:33:07 GMT-0600 (Mountain Daylight Time),18,55.7,9.1
25,Mon Oct 09 2023 18:33:07 GMT-0600 (Mountain Daylight Time),20.2,42,7
26,Mon Oct 09 2023 19:33:07 GMT-0600 (Mountain Daylight Time),20.9,41.8,7.5
27,Mon Oct 09 2023 20:33:07 GMT-0600 (Mountain Daylight Time),20.6,40.5,6.8
28,Mon Oct 09 2023 21:33:07 GMT-0600 (Mountain Daylight Time),18.4,44.6,6.2
29,Mon Oct 09 2023 22:33:07 GMT-0600 (Mountain Daylight Time),18.7,45.5,6.8
30,Mon Oct 09 2023 23:33:07 GMT-0600 (Mountain Daylight Time),15.2,57.8,7
31,Tue Oct 10 2023 00:33:07 GMT-0600 (Mountain Daylight Time),18,48.4,7
32,Tue Oct 10 2023 01:33:07 GMT-0600 (Mountain Daylight Time),21,43.3,8.1
33,Tue Oct 10 2023 02:33:07 GMT-0600 (Mountain Daylight Time),19,42.7,6.1
34,Tue Oct 10 2023 03:33:07 GMT-0600 (Mountain Daylight Time),18.9,45.7,7
35,Tue Oct 10 2023 04:33:07 GMT-0600 (Mountain Daylight Time),16.5,55.3,7.6
36,Tue Oct 10 2023 05:33:07 GMT-0600 (Mountain Daylight Time),14,66.6,7.9
37,Tue Oct 10 2023 06:33:07 GMT-0600 (Mountain Daylight Time),11.5,78.6,7.9
38,Tue Oct 10 2023 07:33:07 GMT-0600 (Mountain Daylight Time),10.1,82.8,7.3
39,Tue Oct 10 2023 08:33:07 GMT-0600 (Mountain Daylight Time),9,93,7.9
40,Tue Oct 10 2023 09:33:07 GMT-0600 (Mountain Daylight Time),8.3,94.9,7.5
41,Tue Oct 10 2023 10:33:07 GMT-0600 (Mountain Daylight Time),8.3,94.4,7.5
42,Tue Oct 10 2023 11:33:07 GMT-0600 (Mountain Daylight Time),7.3,96.3,6.8
43,Tue Oct 10 2023 12:33:07 GMT-0600 (Mountain Daylight Time),7.1,95,6.4
44,Tue Oct 10 2023 13:33:07 GMT-0600 (Mountain Daylight Time),6.8,93.3,5.8
45,Tue Oct 10 2023 14:33:07 GMT-0600 (Mountain Daylight Time),7.2,88.2,5.4
46,Tue Oct 10 2023 15:33:07 GMT-0600 (Mountain Daylight Time),7.8,85.9,5.6
47,Tue Oct 10 2023 16:33:07 GMT-0600 (Mountain Daylight Time),10.1,77.8,6.4
48,Tue Oct 10 2023 17:33:07 GMT-0600 (Mountain Daylight Time),17.5,55.1,8.4
49,Tue Oct 10 2023 18:33:07 GMT-0600 (Mountain Daylight Time),16.5,58.1,8.3
50,Tue Oct 10 2023 19:33:07 GMT-0600 (Mountain Daylight Time),18.9,48.3,7.8
51,Tue Oct 10 2023 20:33:07 GMT-0600 (Mountain Daylight Time),19.5,45.6,7.5
52,Tue Oct 10 2023 21:33:07 GMT-0600 (Mountain Daylight Time),18.3,50.8,8
53,Tue Oct 10 2023 22:33:07 GMT-0600 (Mountain Daylight Time),18.2,48.2,7.1
54,Tue Oct 10 2023 23:33:07 GMT-0600 (Mountain Daylight Time),19.2,49.8,8.5
55,Wed Oct 11 2023 00:33:07 GMT-0600 (Mountain Daylight Time),19.2,50.5,8.7
56,Wed Oct 11 2023 01:33:07 GMT-0600 (Mountain Daylight Time),19.6,49.5,8.8
57,Wed Oct 11 2023 02:33:07 GMT-0600 (Mountain Daylight Time),17.3,60.8,9.7
58,Wed Oct 11 2023 03:33:07 GMT-0600 (Mountain Daylight Time),17.2,62.7,10.1
59,Wed Oct 11 2023 04:33:07 GMT-0600 (Mountain Daylight Time),15.9,65.4,9.5
60,Wed Oct 11 2023 05:33:07 GMT-0600 (Mountain Daylight Time),13.7,66.6,7.6
61,Wed Oct 11 2023 06:33:07 GMT-0600 (Mountain Daylight Time),12.6,63.5,5.9
62,Wed Oct 11 2023 07:33:07 GMT-0600 (Mountain Daylight Time),12.7,65.3,6.4
63,Wed Oct 11 2023 08:33:07 GMT-0600 (Mountain Daylight Time),13,66.1,6.9
64,Wed Oct 11 2023 09:33:07 GMT-0600 (Mountain Daylight Time),11.4,70,6.1
65,Wed Oct 11 2023 10:33:07 GMT-0600 (Mountain Daylight Time),10.9,71.1,5.9
66,Wed Oct 11 2023 11:33:07 GMT-0600 (Mountain Daylight Time),11.8,63,5
67,Wed Oct 11 2023 12:33:07 GMT-0600 (Mountain Daylight Time),9.9,68.7,4.4
68,Wed Oct 11 2023 13:33:07 GMT-0600 (Mountain Daylight Time),8.5,71.7,3.7
69,Wed Oct 11 2023 14:33:07 GMT-0600 (Mountain Daylight Time),7.7,75.5,3.7
70,Wed Oct 11 2023 15:33:07 GMT-0600 (Mountain Daylight Time),8,76.7,4.2
71,Wed Oct 11 2023 16:33:07 GMT-0600 (Mountain Daylight Time),13.5,61,6.2
72,Wed Oct 11 2023 17:33:07 GMT-0600 (Mountain Daylight Time),17.3,48.5,6.4
73,Wed Oct 11 2023 18:33:07 GMT-0600 (Mountain Daylight Time),18.5,47,7.1
74,Wed Oct 11 2023 19:33:07 GMT-0600 (Mountain Daylight Time),19.5,44.8,7.3
75,Wed Oct 11 2023 20:33:07 GMT-0600 (Mountain Daylight Time),20.9,40.8,7.2
76,Wed Oct 11 2023 21:33:07 GMT-0600 (Mountain Daylight Time),22.2,38.3,7.4
77,Wed Oct 11 2023 22:33:07 GMT-0600 (Mountain Daylight Time),22.2,35.5,6.3
78,Wed Oct 11 2023 23:33:07 GMT-0600 (Mountain Daylight Time),23.4,32.7,6.2
79,Thu Oct 12 2023 00:33:07 GMT-0600 (Mountain Daylight Time),24.6,28,5
80,Thu Oct 12 2023 01:33:07 GMT-0600 (Mountain Daylight Time),24.1,25.6,3.3
81,Thu Oct 12 2023 02:33:07 GMT-0600 (Mountain Daylight Time),24.3,23.4,2.2
82,Thu Oct 12 2023 03:33:07 GMT-0600 (Mountain Daylight Time),22.9,23.9,1.3
83,Thu Oct 12 2023 04:33:07 GMT-0600 (Mountain Daylight Time),19.9,30.1,2
84,Thu Oct 12 2023 05:33:07 GMT-0600 (Mountain Daylight Time),17.5,39.6,3.7
85,Thu Oct 12 2023 06:33:07 GMT-0600 (Mountain Daylight Time),14.1,53.1,4.7
86,Thu Oct 12 2023 07:33:07 GMT-0600 (Mountain Daylight Time),12.6,60.3,5.1
87,Thu Oct 12 2023 08:33:07 GMT-0600 (Mountain Daylight Time),11.5,63.4,4.8
88,Thu Oct 12 2023 09:33:07 GMT-0600 (Mountain Daylight Time),10.8,65.2,4.6
