Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
F415DE5C,F415DE5C,Fri Jun 14 2024 16:32:38 GMT-0600 (Mountain Daylight Time),Not set,3600,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sun Oct 08 2023 17:32:38 GMT-0600 (Mountain Daylight Time),18.3,25,-2
1,Sun Oct 08 2023 18:32:38 GMT-0600 (Mountain Daylight Time),16.8,27.6,-1.9
2,Sun Oct 08 2023 19:32:38 GMT-0600 (Mountain Daylight Time),12.7,34.6,-2.5
3,Sun Oct 08 2023 20:32:38 GMT-0600 (Mountain Daylight Time),10.4,39,-2.9
4,Sun Oct 08 2023 21:32:38 GMT-0600 (Mountain Daylight Time),7.6,45.6,-3.4
5,Sun Oct 08 2023 22:32:38 GMT-0600 (Mountain Daylight Time),6.8,48.9,-3.2
6,Sun Oct 08 2023 23:32:38 GMT-0600 (Mountain Daylight Time),5.7,52,-3.4
7,Mon Oct 09 2023 00:32:38 GMT-0600 (Mountain Daylight Time),4.3,56.5,-3.6
8,Mon Oct 09 2023 01:32:38 GMT-0600 (Mountain Daylight Time),3.4,59.2,-3.8
9,Mon Oct 09 2023 02:32:38 GMT-0600 (Mountain Daylight Time),3.1,61.5,-3.6
10,Mon Oct 09 2023 03:32:38 GMT-0600 (Mountain Daylight Time),4,59.7,-3.1
11,Mon Oct 09 2023 04:32:38 GMT-0600 (Mountain Daylight Time),4,57.8,-3.6
12,Mon Oct 09 2023 05:32:38 GMT-0600 (Mountain Daylight Time),3.3,60.3,-3.7
13,Mon Oct 09 2023 06:32:38 GMT-0600 (Mountain Daylight Time),3,62.3,-3.5
14,Mon Oct 09 2023 07:32:38 GMT-0600 (Mountain Daylight Time),3.2,61.8,-3.4
15,Mon Oct 09 2023 08:32:38 GMT-0600 (Mountain Daylight Time),4.8,58.3,-2.7
16,Mon Oct 09 2023 09:32:38 GMT-0600 (Mountain Daylight Time),11.5,46.2,0.4
17,Mon Oct 09 2023 10:32:38 GMT-0600 (Mountain Daylight Time),18,29.9,0.2
18,Mon Oct 09 2023 11:32:38 GMT-0600 (Mountain Daylight Time),18.7,24.6,-1.9
19,Mon Oct 09 2023 12:32:38 GMT-0600 (Mountain Daylight Time),19.3,22.5,-2.6
20,Mon Oct 09 2023 13:32:38 GMT-0600 (Mountain Daylight Time),19.3,21.5,-3.2
21,Mon Oct 09 2023 14:32:38 GMT-0600 (Mountain Daylight Time),19.6,19.3,-4.4
22,Mon Oct 09 2023 15:32:38 GMT-0600 (Mountain Daylight Time),18.9,18.3,-5.6
23,Mon Oct 09 2023 16:32:38 GMT-0600 (Mountain Daylight Time),18.6,20.4,-4.5
24,Mon Oct 09 2023 17:32:38 GMT-0600 (Mountain Daylight Time),20,17.8,-5.1
25,Mon Oct 09 2023 18:32:38 GMT-0600 (Mountain Daylight Time),16.5,18.6,-7.4
26,Mon Oct 09 2023 19:32:38 GMT-0600 (Mountain Daylight Time),12.6,24.5,-7.1
27,Mon Oct 09 2023 20:32:38 GMT-0600 (Mountain Daylight Time),11.7,24.7,-7.8
28,Mon Oct 09 2023 21:32:38 GMT-0600 (Mountain Daylight Time),10.1,26.7,-8.2
29,Mon Oct 09 2023 22:32:38 GMT-0600 (Mountain Daylight Time),6.8,32,-8.8
30,Mon Oct 09 2023 23:32:38 GMT-0600 (Mountain Daylight Time),5.2,34.3,-9.3
31,Tue Oct 10 2023 00:32:38 GMT-0600 (Mountain Daylight Time),4.3,36.8,-9.2
32,Tue Oct 10 2023 01:32:38 GMT-0600 (Mountain Daylight Time),3.5,38.8,-9.2
33,Tue Oct 10 2023 02:32:38 GMT-0600 (Mountain Daylight Time),3.7,38.9,-9
34,Tue Oct 10 2023 03:32:38 GMT-0600 (Mountain Daylight Time),2.7,40.6,-9.4
35,Tue Oct 10 2023 04:32:38 GMT-0600 (Mountain Daylight Time),3.3,38.9,-9.4
36,Tue Oct 10 2023 05:32:38 GMT-0600 (Mountain Daylight Time),2.7,40.5,-9.4
37,Tue Oct 10 2023 06:32:38 GMT-0600 (Mountain Daylight Time),2.6,40.9,-9.4
38,Tue Oct 10 2023 07:32:38 GMT-0600 (Mountain Daylight Time),1.9,41.5,-9.8
39,Tue Oct 10 2023 08:32:38 GMT-0600 (Mountain Daylight Time),3.2,40.8,-8.9
40,Tue Oct 10 2023 09:32:38 GMT-0600 (Mountain Daylight Time),9.9,33.7,-5.3
41,Tue Oct 10 2023 10:32:38 GMT-0600 (Mountain Daylight Time),17.3,24.5,-3.1
42,Tue Oct 10 2023 11:32:38 GMT-0600 (Mountain Daylight Time),17.8,21.4,-4.5
43,Tue Oct 10 2023 12:32:38 GMT-0600 (Mountain Daylight Time),19,19.7,-4.6
44,Tue Oct 10 2023 13:32:38 GMT-0600 (Mountain Daylight Time),18.5,17.5,-6.6
45,Tue Oct 10 2023 14:32:38 GMT-0600 (Mountain Daylight Time),19.3,15.8,-7.2
46,Tue Oct 10 2023 15:32:38 GMT-0600 (Mountain Daylight Time),17.7,16.9,-7.7
47,Tue Oct 10 2023 16:32:38 GMT-0600 (Mountain Daylight Time),16.6,18.8,-7.2
48,Tue Oct 10 2023 17:32:38 GMT-0600 (Mountain Daylight Time),16.8,16.6,-8.7
49,Tue Oct 10 2023 18:32:38 GMT-0600 (Mountain Daylight Time),15.4,19.6,-7.7
50,Tue Oct 10 2023 19:32:38 GMT-0600 (Mountain Daylight Time),13.5,27.7,-4.8
51,Tue Oct 10 2023 20:32:38 GMT-0600 (Mountain Daylight Time),12.3,33.8,-3.2
52,Tue Oct 10 2023 21:32:38 GMT-0600 (Mountain Daylight Time),12.3,34.8,-2.8
53,Tue Oct 10 2023 22:32:38 GMT-0600 (Mountain Daylight Time),11.2,37.5,-2.7
54,Tue Oct 10 2023 23:32:38 GMT-0600 (Mountain Daylight Time),10.5,39.5,-2.7
55,Wed Oct 11 2023 00:32:38 GMT-0600 (Mountain Daylight Time),8.7,41.2,-3.7
56,Wed Oct 11 2023 01:32:38 GMT-0600 (Mountain Daylight Time),7.1,44.7,-4.1
57,Wed Oct 11 2023 02:32:38 GMT-0600 (Mountain Daylight Time),9.7,42.3,-2.5
58,Wed Oct 11 2023 03:32:38 GMT-0600 (Mountain Daylight Time),10.9,40.4,-2
59,Wed Oct 11 2023 04:32:38 GMT-0600 (Mountain Daylight Time),9.6,43,-2.3
60,Wed Oct 11 2023 05:32:38 GMT-0600 (Mountain Daylight Time),6.7,50.2,-2.9
61,Wed Oct 11 2023 06:32:38 GMT-0600 (Mountain Daylight Time),8.2,51.1,-1.3
62,Wed Oct 11 2023 07:32:38 GMT-0600 (Mountain Daylight Time),7.2,56.8,-0.8
63,Wed Oct 11 2023 08:32:38 GMT-0600 (Mountain Daylight Time),6.9,59.4,-0.5
64,Wed Oct 11 2023 09:32:38 GMT-0600 (Mountain Daylight Time),9.8,54.1,1
65,Wed Oct 11 2023 10:32:38 GMT-0600 (Mountain Daylight Time),15.2,42.9,2.7
66,Wed Oct 11 2023 11:32:38 GMT-0600 (Mountain Daylight Time),16.7,34.8,1.2
67,Wed Oct 11 2023 12:32:38 GMT-0600 (Mountain Daylight Time),17.8,32.7,1.3
68,Wed Oct 11 2023 13:32:38 GMT-0600 (Mountain Daylight Time),16.3,32.4,-0.2
69,Wed Oct 11 2023 14:32:38 GMT-0600 (Mountain Daylight Time),12,47.6,1.3
70,Wed Oct 11 2023 15:32:38 GMT-0600 (Mountain Daylight Time),10.7,60.6,3.4
71,Wed Oct 11 2023 16:32:38 GMT-0600 (Mountain Daylight Time),5.8,80.4,2.7
72,Wed Oct 11 2023 17:32:38 GMT-0600 (Mountain Daylight Time),5.6,92.5,4.5
73,Wed Oct 11 2023 18:32:38 GMT-0600 (Mountain Daylight Time),6.8,92.5,5.7
74,Wed Oct 11 2023 19:32:38 GMT-0600 (Mountain Daylight Time),5,100,5.3
75,Wed Oct 11 2023 20:32:38 GMT-0600 (Mountain Daylight Time),4.7,100,5.1
76,Wed Oct 11 2023 21:32:38 GMT-0600 (Mountain Daylight Time),3.6,100,4.1
77,Wed Oct 11 2023 22:32:38 GMT-0600 (Mountain Daylight Time),3.8,100,4.3
78,Wed Oct 11 2023 23:32:38 GMT-0600 (Mountain Daylight Time),3.2,100,3.7
