Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
F7860854,F7860854,Fri Jun 14 2024 16:09:06 GMT-0600 (Mountain Daylight Time),Not set,3600,8649,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Tue Jun 20 2023 08:09:06 GMT-0600 (Mountain Daylight Time),10.8,44.2,-0.9
1,Tue Jun 20 2023 09:09:06 GMT-0600 (Mountain Daylight Time),10.5,46.2,-0.5
2,Tue Jun 20 2023 10:09:06 GMT-0600 (Mountain Daylight Time),13.8,40.6,0.7
3,Tue Jun 20 2023 11:09:06 GMT-0600 (Mountain Daylight Time),15.3,35.5,0.2
4,Tue Jun 20 2023 12:09:06 GMT-0600 (Mountain Daylight Time),16.2,34.6,0.6
5,Tue Jun 20 2023 13:09:06 GMT-0600 (Mountain Daylight Time),15.6,38,1.4
6,Tue Jun 20 2023 14:09:06 GMT-0600 (Mountain Daylight Time),18.1,32,1.2
7,Tue Jun 20 2023 15:09:06 GMT-0600 (Mountain Daylight Time),16,38.1,1.8
8,Tue Jun 20 2023 16:09:06 GMT-0600 (Mountain Daylight Time),15.8,40.1,2.3
9,Tue Jun 20 2023 17:09:06 GMT-0600 (Mountain Daylight Time),16.1,41.9,3.2
10,Tue Jun 20 2023 18:09:06 GMT-0600 (Mountain Daylight Time),15.1,53,5.6
11,Tue Jun 20 2023 19:09:06 GMT-0600 (Mountain Daylight Time),14.8,55.5,6
12,Tue Jun 20 2023 20:09:06 GMT-0600 (Mountain Daylight Time),12.3,63,5.5
13,Tue Jun 20 2023 21:09:06 GMT-0600 (Mountain Daylight Time),10.3,70.3,5.2
14,Tue Jun 20 2023 22:09:06 GMT-0600 (Mountain Daylight Time),9.7,73.8,5.3
15,Tue Jun 20 2023 23:09:06 GMT-0600 (Mountain Daylight Time),8.9,79.1,5.5
16,Wed Jun 21 2023 00:09:06 GMT-0600 (Mountain Daylight Time),8,82,5.1
17,Wed Jun 21 2023 01:09:06 GMT-0600 (Mountain Daylight Time),9.6,74.1,5.2
18,Wed Jun 21 2023 02:09:06 GMT-0600 (Mountain Daylight Time),7.8,79.4,4.5
19,Wed Jun 21 2023 03:09:06 GMT-0600 (Mountain Daylight Time),6.8,82.7,4.1
20,Wed Jun 21 2023 04:09:06 GMT-0600 (Mountain Daylight Time),6.7,83.9,4.2
21,Wed Jun 21 2023 05:09:06 GMT-0600 (Mountain Daylight Time),7.2,82.6,4.4
22,Wed Jun 21 2023 06:09:06 GMT-0600 (Mountain Daylight Time),9.5,61.1,2.4
23,Wed Jun 21 2023 07:09:06 GMT-0600 (Mountain Daylight Time),8.8,53.8,0
24,Wed Jun 21 2023 08:09:06 GMT-0600 (Mountain Daylight Time),11.3,28,-6.5
25,Wed Jun 21 2023 09:09:06 GMT-0600 (Mountain Daylight Time),12.7,28.8,-4.9
26,Wed Jun 21 2023 10:09:06 GMT-0600 (Mountain Daylight Time),13.4,28.9,-4.3
27,Wed Jun 21 2023 11:09:06 GMT-0600 (Mountain Daylight Time),13.8,29.1,-3.8
28,Wed Jun 21 2023 12:09:06 GMT-0600 (Mountain Daylight Time),14.3,26.5,-4.7
29,Wed Jun 21 2023 13:09:06 GMT-0600 (Mountain Daylight Time),15.2,24,-5.2
30,Wed Jun 21 2023 14:09:06 GMT-0600 (Mountain Daylight Time),15.1,26.9,-3.8
31,Wed Jun 21 2023 15:09:06 GMT-0600 (Mountain Daylight Time),17.1,24.9,-3.1
32,Wed Jun 21 2023 16:09:06 GMT-0600 (Mountain Daylight Time),17.4,21.6,-4.7
33,Wed Jun 21 2023 17:09:06 GMT-0600 (Mountain Daylight Time),17.8,19.1,-6
34,Wed Jun 21 2023 18:09:06 GMT-0600 (Mountain Daylight Time),17.4,18.1,-7
35,Wed Jun 21 2023 19:09:06 GMT-0600 (Mountain Daylight Time),17.1,19,-6.7
36,Wed Jun 21 2023 20:09:06 GMT-0600 (Mountain Daylight Time),15.4,18.5,-8.4
37,Wed Jun 21 2023 21:09:06 GMT-0600 (Mountain Daylight Time),14.3,20.2,-8.2
38,Wed Jun 21 2023 22:09:06 GMT-0600 (Mountain Daylight Time),13.4,22.1,-7.8
39,Wed Jun 21 2023 23:09:06 GMT-0600 (Mountain Daylight Time),12.9,22.3,-8.1
40,Thu Jun 22 2023 00:09:06 GMT-0600 (Mountain Daylight Time),12.2,25,-7.2
41,Thu Jun 22 2023 01:09:06 GMT-0600 (Mountain Daylight Time),7,52.9,-1.9
42,Thu Jun 22 2023 02:09:06 GMT-0600 (Mountain Daylight Time),5,69.5,-0.1
43,Thu Jun 22 2023 03:09:06 GMT-0600 (Mountain Daylight Time),3.7,68.6,-1.5
44,Thu Jun 22 2023 04:09:06 GMT-0600 (Mountain Daylight Time),3.3,67.5,-2.1
45,Thu Jun 22 2023 05:09:06 GMT-0600 (Mountain Daylight Time),4.3,57,-3.5
46,Thu Jun 22 2023 06:09:06 GMT-0600 (Mountain Daylight Time),3.9,47.8,-6.2
47,Thu Jun 22 2023 07:09:06 GMT-0600 (Mountain Daylight Time),4.8,37.2,-8.6
48,Thu Jun 22 2023 08:09:06 GMT-0600 (Mountain Daylight Time),3.8,43.1,-7.6
49,Thu Jun 22 2023 09:09:06 GMT-0600 (Mountain Daylight Time),6.2,36.5,-7.6
50,Thu Jun 22 2023 10:09:06 GMT-0600 (Mountain Daylight Time),7.4,36.6,-6.5
51,Thu Jun 22 2023 11:09:06 GMT-0600 (Mountain Daylight Time),8.8,35,-5.8
52,Thu Jun 22 2023 12:09:06 GMT-0600 (Mountain Daylight Time),11,31.5,-5.2
53,Thu Jun 22 2023 13:09:06 GMT-0600 (Mountain Daylight Time),12.6,29.9,-4.5
54,Thu Jun 22 2023 14:09:06 GMT-0600 (Mountain Daylight Time),14.1,25.1,-5.5
55,Thu Jun 22 2023 15:09:06 GMT-0600 (Mountain Daylight Time),14,22.9,-6.8
56,Thu Jun 22 2023 16:09:06 GMT-0600 (Mountain Daylight Time),15.2,21.7,-6.5
57,Thu Jun 22 2023 17:09:06 GMT-0600 (Mountain Daylight Time),14.6,20.9,-7.5
58,Thu Jun 22 2023 18:09:06 GMT-0600 (Mountain Daylight Time),15.3,22.2,-6.1
59,Thu Jun 22 2023 19:09:06 GMT-0600 (Mountain Daylight Time),14.4,23.1,-6.4
60,Thu Jun 22 2023 20:09:06 GMT-0600 (Mountain Daylight Time),12.1,24.9,-7.4
61,Thu Jun 22 2023 21:09:06 GMT-0600 (Mountain Daylight Time),10.7,29.2,-6.5
62,Thu Jun 22 2023 22:09:06 GMT-0600 (Mountain Daylight Time),8.9,32.9,-6.5
63,Thu Jun 22 2023 23:09:06 GMT-0600 (Mountain Daylight Time),9.7,30.1,-7
64,Fri Jun 23 2023 00:09:06 GMT-0600 (Mountain Daylight Time),10.1,28.4,-7.4
65,Fri Jun 23 2023 01:09:06 GMT-0600 (Mountain Daylight Time),9.1,27.2,-8.8
66,Fri Jun 23 2023 02:09:06 GMT-0600 (Mountain Daylight Time),8.4,27.9,-9.1
