Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
EF071C2F,EF071C2F,Thu Mar 02 2023 12:12:28 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Dec 30 2022 00:27:28 GMT-0700 (Mountain Standard Time),-10.3,51.2,-18.5
1,Fri Dec 30 2022 00:42:28 GMT-0700 (Mountain Standard Time),-10.5,51.8,-18.6
2,Fri Dec 30 2022 00:57:28 GMT-0700 (Mountain Standard Time),-10.5,52.3,-18.4
3,Fri Dec 30 2022 01:12:28 GMT-0700 (Mountain Standard Time),-9.4,48.8,-18.2
4,Fri Dec 30 2022 01:27:28 GMT-0700 (Mountain Standard Time),-8.9,45.3,-18.7
5,Fri Dec 30 2022 01:42:28 GMT-0700 (Mountain Standard Time),-7.9,41.2,-18.9
6,Fri Dec 30 2022 01:57:28 GMT-0700 (Mountain Standard Time),-8.3,39.5,-19.7
7,Fri Dec 30 2022 02:12:28 GMT-0700 (Mountain Standard Time),-7.1,37.6,-19.2
8,Fri Dec 30 2022 02:27:28 GMT-0700 (Mountain Standard Time),-6.8,34.4,-20.0
9,Fri Dec 30 2022 02:42:28 GMT-0700 (Mountain Standard Time),-6.3,34.3,-19.6
10,Fri Dec 30 2022 02:57:28 GMT-0700 (Mountain Standard Time),-7.3,38.0,-19.3
11,Fri Dec 30 2022 03:12:28 GMT-0700 (Mountain Standard Time),-8.0,39.4,-19.5
12,Fri Dec 30 2022 03:27:28 GMT-0700 (Mountain Standard Time),-9.3,43.4,-19.5
13,Fri Dec 30 2022 03:42:28 GMT-0700 (Mountain Standard Time),-8.9,44.4,-18.9
14,Fri Dec 30 2022 03:57:28 GMT-0700 (Mountain Standard Time),-8.0,44.6,-18.0
15,Fri Dec 30 2022 04:12:28 GMT-0700 (Mountain Standard Time),-7.4,43.7,-17.7
16,Fri Dec 30 2022 04:27:28 GMT-0700 (Mountain Standard Time),-7.0,42.9,-17.6
17,Fri Dec 30 2022 04:42:28 GMT-0700 (Mountain Standard Time),-7.4,44.4,-17.5
18,Fri Dec 30 2022 04:57:28 GMT-0700 (Mountain Standard Time),-8.5,47.2,-17.8
19,Fri Dec 30 2022 05:12:28 GMT-0700 (Mountain Standard Time),-8.5,49.9,-17.1
20,Fri Dec 30 2022 05:27:28 GMT-0700 (Mountain Standard Time),-8.9,51.4,-17.2
21,Fri Dec 30 2022 05:42:28 GMT-0700 (Mountain Standard Time),-8.8,53.8,-16.5
22,Fri Dec 30 2022 05:57:28 GMT-0700 (Mountain Standard Time),-8.3,51.9,-16.5
23,Fri Dec 30 2022 06:12:28 GMT-0700 (Mountain Standard Time),-8.1,52.5,-16.2
24,Fri Dec 30 2022 06:27:28 GMT-0700 (Mountain Standard Time),-7.2,53.6,-15.1
25,Fri Dec 30 2022 06:42:28 GMT-0700 (Mountain Standard Time),-6.7,52.2,-14.9
26,Fri Dec 30 2022 06:57:28 GMT-0700 (Mountain Standard Time),-6.2,51.9,-14.5
27,Fri Dec 30 2022 07:12:28 GMT-0700 (Mountain Standard Time),-6.3,52.3,-14.5
28,Fri Dec 30 2022 07:27:28 GMT-0700 (Mountain Standard Time),-6.0,52.7,-14.1
29,Fri Dec 30 2022 07:42:28 GMT-0700 (Mountain Standard Time),-5.4,53.7,-13.3
30,Fri Dec 30 2022 07:57:28 GMT-0700 (Mountain Standard Time),-5.3,54.0,-13.2
31,Fri Dec 30 2022 08:12:28 GMT-0700 (Mountain Standard Time),-4.8,55.3,-12.4
32,Fri Dec 30 2022 08:27:28 GMT-0700 (Mountain Standard Time),-4.3,55.1,-12.0
33,Fri Dec 30 2022 08:42:28 GMT-0700 (Mountain Standard Time),-3.8,54.4,-11.7
34,Fri Dec 30 2022 08:57:28 GMT-0700 (Mountain Standard Time),-3.3,52.8,-11.6
