Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Ben 3,EF44B690,Mon Mar 06 2023 14:10:13 GMT-0700 (Mountain Standard Time),Not set,900,4869,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sat Jan 14 2023 21:10:13 GMT-0700 (Mountain Standard Time),29.2,34.3,12.0
1,Sat Jan 14 2023 21:25:13 GMT-0700 (Mountain Standard Time),18.8,31.2,1.5
2,Sat Jan 14 2023 21:40:13 GMT-0700 (Mountain Standard Time),17.1,35.7,1.9
3,Sat Jan 14 2023 21:55:13 GMT-0700 (Mountain Standard Time),16.3,46.8,5.0
4,Sat Jan 14 2023 22:10:13 GMT-0700 (Mountain Standard Time),15.4,52.0,5.6
5,Sat Jan 14 2023 22:25:13 GMT-0700 (Mountain Standard Time),15.5,46.9,4.3
6,Sat Jan 14 2023 22:40:13 GMT-0700 (Mountain Standard Time),16.3,45.9,4.7
7,Sat Jan 14 2023 22:55:13 GMT-0700 (Mountain Standard Time),16.9,43.6,4.5
8,Sat Jan 14 2023 23:10:13 GMT-0700 (Mountain Standard Time),16.9,40.6,3.5
9,Sat Jan 14 2023 23:25:13 GMT-0700 (Mountain Standard Time),16.2,39.6,2.5
10,Sat Jan 14 2023 23:40:13 GMT-0700 (Mountain Standard Time),16.7,38.4,2.5
11,Sat Jan 14 2023 23:55:13 GMT-0700 (Mountain Standard Time),18.0,37.2,3.2
12,Sun Jan 15 2023 00:10:13 GMT-0700 (Mountain Standard Time),16.4,38.7,2.4
13,Sun Jan 15 2023 00:25:13 GMT-0700 (Mountain Standard Time),16.9,37.8,2.5
14,Sun Jan 15 2023 00:40:13 GMT-0700 (Mountain Standard Time),18.9,34.1,2.8
15,Sun Jan 15 2023 00:55:13 GMT-0700 (Mountain Standard Time),18.0,33.4,1.7
16,Sun Jan 15 2023 01:10:13 GMT-0700 (Mountain Standard Time),17.8,32.1,1.0
17,Sun Jan 15 2023 01:25:13 GMT-0700 (Mountain Standard Time),17.3,34.0,1.4
18,Sun Jan 15 2023 01:40:13 GMT-0700 (Mountain Standard Time),16.7,35.6,1.5
19,Sun Jan 15 2023 01:55:13 GMT-0700 (Mountain Standard Time),15.0,41.9,2.2
20,Sun Jan 15 2023 02:10:13 GMT-0700 (Mountain Standard Time),10.7,68.1,5.1
21,Sun Jan 15 2023 02:25:13 GMT-0700 (Mountain Standard Time),9.9,72.8,5.3
22,Sun Jan 15 2023 02:40:13 GMT-0700 (Mountain Standard Time),12.5,75.3,8.3
23,Sun Jan 15 2023 02:55:13 GMT-0700 (Mountain Standard Time),12.0,70.0,6.7
24,Sun Jan 15 2023 03:10:13 GMT-0700 (Mountain Standard Time),11.9,64.8,5.5
25,Sun Jan 15 2023 03:25:13 GMT-0700 (Mountain Standard Time),11.9,63.5,5.2
26,Sun Jan 15 2023 03:40:13 GMT-0700 (Mountain Standard Time),11.8,64.2,5.3
27,Sun Jan 15 2023 03:55:13 GMT-0700 (Mountain Standard Time),11.8,68.8,6.3
28,Sun Jan 15 2023 04:10:13 GMT-0700 (Mountain Standard Time),12.0,58.6,4.2
29,Sun Jan 15 2023 04:25:13 GMT-0700 (Mountain Standard Time),12.0,58.2,4.1
30,Sun Jan 15 2023 04:40:13 GMT-0700 (Mountain Standard Time),12.0,57.7,4.0
31,Sun Jan 15 2023 04:55:13 GMT-0700 (Mountain Standard Time),12.2,54.5,3.3
32,Sun Jan 15 2023 05:10:13 GMT-0700 (Mountain Standard Time),11.9,56.1,3.5
33,Sun Jan 15 2023 05:25:13 GMT-0700 (Mountain Standard Time),11.9,55.3,3.3
34,Sun Jan 15 2023 05:40:13 GMT-0700 (Mountain Standard Time),12.3,53.1,3.1
35,Sun Jan 15 2023 05:55:13 GMT-0700 (Mountain Standard Time),12.1,54.1,3.1
36,Sun Jan 15 2023 06:10:13 GMT-0700 (Mountain Standard Time),11.8,54.7,3.0
37,Sun Jan 15 2023 06:25:13 GMT-0700 (Mountain Standard Time),12.1,53.3,2.9
38,Sun Jan 15 2023 06:40:13 GMT-0700 (Mountain Standard Time),11.7,54.4,2.8
39,Sun Jan 15 2023 06:55:13 GMT-0700 (Mountain Standard Time),11.9,52.8,2.6
40,Sun Jan 15 2023 07:10:13 GMT-0700 (Mountain Standard Time),12.2,49.9,2.1
41,Sun Jan 15 2023 07:25:13 GMT-0700 (Mountain Standard Time),12.2,49.6,2.0
42,Sun Jan 15 2023 07:40:13 GMT-0700 (Mountain Standard Time),12.3,48.6,1.8
43,Sun Jan 15 2023 07:55:13 GMT-0700 (Mountain Standard Time),12.1,48.2,1.5
44,Sun Jan 15 2023 08:10:13 GMT-0700 (Mountain Standard Time),12.3,47.4,1.5
45,Sun Jan 15 2023 08:25:13 GMT-0700 (Mountain Standard Time),12.4,44.9,0.8
46,Sun Jan 15 2023 08:40:13 GMT-0700 (Mountain Standard Time),11.8,46.5,0.7
47,Sun Jan 15 2023 08:55:13 GMT-0700 (Mountain Standard Time),10.8,51.5,1.2
48,Sun Jan 15 2023 09:10:13 GMT-0700 (Mountain Standard Time),10.2,52.5,0.9
49,Sun Jan 15 2023 09:25:13 GMT-0700 (Mountain Standard Time),9.5,53.8,0.6
50,Sun Jan 15 2023 09:40:13 GMT-0700 (Mountain Standard Time),10.4,52.1,1.0
51,Sun Jan 15 2023 09:55:13 GMT-0700 (Mountain Standard Time),10.3,51.7,0.8
52,Sun Jan 15 2023 10:10:13 GMT-0700 (Mountain Standard Time),9.6,53.7,0.7
53,Sun Jan 15 2023 10:25:13 GMT-0700 (Mountain Standard Time),9.5,54.9,0.9
