Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
F7860854,F7860854,Thu Mar 02 2023 15:10:43 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Dec 30 2022 03:25:43 GMT-0700 (Mountain Standard Time),-7.5,40.2,-18.8
1,Fri Dec 30 2022 03:40:43 GMT-0700 (Mountain Standard Time),-7.5,41.6,-18.4
2,Fri Dec 30 2022 03:55:43 GMT-0700 (Mountain Standard Time),-7.5,42.3,-18.2
3,Fri Dec 30 2022 04:10:43 GMT-0700 (Mountain Standard Time),-7.3,42.3,-18.0
4,Fri Dec 30 2022 04:25:43 GMT-0700 (Mountain Standard Time),-7.9,44.5,-18.0
5,Fri Dec 30 2022 04:40:43 GMT-0700 (Mountain Standard Time),-8.1,46.8,-17.5
6,Fri Dec 30 2022 04:55:43 GMT-0700 (Mountain Standard Time),-7.8,46.9,-17.2
7,Fri Dec 30 2022 05:10:43 GMT-0700 (Mountain Standard Time),-7.7,49.2,-16.6
8,Fri Dec 30 2022 05:25:43 GMT-0700 (Mountain Standard Time),-7.6,48.3,-16.7
9,Fri Dec 30 2022 05:40:43 GMT-0700 (Mountain Standard Time),-7.5,48.7,-16.5
10,Fri Dec 30 2022 05:55:43 GMT-0700 (Mountain Standard Time),-7.4,48.6,-16.4
11,Fri Dec 30 2022 06:10:43 GMT-0700 (Mountain Standard Time),-6.4,49.2,-15.4
12,Fri Dec 30 2022 06:25:43 GMT-0700 (Mountain Standard Time),-6.2,49.9,-15.0
13,Fri Dec 30 2022 06:40:43 GMT-0700 (Mountain Standard Time),-5.9,49.5,-14.8
14,Fri Dec 30 2022 06:55:43 GMT-0700 (Mountain Standard Time),-5.7,49.7,-14.6
15,Fri Dec 30 2022 07:10:43 GMT-0700 (Mountain Standard Time),-5.9,51.2,-14.4
16,Fri Dec 30 2022 07:25:43 GMT-0700 (Mountain Standard Time),-5.7,53.9,-13.6
17,Fri Dec 30 2022 07:40:43 GMT-0700 (Mountain Standard Time),-5.7,54.8,-13.4
18,Fri Dec 30 2022 07:55:43 GMT-0700 (Mountain Standard Time),-5.0,54.8,-12.7
19,Fri Dec 30 2022 08:10:43 GMT-0700 (Mountain Standard Time),-4.6,55.3,-12.2
20,Fri Dec 30 2022 08:25:43 GMT-0700 (Mountain Standard Time),-3.9,54.0,-11.9
21,Fri Dec 30 2022 08:40:43 GMT-0700 (Mountain Standard Time),-3.7,52.5,-12.0
22,Fri Dec 30 2022 08:55:43 GMT-0700 (Mountain Standard Time),-3.5,51.6,-12.1
23,Fri Dec 30 2022 09:10:43 GMT-0700 (Mountain Standard Time),-2.5,50.2,-11.5
24,Fri Dec 30 2022 09:25:43 GMT-0700 (Mountain Standard Time),-2.7,50.3,-11.6
25,Fri Dec 30 2022 09:40:43 GMT-0700 (Mountain Standard Time),-2.7,50.8,-11.5
26,Fri Dec 30 2022 09:55:43 GMT-0700 (Mountain Standard Time),-1.9,48.2,-11.4
27,Fri Dec 30 2022 10:10:43 GMT-0700 (Mountain Standard Time),-2.0,46.9,-11.9
28,Fri Dec 30 2022 10:25:43 GMT-0700 (Mountain Standard Time),-1.2,45.8,-11.4
29,Fri Dec 30 2022 10:40:43 GMT-0700 (Mountain Standard Time),-0.8,43.7,-11.6
30,Fri Dec 30 2022 10:55:43 GMT-0700 (Mountain Standard Time),-1.2,43.6,-12.0
31,Fri Dec 30 2022 11:10:43 GMT-0700 (Mountain Standard Time),-0.6,44.0,-11.4
32,Fri Dec 30 2022 11:25:43 GMT-0700 (Mountain Standard Time),-1.4,44.2,-12.1
33,Fri Dec 30 2022 11:40:43 GMT-0700 (Mountain Standard Time),-0.8,45.2,-11.2
34,Fri Dec 30 2022 11:55:43 GMT-0700 (Mountain Standard Time),-1.0,44.7,-11.5
35,Fri Dec 30 2022 12:10:43 GMT-0700 (Mountain Standard Time),-2.2,47.5,-11.9
36,Fri Dec 30 2022 12:25:43 GMT-0700 (Mountain Standard Time),-1.5,45.5,-11.8
37,Fri Dec 30 2022 12:40:43 GMT-0700 (Mountain Standard Time),-1.1,45.3,-11.5
38,Fri Dec 30 2022 12:55:43 GMT-0700 (Mountain Standard Time),-1.1,44.3,-11.8
39,Fri Dec 30 2022 13:10:43 GMT-0700 (Mountain Standard Time),-2.0,47.6,-11.7
40,Fri Dec 30 2022 13:25:43 GMT-0700 (Mountain Standard Time),-1.5,45.8,-11.7
41,Fri Dec 30 2022 13:40:43 GMT-0700 (Mountain Standard Time),-0.4,44.8,-11.0
42,Fri Dec 30 2022 13:55:43 GMT-0700 (Mountain Standard Time),0.0,40.1,-12.0
43,Fri Dec 30 2022 14:10:43 GMT-0700 (Mountain Standard Time),-0.7,43.5,-11.6
44,Fri Dec 30 2022 14:25:43 GMT-0700 (Mountain Standard Time),0.5,41.6,-11.1
