Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Ben11,F908B422,Mon Mar 06 2023 14:06:27 GMT-0700 (Mountain Standard Time),Not set,900,10689,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Tue Nov 15 2022 06:06:27 GMT-0700 (Mountain Standard Time),-13.9,84.5,-16.0
1,Tue Nov 15 2022 06:21:27 GMT-0700 (Mountain Standard Time),-13.8,84.4,-15.9
2,Tue Nov 15 2022 06:36:27 GMT-0700 (Mountain Standard Time),-13.7,84.5,-15.8
3,Tue Nov 15 2022 06:51:27 GMT-0700 (Mountain Standard Time),-13.5,84.6,-15.5
4,Tue Nov 15 2022 07:06:27 GMT-0700 (Mountain Standard Time),-12.8,85.0,-14.8
5,Tue Nov 15 2022 07:21:27 GMT-0700 (Mountain Standard Time),-12.8,84.7,-14.8
6,Tue Nov 15 2022 07:36:27 GMT-0700 (Mountain Standard Time),-12.7,84.8,-14.7
7,Tue Nov 15 2022 07:51:27 GMT-0700 (Mountain Standard Time),-12.3,84.8,-14.3
8,Tue Nov 15 2022 08:06:27 GMT-0700 (Mountain Standard Time),-12.7,84.8,-14.7
9,Tue Nov 15 2022 08:21:27 GMT-0700 (Mountain Standard Time),-12.0,85.4,-14.0
10,Tue Nov 15 2022 08:36:27 GMT-0700 (Mountain Standard Time),-11.2,85.3,-13.2
11,Tue Nov 15 2022 08:51:27 GMT-0700 (Mountain Standard Time),-11.0,84.6,-13.1
12,Tue Nov 15 2022 09:06:27 GMT-0700 (Mountain Standard Time),-10.2,84.6,-12.3
13,Tue Nov 15 2022 09:21:27 GMT-0700 (Mountain Standard Time),-10.8,84.7,-12.9
14,Tue Nov 15 2022 09:36:27 GMT-0700 (Mountain Standard Time),-10.3,84.3,-12.4
15,Tue Nov 15 2022 09:51:27 GMT-0700 (Mountain Standard Time),-10.6,83.6,-12.8
16,Tue Nov 15 2022 10:06:27 GMT-0700 (Mountain Standard Time),-10.8,83.7,-13.0
17,Tue Nov 15 2022 10:21:27 GMT-0700 (Mountain Standard Time),-11.1,83.7,-13.3
18,Tue Nov 15 2022 10:36:27 GMT-0700 (Mountain Standard Time),-10.2,83.4,-12.5
19,Tue Nov 15 2022 10:51:27 GMT-0700 (Mountain Standard Time),-10.9,82.8,-13.3
20,Tue Nov 15 2022 11:06:27 GMT-0700 (Mountain Standard Time),-8.5,76.8,-11.9
21,Tue Nov 15 2022 11:21:27 GMT-0700 (Mountain Standard Time),-8.4,70.5,-12.8
22,Tue Nov 15 2022 11:36:27 GMT-0700 (Mountain Standard Time),-8.4,64.7,-13.9
23,Tue Nov 15 2022 11:51:27 GMT-0700 (Mountain Standard Time),-8.8,60.7,-15.0
24,Tue Nov 15 2022 12:06:27 GMT-0700 (Mountain Standard Time),-9.9,57.3,-16.8
25,Tue Nov 15 2022 12:21:27 GMT-0700 (Mountain Standard Time),-10.3,57.9,-17.0
26,Tue Nov 15 2022 12:36:27 GMT-0700 (Mountain Standard Time),-10.6,58.6,-17.2
27,Tue Nov 15 2022 12:51:27 GMT-0700 (Mountain Standard Time),-11.1,64.4,-16.5
28,Tue Nov 15 2022 13:06:27 GMT-0700 (Mountain Standard Time),-11.2,62.2,-17.0
29,Tue Nov 15 2022 13:21:27 GMT-0700 (Mountain Standard Time),-11.4,61.3,-17.4
30,Tue Nov 15 2022 13:36:27 GMT-0700 (Mountain Standard Time),-11.6,61.4,-17.6
31,Tue Nov 15 2022 13:51:27 GMT-0700 (Mountain Standard Time),-11.7,64.5,-17.1
32,Tue Nov 15 2022 14:06:27 GMT-0700 (Mountain Standard Time),-11.6,68.8,-16.2
33,Tue Nov 15 2022 14:21:27 GMT-0700 (Mountain Standard Time),-11.6,67.3,-16.5
34,Tue Nov 15 2022 14:36:27 GMT-0700 (Mountain Standard Time),-11.9,65.7,-17.0
35,Tue Nov 15 2022 14:51:27 GMT-0700 (Mountain Standard Time),-12.0,62.1,-17.8
36,Tue Nov 15 2022 15:06:27 GMT-0700 (Mountain Standard Time),-11.9,62.5,-17.6
37,Tue Nov 15 2022 15:21:27 GMT-0700 (Mountain Standard Time),-12.1,64.0,-17.6
38,Tue Nov 15 2022 15:36:27 GMT-0700 (Mountain Standard Time),-12.2,65.1,-17.4
39,Tue Nov 15 2022 15:51:27 GMT-0700 (Mountain Standard Time),-12.3,66.5,-17.3
40,Tue Nov 15 2022 16:06:27 GMT-0700 (Mountain Standard Time),-12.9,67.2,-17.7
