Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
F9C61C73,F9C61C73,Thu Mar 02 2023 14:37:20 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Dec 30 2022 02:52:20 GMT-0700 (Mountain Standard Time),-7.3,38.5,-19.1
1,Fri Dec 30 2022 03:07:20 GMT-0700 (Mountain Standard Time),-7.9,41.4,-18.8
2,Fri Dec 30 2022 03:22:20 GMT-0700 (Mountain Standard Time),-7.4,41.0,-18.5
3,Fri Dec 30 2022 03:37:20 GMT-0700 (Mountain Standard Time),-7.3,41.3,-18.3
4,Fri Dec 30 2022 03:52:20 GMT-0700 (Mountain Standard Time),-7.5,43.6,-17.8
5,Fri Dec 30 2022 04:07:20 GMT-0700 (Mountain Standard Time),-7.2,44.4,-17.3
6,Fri Dec 30 2022 04:22:20 GMT-0700 (Mountain Standard Time),-7.1,44.0,-17.3
7,Fri Dec 30 2022 04:37:20 GMT-0700 (Mountain Standard Time),-7.0,45.4,-16.9
8,Fri Dec 30 2022 04:52:20 GMT-0700 (Mountain Standard Time),-8.0,47.4,-17.3
9,Fri Dec 30 2022 05:07:20 GMT-0700 (Mountain Standard Time),-7.1,48.3,-16.2
10,Fri Dec 30 2022 05:22:20 GMT-0700 (Mountain Standard Time),-7.5,49.4,-16.3
11,Fri Dec 30 2022 05:37:20 GMT-0700 (Mountain Standard Time),-7.6,51.9,-15.8
12,Fri Dec 30 2022 05:52:20 GMT-0700 (Mountain Standard Time),-7.1,50.9,-15.6
13,Fri Dec 30 2022 06:07:20 GMT-0700 (Mountain Standard Time),-7.5,52.2,-15.7
14,Fri Dec 30 2022 06:22:20 GMT-0700 (Mountain Standard Time),-6.2,51.6,-14.6
15,Fri Dec 30 2022 06:37:20 GMT-0700 (Mountain Standard Time),-6.3,51.6,-14.7
16,Fri Dec 30 2022 06:52:20 GMT-0700 (Mountain Standard Time),-6.0,51.6,-14.4
17,Fri Dec 30 2022 07:07:20 GMT-0700 (Mountain Standard Time),-5.4,51.3,-13.9
18,Fri Dec 30 2022 07:22:20 GMT-0700 (Mountain Standard Time),-5.7,52.4,-13.9
19,Fri Dec 30 2022 07:37:20 GMT-0700 (Mountain Standard Time),-5.6,54.8,-13.3
20,Fri Dec 30 2022 07:52:20 GMT-0700 (Mountain Standard Time),-5.3,55.5,-12.8
21,Fri Dec 30 2022 08:07:20 GMT-0700 (Mountain Standard Time),-4.9,56.6,-12.2
22,Fri Dec 30 2022 08:22:20 GMT-0700 (Mountain Standard Time),-4.5,56.4,-11.9
23,Fri Dec 30 2022 08:37:20 GMT-0700 (Mountain Standard Time),-4.0,56.4,-11.4
24,Fri Dec 30 2022 08:52:20 GMT-0700 (Mountain Standard Time),-3.3,53.9,-11.3
