location,plot,individual,height_cm,species_full,leaf_area,lma,sla,ldmc
bennett,ben1,1,23,Ceanothus velutina,121.17878999999999,0.016125759301607156,0.06201258379816795,411.7188487632211
bennett,ben1,2,12,Ceanothus velutina,80.65279094,0.016615668030594753,0.06018415860010447,433.9280510313118
bennett,ben1,3,14,Ceanothus velutina,70.20550284,0.01591185811382759,0.06284621147614358,442.3282518313205
bennett,ben1,3,33,Erigeron canadensis,35.24140996,0.0033681966792681642,0.29689477641112044,222.5764110256891
bennett,ben1,1,29,Erigeron canadensis,7.4843809100000005,0.0064267172633788346,0.15560043471933474,260.7046070460704
bennett,ben1,2,40,Erigeron canadensis,51.5721259,0.003117963380291833,0.3207221759950249,228.76653862569358
bennett,ben1,1,32,Lactuca serriola,18.26643202,0.006673443388754362,0.14984767858900738,209.01920438957472
bennett,ben1,2,22,Lactuca serriola,30.593816809999996,0.006138495277209579,0.16290637279020234,162.78061887839127
bennett,ben1,3,20,Lactuca serriola,16.76030314,0.0045882225015650875,0.21794932561768532,155.1028640580879
bennett,ben1,2,28,Shepheria canadensis,37.34939442,0.010921194475420358,0.09156507580289287,336.0243842161628
bennett,ben1,1,51,Shepheria canadensis,24.781811379999997,0.010527882566750456,0.09498586193944038,283.4945126589156
bennett,ben2,2,13,Ceanothus velutina,61.32078445,0.006488827622947997,0.15411104410655943,411.64907924684456
bennett,ben2,1,17,Ceanothus velutina,51.97515584,0.011974952069715621,0.0835076411311054,416.71130155329405
bennett,ben2,3,11,Ceanothus velutina,68.21913695,0.014167578823349508,0.07058369058458355,438.28224197351716
bennett,ben2,3,27,Erigeron canadensis,3.98292762,0.006176361296768933,0.1619076268292683,275.78475336322873
bennett,ben2,2,23,Erigeron canadensis,3.74458302,0.004913764737415276,0.20350994673913045,228.28784119106697
bennett,ben2,1,45,Erigeron canadensis,11.5663854,0.007590962687444256,0.13173559681093394,315.14716439339554
bennett,ben2,1,22,Lactuca serriola,16.111171419999998,0.006846181269170557,0.146066830643699,264.57183976972897
bennett,ben2,2,35,Lactuca serriola,27.39988048,0.006175209418285754,0.16193782789598107,160.3031738512553
bennett,ben2,3,22,Lactuca serriola,13.25159516,0.006436960906976576,0.15535281547479485,376.4342453662842
bennett,ben2,1,28,Shepheria canadensis,26.865175,0.012194225423806097,0.08200602869352869,345.934530095037
bennett,ben2,2,52,Shepheria canadensis,17.28751429,0.011129419578342398,0.08985194537422038,410.23454157782515
bennett,ben2,3,29,Shepheria canadensis,20.65390603,0.009359004525305279,0.10684897066735645,232.47143716175586
bennett,ben3,2,11,Ceanothus velutina,32.00017853,0.015649912688158994,0.06389812006789138,394.20654911838795
bennett,ben3,3,12,Ceanothus velutina,36.9117691,0.013507886838184626,0.07403082450862415,378.78902985641565
bennett,ben3,1,14,Ceanothus velutina,30.779359799999998,0.013587027238948616,0.0735996169296987,399.88525530694204
bennett,ben3,3,19,Erigeron canadensis,3.28912444,0.0054117745694048595,0.18478227191011237,227.62148337595906
