Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
D8CED4EB,D8CED4EB,Wed Dec 20 2023 14:52:26 GMT-0700 (Mountain Standard Time),Not set,3600,2671,0,0,Fahrenheit,0,0,0
index,date,temperature,humidity,dewpoint
0,Thu Aug 31 2023 09:52:26 GMT-0600 (Mountain Daylight Time),86.7,62.1,72.4
1,Thu Aug 31 2023 10:52:26 GMT-0600 (Mountain Daylight Time),75.4,33.1,44.6
2,Thu Aug 31 2023 11:52:26 GMT-0600 (Mountain Daylight Time),78.4,24.5,39.5
3,Thu Aug 31 2023 12:52:26 GMT-0600 (Mountain Daylight Time),80.1,23,39.2
4,Thu Aug 31 2023 13:52:26 GMT-0600 (Mountain Daylight Time),82.2,21.7,39.6
5,Thu Aug 31 2023 14:52:26 GMT-0600 (Mountain Daylight Time),83.8,18.6,37
6,Thu Aug 31 2023 15:52:26 GMT-0600 (Mountain Daylight Time),83.5,17.3,34.9
7,Thu Aug 31 2023 16:52:26 GMT-0600 (Mountain Daylight Time),81.5,21.5,38.7
8,Thu Aug 31 2023 17:52:26 GMT-0600 (Mountain Daylight Time),79,24,39.4
9,Thu Aug 31 2023 18:52:26 GMT-0600 (Mountain Daylight Time),76.1,28.2,41.1
10,Thu Aug 31 2023 19:52:26 GMT-0600 (Mountain Daylight Time),73.8,31.7,42
11,Thu Aug 31 2023 20:52:26 GMT-0600 (Mountain Daylight Time),65.1,48.4,45.3
12,Thu Aug 31 2023 21:52:26 GMT-0600 (Mountain Daylight Time),61.2,50.1,42.5
13,Thu Aug 31 2023 22:52:26 GMT-0600 (Mountain Daylight Time),57.4,55.3,41.6
14,Thu Aug 31 2023 23:52:26 GMT-0600 (Mountain Daylight Time),52.9,63.5,40.9
15,Fri Sep 01 2023 00:52:26 GMT-0600 (Mountain Daylight Time),51.3,67.8,41
16,Fri Sep 01 2023 01:52:26 GMT-0600 (Mountain Daylight Time),48.4,73.7,40.4
17,Fri Sep 01 2023 02:52:26 GMT-0600 (Mountain Daylight Time),46.2,80.9,40.7
18,Fri Sep 01 2023 03:52:26 GMT-0600 (Mountain Daylight Time),46.4,82.5,41.4
19,Fri Sep 01 2023 04:52:26 GMT-0600 (Mountain Daylight Time),45.5,84.2,41
20,Fri Sep 01 2023 05:52:26 GMT-0600 (Mountain Daylight Time),44.8,85.9,40.8
21,Fri Sep 01 2023 06:52:26 GMT-0600 (Mountain Daylight Time),43.3,89.2,40.4
22,Fri Sep 01 2023 07:52:26 GMT-0600 (Mountain Daylight Time),43.5,90.9,41
23,Fri Sep 01 2023 08:52:26 GMT-0600 (Mountain Daylight Time),50.7,88,47.3
24,Fri Sep 01 2023 09:52:26 GMT-0600 (Mountain Daylight Time),64.4,56.4,48.7
25,Fri Sep 01 2023 10:52:26 GMT-0600 (Mountain Daylight Time),75.4,38,48.2
26,Fri Sep 01 2023 11:52:26 GMT-0600 (Mountain Daylight Time),79.7,26.2,42.3
27,Fri Sep 01 2023 12:52:26 GMT-0600 (Mountain Daylight Time),82.6,20.2,38
28,Fri Sep 01 2023 13:52:26 GMT-0600 (Mountain Daylight Time),83.3,20.9,39.5
29,Fri Sep 01 2023 14:52:26 GMT-0600 (Mountain Daylight Time),86.5,19.1,39.9
30,Fri Sep 01 2023 15:52:26 GMT-0600 (Mountain Daylight Time),82.6,18.6,35.9
31,Fri Sep 01 2023 16:52:26 GMT-0600 (Mountain Daylight Time),82.6,24.3,42.8
32,Fri Sep 01 2023 17:52:26 GMT-0600 (Mountain Daylight Time),87.6,19.7,41.6
33,Fri Sep 01 2023 18:52:26 GMT-0600 (Mountain Daylight Time),81.1,24.1,41.3
34,Fri Sep 01 2023 19:52:26 GMT-0600 (Mountain Daylight Time),75.4,29.1,41.3
35,Fri Sep 01 2023 20:52:26 GMT-0600 (Mountain Daylight Time),65.8,44,43.5
