Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
MEF_3,C94D8207,Fri Feb 17 2023 09:54:44 GMT-0700 (Mountain Standard Time),Not set,3600,1607,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Dec 12 2022 11:54:44 GMT-0700 (Mountain Standard Time),13.2,16.3,-11.8
1,Mon Dec 12 2022 12:54:44 GMT-0700 (Mountain Standard Time),5.6,15.9,-18.4
2,Mon Dec 12 2022 13:54:44 GMT-0700 (Mountain Standard Time),5.5,17.6,-17.3
3,Mon Dec 12 2022 14:54:44 GMT-0700 (Mountain Standard Time),6.0,18.6,-16.2
4,Mon Dec 12 2022 15:54:44 GMT-0700 (Mountain Standard Time),4.7,19.2,-16.9
5,Mon Dec 12 2022 16:54:44 GMT-0700 (Mountain Standard Time),3.6,20.3,-17.2
6,Mon Dec 12 2022 17:54:44 GMT-0700 (Mountain Standard Time),1.0,21.3,-18.8
7,Mon Dec 12 2022 18:54:44 GMT-0700 (Mountain Standard Time),-1.0,22.7,-19.8
8,Mon Dec 12 2022 19:54:44 GMT-0700 (Mountain Standard Time),-1.7,24.8,-19.3
9,Mon Dec 12 2022 20:54:44 GMT-0700 (Mountain Standard Time),-2.0,25.7,-19.2
10,Mon Dec 12 2022 21:54:44 GMT-0700 (Mountain Standard Time),-2.5,27.5,-18.8
11,Mon Dec 12 2022 22:54:44 GMT-0700 (Mountain Standard Time),-3.4,29.8,-18.7
12,Mon Dec 12 2022 23:54:44 GMT-0700 (Mountain Standard Time),-4.8,33.0,-18.7
13,Tue Dec 13 2022 00:54:44 GMT-0700 (Mountain Standard Time),-5.1,35.2,-18.2
14,Tue Dec 13 2022 01:54:44 GMT-0700 (Mountain Standard Time),-5.3,37.2,-17.7
15,Tue Dec 13 2022 02:54:44 GMT-0700 (Mountain Standard Time),-5.4,38.5,-17.4
16,Tue Dec 13 2022 03:54:44 GMT-0700 (Mountain Standard Time),-5.7,39.5,-17.4
17,Tue Dec 13 2022 04:54:44 GMT-0700 (Mountain Standard Time),-6.2,40.6,-17.5
18,Tue Dec 13 2022 05:54:44 GMT-0700 (Mountain Standard Time),-6.4,41.2,-17.5
19,Tue Dec 13 2022 06:54:44 GMT-0700 (Mountain Standard Time),-7.1,41.6,-18.0
20,Tue Dec 13 2022 07:54:44 GMT-0700 (Mountain Standard Time),-8.9,41.5,-19.7
21,Tue Dec 13 2022 08:54:44 GMT-0700 (Mountain Standard Time),-9.6,41.6,-20.3
22,Tue Dec 13 2022 09:54:44 GMT-0700 (Mountain Standard Time),-7.8,42.4,-18.4
23,Tue Dec 13 2022 10:54:44 GMT-0700 (Mountain Standard Time),-6.3,42.9,-16.9
24,Tue Dec 13 2022 11:54:44 GMT-0700 (Mountain Standard Time),-5.0,43.3,-15.6
25,Tue Dec 13 2022 12:54:44 GMT-0700 (Mountain Standard Time),-3.7,43.4,-14.4
26,Tue Dec 13 2022 13:54:44 GMT-0700 (Mountain Standard Time),-3.3,42.4,-14.3
27,Tue Dec 13 2022 14:54:44 GMT-0700 (Mountain Standard Time),-3.1,41.9,-14.3
28,Tue Dec 13 2022 15:54:44 GMT-0700 (Mountain Standard Time),-3.4,42.2,-14.5
29,Tue Dec 13 2022 16:54:44 GMT-0700 (Mountain Standard Time),-4.6,42.2,-15.6
30,Tue Dec 13 2022 17:54:44 GMT-0700 (Mountain Standard Time),-6.4,43.6,-16.8
31,Tue Dec 13 2022 18:54:44 GMT-0700 (Mountain Standard Time),-7.2,44.4,-17.3
32,Tue Dec 13 2022 19:54:44 GMT-0700 (Mountain Standard Time),-8.2,44.5,-18.2
33,Tue Dec 13 2022 20:54:44 GMT-0700 (Mountain Standard Time),-9.4,44.3,-19.4
34,Tue Dec 13 2022 21:54:44 GMT-0700 (Mountain Standard Time),-10.1,43.9,-20.1
35,Tue Dec 13 2022 22:54:44 GMT-0700 (Mountain Standard Time),-11.5,43.8,-21.5
36,Tue Dec 13 2022 23:54:44 GMT-0700 (Mountain Standard Time),-12.0,43.9,-21.9
37,Wed Dec 14 2022 00:54:44 GMT-0700 (Mountain Standard Time),-12.6,44.0,-22.4
38,Wed Dec 14 2022 01:54:44 GMT-0700 (Mountain Standard Time),-12.8,44.2,-22.5
39,Wed Dec 14 2022 02:54:44 GMT-0700 (Mountain Standard Time),-13.2,44.5,-22.8
40,Wed Dec 14 2022 03:54:44 GMT-0700 (Mountain Standard Time),-13.5,44.6,-23.1
41,Wed Dec 14 2022 04:54:44 GMT-0700 (Mountain Standard Time),-13.7,45.0,-23.2
42,Wed Dec 14 2022 05:54:44 GMT-0700 (Mountain Standard Time),-13.9,45.4,-23.3
43,Wed Dec 14 2022 06:54:44 GMT-0700 (Mountain Standard Time),-14.1,45.8,-23.3
44,Wed Dec 14 2022 07:54:44 GMT-0700 (Mountain Standard Time),-14.2,46.0,-23.4
