Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef14,C907CBBE,Wed Feb 21 2024 13:55:42 GMT-0700 (Mountain Standard Time),Not set,3600,4223,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Tue Aug 29 2023 16:55:42 GMT-0600 (Mountain Daylight Time),17.9,41.2,4.6
1,Tue Aug 29 2023 17:55:42 GMT-0600 (Mountain Daylight Time),18,44.9,5.9
2,Tue Aug 29 2023 18:55:42 GMT-0600 (Mountain Daylight Time),16.2,49,5.5
3,Tue Aug 29 2023 19:55:42 GMT-0600 (Mountain Daylight Time),14.1,59.7,6.4
4,Tue Aug 29 2023 20:55:42 GMT-0600 (Mountain Daylight Time),12.4,67.5,6.6
5,Tue Aug 29 2023 21:55:42 GMT-0600 (Mountain Daylight Time),12,65.5,5.8
6,Tue Aug 29 2023 22:55:42 GMT-0600 (Mountain Daylight Time),11.5,65.9,5.4
7,Tue Aug 29 2023 23:55:42 GMT-0600 (Mountain Daylight Time),11.2,68.1,5.6
8,Wed Aug 30 2023 00:55:42 GMT-0600 (Mountain Daylight Time),10.1,73,5.5
9,Wed Aug 30 2023 01:55:42 GMT-0600 (Mountain Daylight Time),10.5,71.5,5.6
10,Wed Aug 30 2023 02:55:42 GMT-0600 (Mountain Daylight Time),9.9,72.5,5.2
11,Wed Aug 30 2023 03:55:42 GMT-0600 (Mountain Daylight Time),10,71.9,5.2
12,Wed Aug 30 2023 04:55:42 GMT-0600 (Mountain Daylight Time),10.1,70,4.9
13,Wed Aug 30 2023 05:55:42 GMT-0600 (Mountain Daylight Time),9.7,71.2,4.8
14,Wed Aug 30 2023 06:55:42 GMT-0600 (Mountain Daylight Time),10,70.1,4.8
15,Wed Aug 30 2023 07:55:42 GMT-0600 (Mountain Daylight Time),11.2,66.2,5.2
16,Wed Aug 30 2023 08:55:42 GMT-0600 (Mountain Daylight Time),12.2,64.6,5.8
17,Wed Aug 30 2023 09:55:42 GMT-0600 (Mountain Daylight Time),19.3,44.9,7.1
18,Wed Aug 30 2023 10:55:42 GMT-0600 (Mountain Daylight Time),21.9,39.5,7.6
19,Wed Aug 30 2023 11:55:42 GMT-0600 (Mountain Daylight Time),20.9,40.1,6.9
20,Wed Aug 30 2023 12:55:42 GMT-0600 (Mountain Daylight Time),22.8,35.5,6.9
21,Wed Aug 30 2023 13:55:42 GMT-0600 (Mountain Daylight Time),23.3,29.8,4.8
22,Wed Aug 30 2023 14:55:42 GMT-0600 (Mountain Daylight Time),26.2,29.3,7.1
23,Wed Aug 30 2023 15:55:42 GMT-0600 (Mountain Daylight Time),25.7,20.6,1.6
24,Wed Aug 30 2023 16:55:42 GMT-0600 (Mountain Daylight Time),23.2,33.9,6.6
25,Wed Aug 30 2023 17:55:42 GMT-0600 (Mountain Daylight Time),21.3,40.9,7.6
26,Wed Aug 30 2023 18:55:42 GMT-0600 (Mountain Daylight Time),19.9,42.3,6.8
27,Wed Aug 30 2023 19:55:42 GMT-0600 (Mountain Daylight Time),17.8,43.7,5.4
28,Wed Aug 30 2023 20:55:42 GMT-0600 (Mountain Daylight Time),17.1,43.6,4.7
29,Wed Aug 30 2023 21:55:42 GMT-0600 (Mountain Daylight Time),16.4,47.1,5.2
30,Wed Aug 30 2023 22:55:42 GMT-0600 (Mountain Daylight Time),16.7,42.6,4
31,Wed Aug 30 2023 23:55:42 GMT-0600 (Mountain Daylight Time),15.7,44.2,3.6
32,Thu Aug 31 2023 00:55:42 GMT-0600 (Mountain Daylight Time),15.5,43.3,3.1
33,Thu Aug 31 2023 01:55:42 GMT-0600 (Mountain Daylight Time),15.4,41.3,2.4
34,Thu Aug 31 2023 02:55:42 GMT-0600 (Mountain Daylight Time),15.2,40.5,1.9
35,Thu Aug 31 2023 03:55:42 GMT-0600 (Mountain Daylight Time),14.4,41.7,1.6
36,Thu Aug 31 2023 04:55:42 GMT-0600 (Mountain Daylight Time),15,38.7,1.1
37,Thu Aug 31 2023 05:55:42 GMT-0600 (Mountain Daylight Time),14.3,38.8,0.5
38,Thu Aug 31 2023 06:55:42 GMT-0600 (Mountain Daylight Time),14.3,37.1,-0.1
39,Thu Aug 31 2023 07:55:42 GMT-0600 (Mountain Daylight Time),15,35.6,0
40,Thu Aug 31 2023 08:55:42 GMT-0600 (Mountain Daylight Time),16.4,32.7,0
41,Thu Aug 31 2023 09:55:42 GMT-0600 (Mountain Daylight Time),23.6,23.9,1.9
42,Thu Aug 31 2023 10:55:42 GMT-0600 (Mountain Daylight Time),25.2,22.3,2.3
43,Thu Aug 31 2023 11:55:42 GMT-0600 (Mountain Daylight Time),23.9,22,1
44,Thu Aug 31 2023 12:55:42 GMT-0600 (Mountain Daylight Time),24.2,21.3,0.8
45,Thu Aug 31 2023 13:55:42 GMT-0600 (Mountain Daylight Time),25.4,19.7,0.8
46,Thu Aug 31 2023 14:55:42 GMT-0600 (Mountain Daylight Time),25.8,18.7,0.4
47,Thu Aug 31 2023 15:55:42 GMT-0600 (Mountain Daylight Time),26.6,17.2,-0.1
48,Thu Aug 31 2023 16:55:42 GMT-0600 (Mountain Daylight Time),23.6,20.5,-0.2
49,Thu Aug 31 2023 17:55:42 GMT-0600 (Mountain Daylight Time),26.2,18.4,0.5
50,Thu Aug 31 2023 18:55:42 GMT-0600 (Mountain Daylight Time),22.6,21.1,-0.6
51,Thu Aug 31 2023 19:55:42 GMT-0600 (Mountain Daylight Time),20.7,23.3,-0.9
52,Thu Aug 31 2023 20:55:42 GMT-0600 (Mountain Daylight Time),20.2,23.9,-1
53,Thu Aug 31 2023 21:55:42 GMT-0600 (Mountain Daylight Time),19.6,25.5,-0.6
54,Thu Aug 31 2023 22:55:42 GMT-0600 (Mountain Daylight Time),17.9,33.2,1.6
55,Thu Aug 31 2023 23:55:42 GMT-0600 (Mountain Daylight Time),17.1,33.5,1
56,Fri Sep 01 2023 00:55:42 GMT-0600 (Mountain Daylight Time),16.4,39.1,2.5
57,Fri Sep 01 2023 01:55:42 GMT-0600 (Mountain Daylight Time),16.3,37.6,1.9
58,Fri Sep 01 2023 02:55:42 GMT-0600 (Mountain Daylight Time),16.2,38.5,2.1
59,Fri Sep 01 2023 03:55:42 GMT-0600 (Mountain Daylight Time),15.9,39.5,2.2
60,Fri Sep 01 2023 04:55:42 GMT-0600 (Mountain Daylight Time),16,38.1,1.8
61,Fri Sep 01 2023 05:55:42 GMT-0600 (Mountain Daylight Time),15.7,35.8,0.7
62,Fri Sep 01 2023 06:55:42 GMT-0600 (Mountain Daylight Time),16.6,31.5,-0.3
63,Fri Sep 01 2023 07:55:42 GMT-0600 (Mountain Daylight Time),17,30.2,-0.5
64,Fri Sep 01 2023 08:55:42 GMT-0600 (Mountain Daylight Time),17.2,32.6,0.7
65,Fri Sep 01 2023 09:55:42 GMT-0600 (Mountain Daylight Time),24.2,24.7,2.9
66,Fri Sep 01 2023 10:55:42 GMT-0600 (Mountain Daylight Time),26.4,23.1,3.8
67,Fri Sep 01 2023 11:55:42 GMT-0600 (Mountain Daylight Time),25.2,21,1.5
68,Fri Sep 01 2023 12:55:42 GMT-0600 (Mountain Daylight Time),25.4,19.2,0.4
69,Fri Sep 01 2023 13:55:42 GMT-0600 (Mountain Daylight Time),26.5,18.9,1.1
70,Fri Sep 01 2023 14:55:42 GMT-0600 (Mountain Daylight Time),27.5,16.4,0
71,Fri Sep 01 2023 15:55:42 GMT-0600 (Mountain Daylight Time),27.3,17.5,0.7
72,Fri Sep 01 2023 16:55:42 GMT-0600 (Mountain Daylight Time),29.1,17.5,2.2
73,Fri Sep 01 2023 17:55:42 GMT-0600 (Mountain Daylight Time),27.6,19,2.1
74,Fri Sep 01 2023 18:55:42 GMT-0600 (Mountain Daylight Time),24.3,21.3,0.9
75,Fri Sep 01 2023 19:55:42 GMT-0600 (Mountain Daylight Time),21.2,27.6,1.9
76,Fri Sep 01 2023 20:55:42 GMT-0600 (Mountain Daylight Time),19.8,30.8,2.2
77,Fri Sep 01 2023 21:55:42 GMT-0600 (Mountain Daylight Time),19.3,31.2,1.9
78,Fri Sep 01 2023 22:55:42 GMT-0600 (Mountain Daylight Time),18.5,32.6,1.8
79,Fri Sep 01 2023 23:55:42 GMT-0600 (Mountain Daylight Time),17.8,33.5,1.6
80,Sat Sep 02 2023 00:55:42 GMT-0600 (Mountain Daylight Time),18.6,31.4,1.4
81,Sat Sep 02 2023 01:55:42 GMT-0600 (Mountain Daylight Time),17.5,33.5,1.3
82,Sat Sep 02 2023 02:55:42 GMT-0600 (Mountain Daylight Time),17.7,32.5,1.1
83,Sat Sep 02 2023 03:55:42 GMT-0600 (Mountain Daylight Time),16.4,35.1,1
84,Sat Sep 02 2023 04:55:42 GMT-0600 (Mountain Daylight Time),15.9,35.1,0.6
85,Sat Sep 02 2023 05:55:42 GMT-0600 (Mountain Daylight Time),15.8,33.2,-0.3
86,Sat Sep 02 2023 06:55:42 GMT-0600 (Mountain Daylight Time),15.5,33.7,-0.4
87,Sat Sep 02 2023 07:55:42 GMT-0600 (Mountain Daylight Time),15.9,33.7,0
88,Sat Sep 02 2023 08:55:42 GMT-0600 (Mountain Daylight Time),17.7,34.1,1.8
89,Sat Sep 02 2023 09:55:42 GMT-0600 (Mountain Daylight Time),18.9,32.2,2
90,Sat Sep 02 2023 10:55:42 GMT-0600 (Mountain Daylight Time),21.5,28.8,2.7
91,Sat Sep 02 2023 11:55:42 GMT-0600 (Mountain Daylight Time),21.5,29.4,3
92,Sat Sep 02 2023 12:55:42 GMT-0600 (Mountain Daylight Time),22.3,28.3,3.2
93,Sat Sep 02 2023 13:55:42 GMT-0600 (Mountain Daylight Time),22.3,25.7,1.8
94,Sat Sep 02 2023 14:55:42 GMT-0600 (Mountain Daylight Time),22.8,24.1,1.4
95,Sat Sep 02 2023 15:55:42 GMT-0600 (Mountain Daylight Time),24.7,21.8,1.6
96,Sat Sep 02 2023 16:55:42 GMT-0600 (Mountain Daylight Time),27.8,20.7,3.4
97,Sat Sep 02 2023 17:55:42 GMT-0600 (Mountain Daylight Time),23.7,25.5,2.9
98,Sat Sep 02 2023 18:55:42 GMT-0600 (Mountain Daylight Time),19.6,37.8,4.9
99,Sat Sep 02 2023 19:55:42 GMT-0600 (Mountain Daylight Time),15,55.2,6.1
100,Sat Sep 02 2023 20:55:42 GMT-0600 (Mountain Daylight Time),17.9,39.9,4.2
101,Sat Sep 02 2023 21:55:42 GMT-0600 (Mountain Daylight Time),18,39.7,4.2
102,Sat Sep 02 2023 22:55:42 GMT-0600 (Mountain Daylight Time),17,45,5.1
103,Sat Sep 02 2023 23:55:42 GMT-0600 (Mountain Daylight Time),16.9,41.6,3.8
104,Sun Sep 03 2023 00:55:42 GMT-0600 (Mountain Daylight Time),16.1,44.2,4
105,Sun Sep 03 2023 01:55:42 GMT-0600 (Mountain Daylight Time),16.1,45.2,4.3
106,Sun Sep 03 2023 02:55:42 GMT-0600 (Mountain Daylight Time),14.4,52.7,4.9
107,Sun Sep 03 2023 03:55:42 GMT-0600 (Mountain Daylight Time),13.3,60,5.7
108,Sun Sep 03 2023 04:55:42 GMT-0600 (Mountain Daylight Time),13.3,61.4,6.1
109,Sun Sep 03 2023 05:55:42 GMT-0600 (Mountain Daylight Time),12.9,64.8,6.5
110,Sun Sep 03 2023 06:55:42 GMT-0600 (Mountain Daylight Time),13.3,62.3,6.3
111,Sun Sep 03 2023 07:55:42 GMT-0600 (Mountain Daylight Time),12.9,63.9,6.3
112,Sun Sep 03 2023 08:55:42 GMT-0600 (Mountain Daylight Time),16.1,56.9,7.6
113,Sun Sep 03 2023 09:55:42 GMT-0600 (Mountain Daylight Time),18.8,52.6,9
114,Sun Sep 03 2023 10:55:42 GMT-0600 (Mountain Daylight Time),24.8,40.7,10.7
115,Sun Sep 03 2023 11:55:42 GMT-0600 (Mountain Daylight Time),22,41,8.2
116,Sun Sep 03 2023 12:55:42 GMT-0600 (Mountain Daylight Time),22.1,37.5,7
117,Sun Sep 03 2023 13:55:42 GMT-0600 (Mountain Daylight Time),18.1,53.3,8.5
118,Sun Sep 03 2023 14:55:42 GMT-0600 (Mountain Daylight Time),15.8,76.8,11.8
119,Sun Sep 03 2023 15:55:42 GMT-0600 (Mountain Daylight Time),19.1,55.1,9.9
120,Sun Sep 03 2023 16:55:42 GMT-0600 (Mountain Daylight Time),19.3,47.8,8
121,Sun Sep 03 2023 17:55:42 GMT-0600 (Mountain Daylight Time),21.3,44.1,8.7
122,Sun Sep 03 2023 18:55:42 GMT-0600 (Mountain Daylight Time),18.1,52.7,8.4
123,Sun Sep 03 2023 19:55:42 GMT-0600 (Mountain Daylight Time),13.3,69.9,8
124,Sun Sep 03 2023 20:55:42 GMT-0600 (Mountain Daylight Time),15.5,55.8,6.8
125,Sun Sep 03 2023 21:55:42 GMT-0600 (Mountain Daylight Time),16.4,50.6,6.2
126,Sun Sep 03 2023 22:55:42 GMT-0600 (Mountain Daylight Time),16,49.8,5.6
127,Sun Sep 03 2023 23:55:42 GMT-0600 (Mountain Daylight Time),14.1,56.7,5.7
128,Mon Sep 04 2023 00:55:42 GMT-0600 (Mountain Daylight Time),13.6,57.8,5.5
129,Mon Sep 04 2023 01:55:42 GMT-0600 (Mountain Daylight Time),13.6,56.7,5.2
130,Mon Sep 04 2023 02:55:42 GMT-0600 (Mountain Daylight Time),12.6,62,5.5
131,Mon Sep 04 2023 03:55:42 GMT-0600 (Mountain Daylight Time),12.6,60.2,5.1
132,Mon Sep 04 2023 04:55:42 GMT-0600 (Mountain Daylight Time),11.2,62.5,4.3
133,Mon Sep 04 2023 05:55:42 GMT-0600 (Mountain Daylight Time),11.3,62.1,4.3
134,Mon Sep 04 2023 06:55:42 GMT-0600 (Mountain Daylight Time),11.5,60.1,4.1
135,Mon Sep 04 2023 07:55:42 GMT-0600 (Mountain Daylight Time),11.3,60.3,3.9
136,Mon Sep 04 2023 08:55:42 GMT-0600 (Mountain Daylight Time),14.8,47.6,3.8
137,Mon Sep 04 2023 09:55:42 GMT-0600 (Mountain Daylight Time),18.2,39.3,4.2
138,Mon Sep 04 2023 10:55:42 GMT-0600 (Mountain Daylight Time),20.2,34.2,4
139,Mon Sep 04 2023 11:55:42 GMT-0600 (Mountain Daylight Time),20,32.2,3
140,Mon Sep 04 2023 12:55:42 GMT-0600 (Mountain Daylight Time),20.4,32.3,3.4
141,Mon Sep 04 2023 13:55:42 GMT-0600 (Mountain Daylight Time),21,29.1,2.4
142,Mon Sep 04 2023 14:55:42 GMT-0600 (Mountain Daylight Time),22.2,26.9,2.4
143,Mon Sep 04 2023 15:55:42 GMT-0600 (Mountain Daylight Time),22.3,27,2.5
144,Mon Sep 04 2023 16:55:42 GMT-0600 (Mountain Daylight Time),23.2,18.4,-2
