Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef7,C4AA9E2F,Tue Jul 25 2023 13:00:37 GMT-0600 (Mountain Daylight Time),Not set,3600,3795,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 10:00:37 GMT-0700 (Mountain Standard Time),27.9,67.5,21.4
1,Fri Feb 17 2023 11:00:37 GMT-0700 (Mountain Standard Time),8.4,25,-10.5
2,Fri Feb 17 2023 12:00:37 GMT-0700 (Mountain Standard Time),0,38.6,-12.5
3,Fri Feb 17 2023 13:00:37 GMT-0700 (Mountain Standard Time),2.1,28.8,-14.2
4,Fri Feb 17 2023 14:00:37 GMT-0700 (Mountain Standard Time),3.2,23.4,-15.8
5,Fri Feb 17 2023 15:00:37 GMT-0700 (Mountain Standard Time),3.3,22.1,-16.4
6,Fri Feb 17 2023 16:00:37 GMT-0700 (Mountain Standard Time),2.3,24.5,-16
7,Fri Feb 17 2023 17:00:37 GMT-0700 (Mountain Standard Time),0.9,28.4,-15.4
8,Fri Feb 17 2023 18:00:37 GMT-0700 (Mountain Standard Time),-3.9,53.1,-12.1
9,Fri Feb 17 2023 19:00:37 GMT-0700 (Mountain Standard Time),-6.7,66.6,-11.9
10,Fri Feb 17 2023 20:00:37 GMT-0700 (Mountain Standard Time),-8.9,72.3,-13
11,Fri Feb 17 2023 21:00:37 GMT-0700 (Mountain Standard Time),-10.7,74.8,-14.3
12,Fri Feb 17 2023 22:00:37 GMT-0700 (Mountain Standard Time),-12.1,76.8,-15.4
13,Fri Feb 17 2023 23:00:37 GMT-0700 (Mountain Standard Time),-13.1,78.2,-16.1
14,Sat Feb 18 2023 00:00:37 GMT-0700 (Mountain Standard Time),-12.8,79.1,-15.7
15,Sat Feb 18 2023 01:00:37 GMT-0700 (Mountain Standard Time),-11.5,80.5,-14.2
16,Sat Feb 18 2023 02:00:37 GMT-0700 (Mountain Standard Time),-11.7,81,-14.3
17,Sat Feb 18 2023 03:00:37 GMT-0700 (Mountain Standard Time),-11.8,80.6,-14.5
18,Sat Feb 18 2023 04:00:37 GMT-0700 (Mountain Standard Time),-11,75.6,-14.5
19,Sat Feb 18 2023 05:00:37 GMT-0700 (Mountain Standard Time),-12.4,74.8,-16
20,Sat Feb 18 2023 06:00:37 GMT-0700 (Mountain Standard Time),-14.2,76.4,-17.5
21,Sat Feb 18 2023 07:00:37 GMT-0700 (Mountain Standard Time),-15.4,77.4,-18.5
22,Sat Feb 18 2023 08:00:37 GMT-0700 (Mountain Standard Time),-16.3,77.5,-19.3
23,Sat Feb 18 2023 09:00:37 GMT-0700 (Mountain Standard Time),-13.6,79.4,-16.4
24,Sat Feb 18 2023 10:00:37 GMT-0700 (Mountain Standard Time),-7.8,71.9,-12
25,Sat Feb 18 2023 11:00:37 GMT-0700 (Mountain Standard Time),1.6,21.9,-18
26,Sat Feb 18 2023 12:00:37 GMT-0700 (Mountain Standard Time),3.2,12.8,-22.9
27,Sat Feb 18 2023 13:00:37 GMT-0700 (Mountain Standard Time),4.3,13.6,-21.3
28,Sat Feb 18 2023 14:00:37 GMT-0700 (Mountain Standard Time),3.7,10.9,-24.3
29,Sat Feb 18 2023 15:00:37 GMT-0700 (Mountain Standard Time),4,13.2,-21.9
30,Sat Feb 18 2023 16:00:37 GMT-0700 (Mountain Standard Time),3.2,14.2,-21.7
31,Sat Feb 18 2023 17:00:37 GMT-0700 (Mountain Standard Time),1.8,17,-20.8
32,Sat Feb 18 2023 18:00:37 GMT-0700 (Mountain Standard Time),-2.9,37.9,-15.3
33,Sat Feb 18 2023 19:00:37 GMT-0700 (Mountain Standard Time),-5.8,47.8,-15.1
34,Sat Feb 18 2023 20:00:37 GMT-0700 (Mountain Standard Time),-7.9,52.8,-15.9
35,Sat Feb 18 2023 21:00:37 GMT-0700 (Mountain Standard Time),-4.6,39.2,-16.5
