Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef11,D9BBAA50,Tue Jul 25 2023 18:53:18 GMT-0600 (Mountain Daylight Time),Not set,3600,3798,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 12:53:18 GMT-0700 (Mountain Standard Time),27.6,70.2,21.7
1,Fri Feb 17 2023 13:53:18 GMT-0700 (Mountain Standard Time),12.7,30.7,-4.1
2,Fri Feb 17 2023 14:53:18 GMT-0700 (Mountain Standard Time),4.8,20.4,-16.1
3,Fri Feb 17 2023 15:53:18 GMT-0700 (Mountain Standard Time),2.5,23.9,-16.1
4,Fri Feb 17 2023 16:53:18 GMT-0700 (Mountain Standard Time),1.5,22.3,-17.8
5,Fri Feb 17 2023 17:53:18 GMT-0700 (Mountain Standard Time),-0.6,25.6,-18
6,Fri Feb 17 2023 18:53:18 GMT-0700 (Mountain Standard Time),-2.6,36,-15.7
7,Fri Feb 17 2023 19:53:18 GMT-0700 (Mountain Standard Time),-3.8,36,-16.8
8,Fri Feb 17 2023 20:53:18 GMT-0700 (Mountain Standard Time),-4.8,37.1,-17.3
9,Fri Feb 17 2023 21:53:18 GMT-0700 (Mountain Standard Time),-5.7,37.2,-18.1
10,Fri Feb 17 2023 22:53:18 GMT-0700 (Mountain Standard Time),-5.6,37.1,-18
11,Fri Feb 17 2023 23:53:18 GMT-0700 (Mountain Standard Time),-5.9,35.8,-18.7
12,Sat Feb 18 2023 00:53:18 GMT-0700 (Mountain Standard Time),-5.8,37.3,-18.1
13,Sat Feb 18 2023 01:53:18 GMT-0700 (Mountain Standard Time),-5.4,36,-18.2
14,Sat Feb 18 2023 02:53:18 GMT-0700 (Mountain Standard Time),-5.7,36,-18.5
15,Sat Feb 18 2023 03:53:18 GMT-0700 (Mountain Standard Time),-5.9,32.4,-19.9
16,Sat Feb 18 2023 04:53:18 GMT-0700 (Mountain Standard Time),-6.8,32.7,-20.6
17,Sat Feb 18 2023 05:53:18 GMT-0700 (Mountain Standard Time),-8.3,34.9,-21.2
18,Sat Feb 18 2023 06:53:18 GMT-0700 (Mountain Standard Time),-8.7,34.9,-21.5
19,Sat Feb 18 2023 07:53:18 GMT-0700 (Mountain Standard Time),-9.2,33.9,-22.3
20,Sat Feb 18 2023 08:53:18 GMT-0700 (Mountain Standard Time),-8.3,31.4,-22.4
21,Sat Feb 18 2023 09:53:18 GMT-0700 (Mountain Standard Time),-5.8,28.6,-21.3
22,Sat Feb 18 2023 10:53:18 GMT-0700 (Mountain Standard Time),-0.5,24.8,-18.3
23,Sat Feb 18 2023 11:53:18 GMT-0700 (Mountain Standard Time),2,16.9,-20.7
24,Sat Feb 18 2023 12:53:18 GMT-0700 (Mountain Standard Time),2.9,14.6,-21.6
25,Sat Feb 18 2023 13:53:18 GMT-0700 (Mountain Standard Time),3.6,15.4,-20.4
26,Sat Feb 18 2023 14:53:18 GMT-0700 (Mountain Standard Time),4.2,15.7,-19.7
27,Sat Feb 18 2023 15:53:18 GMT-0700 (Mountain Standard Time),2.5,15.5,-21.3
28,Sat Feb 18 2023 16:53:18 GMT-0700 (Mountain Standard Time),1.1,18.1,-20.6
29,Sat Feb 18 2023 17:53:18 GMT-0700 (Mountain Standard Time),-0.8,21,-20.5
30,Sat Feb 18 2023 18:53:18 GMT-0700 (Mountain Standard Time),-2.6,19.8,-22.7
31,Sat Feb 18 2023 19:53:18 GMT-0700 (Mountain Standard Time),-3.4,21.9,-22.2
32,Sat Feb 18 2023 20:53:18 GMT-0700 (Mountain Standard Time),-3.9,27.3,-20.1
33,Sat Feb 18 2023 21:53:18 GMT-0700 (Mountain Standard Time),-4.4,27,-20.7
34,Sat Feb 18 2023 22:53:18 GMT-0700 (Mountain Standard Time),-5.1,26.7,-21.4
35,Sat Feb 18 2023 23:53:18 GMT-0700 (Mountain Standard Time),-5,26.7,-21.3
36,Sun Feb 19 2023 00:53:18 GMT-0700 (Mountain Standard Time),-5.5,30.5,-20.2
37,Sun Feb 19 2023 01:53:18 GMT-0700 (Mountain Standard Time),-5.9,34.9,-19
38,Sun Feb 19 2023 02:53:18 GMT-0700 (Mountain Standard Time),-6.1,38.3,-18.1
39,Sun Feb 19 2023 03:53:18 GMT-0700 (Mountain Standard Time),-6.3,40.9,-17.5
40,Sun Feb 19 2023 04:53:18 GMT-0700 (Mountain Standard Time),-6,43.9,-16.4
41,Sun Feb 19 2023 05:53:18 GMT-0700 (Mountain Standard Time),-6.1,46.8,-15.7
42,Sun Feb 19 2023 06:53:18 GMT-0700 (Mountain Standard Time),-6.3,47.6,-15.7
43,Sun Feb 19 2023 07:53:18 GMT-0700 (Mountain Standard Time),-6.8,49.1,-15.7
