Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef12,DA8D74D7,Mon Jul 24 2023 12:30:41 GMT-0600 (Mountain Daylight Time),Not set,3600,3765,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 15:30:41 GMT-0700 (Mountain Standard Time),27.8,68.2,21.5
1,Fri Feb 17 2023 16:30:41 GMT-0700 (Mountain Standard Time),8,28.4,-9.2
2,Fri Feb 17 2023 17:30:41 GMT-0700 (Mountain Standard Time),1,43.4,-10.1
3,Fri Feb 17 2023 18:30:41 GMT-0700 (Mountain Standard Time),-2.6,59.9,-9.3
4,Fri Feb 17 2023 19:30:41 GMT-0700 (Mountain Standard Time),-4.4,64.3,-10.1
5,Fri Feb 17 2023 20:30:41 GMT-0700 (Mountain Standard Time),-5.2,64.8,-10.8
6,Fri Feb 17 2023 21:30:41 GMT-0700 (Mountain Standard Time),-6,65.7,-11.4
7,Fri Feb 17 2023 22:30:41 GMT-0700 (Mountain Standard Time),-6.9,66.8,-12.1
8,Fri Feb 17 2023 23:30:41 GMT-0700 (Mountain Standard Time),-8.2,71.3,-12.5
9,Sat Feb 18 2023 00:30:41 GMT-0700 (Mountain Standard Time),-8.7,71.8,-12.9
10,Sat Feb 18 2023 01:30:41 GMT-0700 (Mountain Standard Time),-8.2,70.6,-12.6
11,Sat Feb 18 2023 02:30:41 GMT-0700 (Mountain Standard Time),-8.2,70.7,-12.6
12,Sat Feb 18 2023 03:30:41 GMT-0700 (Mountain Standard Time),-8.2,69.8,-12.8
13,Sat Feb 18 2023 04:30:41 GMT-0700 (Mountain Standard Time),-8.6,67.5,-13.6
14,Sat Feb 18 2023 05:30:41 GMT-0700 (Mountain Standard Time),-9.2,66.2,-14.4
15,Sat Feb 18 2023 06:30:41 GMT-0700 (Mountain Standard Time),-10.2,66.7,-15.2
16,Sat Feb 18 2023 07:30:41 GMT-0700 (Mountain Standard Time),-10.4,67.3,-15.3
17,Sat Feb 18 2023 08:30:41 GMT-0700 (Mountain Standard Time),-10.5,66.7,-15.5
18,Sat Feb 18 2023 09:30:41 GMT-0700 (Mountain Standard Time),-8.8,66.5,-13.9
19,Sat Feb 18 2023 10:30:41 GMT-0700 (Mountain Standard Time),-1.6,50.4,-10.6
20,Sat Feb 18 2023 11:30:41 GMT-0700 (Mountain Standard Time),3.4,26.3,-14.2
21,Sat Feb 18 2023 12:30:41 GMT-0700 (Mountain Standard Time),5.3,19.2,-16.4
22,Sat Feb 18 2023 13:30:41 GMT-0700 (Mountain Standard Time),5.8,17.4,-17.2
23,Sat Feb 18 2023 14:30:41 GMT-0700 (Mountain Standard Time),5.7,19.4,-15.9
24,Sat Feb 18 2023 15:30:41 GMT-0700 (Mountain Standard Time),5.2,17.3,-17.7
25,Sat Feb 18 2023 16:30:41 GMT-0700 (Mountain Standard Time),3.4,30.4,-12.4
26,Sat Feb 18 2023 17:30:41 GMT-0700 (Mountain Standard Time),1.3,39.8,-10.9
27,Sat Feb 18 2023 18:30:41 GMT-0700 (Mountain Standard Time),-1.4,46.5,-11.4
28,Sat Feb 18 2023 19:30:41 GMT-0700 (Mountain Standard Time),-4.2,52.3,-12.5
29,Sat Feb 18 2023 20:30:41 GMT-0700 (Mountain Standard Time),-5,53.3,-13.1
30,Sat Feb 18 2023 21:30:41 GMT-0700 (Mountain Standard Time),-3.6,46.6,-13.4
31,Sat Feb 18 2023 22:30:41 GMT-0700 (Mountain Standard Time),-4.4,48.8,-13.6
32,Sat Feb 18 2023 23:30:41 GMT-0700 (Mountain Standard Time),-6,55.5,-13.5
33,Sun Feb 19 2023 00:30:41 GMT-0700 (Mountain Standard Time),-6.3,55.8,-13.7
34,Sun Feb 19 2023 01:30:41 GMT-0700 (Mountain Standard Time),-6.6,60.9,-12.9
35,Sun Feb 19 2023 02:30:41 GMT-0700 (Mountain Standard Time),-5.8,56.9,-13
36,Sun Feb 19 2023 03:30:41 GMT-0700 (Mountain Standard Time),-6.5,60.6,-12.9
37,Sun Feb 19 2023 04:30:41 GMT-0700 (Mountain Standard Time),-6.7,62.7,-12.7
38,Sun Feb 19 2023 05:30:41 GMT-0700 (Mountain Standard Time),-7.2,65,-12.7
39,Sun Feb 19 2023 06:30:41 GMT-0700 (Mountain Standard Time),-8,67,-13.1
40,Sun Feb 19 2023 07:30:41 GMT-0700 (Mountain Standard Time),-8.7,69.5,-13.3
