Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef8,DC9DCF9F,Tue Jul 25 2023 13:00:26 GMT-0600 (Mountain Daylight Time),Not set,3600,3794,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 11:00:26 GMT-0700 (Mountain Standard Time),27.6,70.5,21.8
1,Fri Feb 17 2023 12:00:26 GMT-0700 (Mountain Standard Time),9.7,34.8,-5.1
2,Fri Feb 17 2023 13:00:26 GMT-0700 (Mountain Standard Time),-0.7,47.5,-10.5
3,Fri Feb 17 2023 14:00:26 GMT-0700 (Mountain Standard Time),2.2,34.9,-11.7
4,Fri Feb 17 2023 15:00:26 GMT-0700 (Mountain Standard Time),2.3,32.3,-12.6
5,Fri Feb 17 2023 16:00:26 GMT-0700 (Mountain Standard Time),2.1,28.8,-14.2
6,Fri Feb 17 2023 17:00:26 GMT-0700 (Mountain Standard Time),-0.2,44.9,-10.8
7,Fri Feb 17 2023 18:00:26 GMT-0700 (Mountain Standard Time),-2.5,54.8,-10.4
8,Fri Feb 17 2023 19:00:26 GMT-0700 (Mountain Standard Time),-5.3,67.7,-10.3
9,Fri Feb 17 2023 20:00:26 GMT-0700 (Mountain Standard Time),-7.5,73.2,-11.5
10,Fri Feb 17 2023 21:00:26 GMT-0700 (Mountain Standard Time),-9.7,75.3,-13.3
11,Fri Feb 17 2023 22:00:26 GMT-0700 (Mountain Standard Time),-11.3,76.5,-14.6
12,Fri Feb 17 2023 23:00:26 GMT-0700 (Mountain Standard Time),-12.5,76.9,-15.7
13,Sat Feb 18 2023 00:00:26 GMT-0700 (Mountain Standard Time),-13.5,77.4,-16.6
14,Sat Feb 18 2023 01:00:26 GMT-0700 (Mountain Standard Time),-12.9,79.7,-15.7
15,Sat Feb 18 2023 02:00:26 GMT-0700 (Mountain Standard Time),-11.7,80.6,-14.4
16,Sat Feb 18 2023 03:00:26 GMT-0700 (Mountain Standard Time),-11.9,81,-14.5
17,Sat Feb 18 2023 04:00:26 GMT-0700 (Mountain Standard Time),-12.1,82.4,-14.5
18,Sat Feb 18 2023 05:00:26 GMT-0700 (Mountain Standard Time),-12.1,80,-14.9
19,Sat Feb 18 2023 06:00:26 GMT-0700 (Mountain Standard Time),-13.1,78.3,-16.1
20,Sat Feb 18 2023 07:00:26 GMT-0700 (Mountain Standard Time),-14.8,78.2,-17.8
21,Sat Feb 18 2023 08:00:26 GMT-0700 (Mountain Standard Time),-16.2,77.8,-19.2
22,Sat Feb 18 2023 09:00:26 GMT-0700 (Mountain Standard Time),-16.4,77.9,-19.4
23,Sat Feb 18 2023 10:00:26 GMT-0700 (Mountain Standard Time),-13.7,78.7,-16.6
24,Sat Feb 18 2023 11:00:26 GMT-0700 (Mountain Standard Time),-8,78,-11.2
25,Sat Feb 18 2023 12:00:26 GMT-0700 (Mountain Standard Time),1.1,28.1,-15.4
26,Sat Feb 18 2023 13:00:26 GMT-0700 (Mountain Standard Time),3,18.9,-18.5
27,Sat Feb 18 2023 14:00:26 GMT-0700 (Mountain Standard Time),4.4,16.2,-19.2
28,Sat Feb 18 2023 15:00:26 GMT-0700 (Mountain Standard Time),3.6,15.5,-20.4
29,Sat Feb 18 2023 16:00:26 GMT-0700 (Mountain Standard Time),3.8,16.8,-19.3
30,Sat Feb 18 2023 17:00:26 GMT-0700 (Mountain Standard Time),2.1,20.9,-18.1
31,Sat Feb 18 2023 18:00:26 GMT-0700 (Mountain Standard Time),-0.5,33.5,-14.7
32,Sat Feb 18 2023 19:00:26 GMT-0700 (Mountain Standard Time),-4.1,49.2,-13.2
33,Sat Feb 18 2023 20:00:26 GMT-0700 (Mountain Standard Time),-6.4,54.4,-14.1
34,Sat Feb 18 2023 21:00:26 GMT-0700 (Mountain Standard Time),-8.4,58.2,-15.2
35,Sat Feb 18 2023 22:00:26 GMT-0700 (Mountain Standard Time),-7.3,53.4,-15.2
36,Sat Feb 18 2023 23:00:26 GMT-0700 (Mountain Standard Time),-6.1,43.7,-16.5
37,Sun Feb 19 2023 00:00:26 GMT-0700 (Mountain Standard Time),-6.8,43.8,-17.1
38,Sun Feb 19 2023 01:00:26 GMT-0700 (Mountain Standard Time),-7.4,47.5,-16.7
39,Sun Feb 19 2023 02:00:26 GMT-0700 (Mountain Standard Time),-6.3,45.7,-16.2
40,Sun Feb 19 2023 03:00:26 GMT-0700 (Mountain Standard Time),-8.3,54.8,-15.8
41,Sun Feb 19 2023 04:00:26 GMT-0700 (Mountain Standard Time),-8.5,57,-15.5
42,Sun Feb 19 2023 05:00:26 GMT-0700 (Mountain Standard Time),-8.6,59.1,-15.2
43,Sun Feb 19 2023 06:00:26 GMT-0700 (Mountain Standard Time),-8.6,60.7,-14.9
44,Sun Feb 19 2023 07:00:26 GMT-0700 (Mountain Standard Time),-9.5,66.1,-14.7
45,Sun Feb 19 2023 08:00:26 GMT-0700 (Mountain Standard Time),-10.4,66.6,-15.4
46,Sun Feb 19 2023 09:00:26 GMT-0700 (Mountain Standard Time),-11,70.8,-15.3
47,Sun Feb 19 2023 10:00:26 GMT-0700 (Mountain Standard Time),-3.7,49.5,-12.8
48,Sun Feb 19 2023 11:00:26 GMT-0700 (Mountain Standard Time),-0.1,34.6,-13.9
49,Sun Feb 19 2023 12:00:26 GMT-0700 (Mountain Standard Time),0.6,33.5,-13.7
50,Sun Feb 19 2023 13:00:26 GMT-0700 (Mountain Standard Time),1.5,33.6,-12.8
51,Sun Feb 19 2023 14:00:26 GMT-0700 (Mountain Standard Time),0.6,38.6,-11.9
52,Sun Feb 19 2023 15:00:26 GMT-0700 (Mountain Standard Time),0.9,36.5,-12.4
53,Sun Feb 19 2023 16:00:26 GMT-0700 (Mountain Standard Time),0.8,34.8,-13
54,Sun Feb 19 2023 17:00:26 GMT-0700 (Mountain Standard Time),0.1,32.8,-14.4
55,Sun Feb 19 2023 18:00:26 GMT-0700 (Mountain Standard Time),-0.8,33.6,-14.9
56,Sun Feb 19 2023 19:00:26 GMT-0700 (Mountain Standard Time),-1.9,33.7,-15.8
57,Sun Feb 19 2023 20:00:26 GMT-0700 (Mountain Standard Time),-1.7,30.9,-16.7
58,Sun Feb 19 2023 21:00:26 GMT-0700 (Mountain Standard Time),-1.6,31.2,-16.5
59,Sun Feb 19 2023 22:00:26 GMT-0700 (Mountain Standard Time),-1.8,33,-16
60,Sun Feb 19 2023 23:00:26 GMT-0700 (Mountain Standard Time),-5.6,48.8,-14.7
61,Mon Feb 20 2023 00:00:26 GMT-0700 (Mountain Standard Time),-3.4,41.4,-14.7
62,Mon Feb 20 2023 01:00:26 GMT-0700 (Mountain Standard Time),-6.7,53.3,-14.7
63,Mon Feb 20 2023 02:00:26 GMT-0700 (Mountain Standard Time),-4.8,48.7,-14
