Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef10,E1097B72,Tue Jul 25 2023 18:26:58 GMT-0600 (Mountain Daylight Time),Not set,3600,3797,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 13:26:58 GMT-0700 (Mountain Standard Time),17.5,30.4,0
1,Fri Feb 17 2023 14:26:58 GMT-0700 (Mountain Standard Time),3.6,21.7,-16.4
2,Fri Feb 17 2023 15:26:58 GMT-0700 (Mountain Standard Time),3,17.5,-19.4
3,Fri Feb 17 2023 16:26:58 GMT-0700 (Mountain Standard Time),2.1,20.5,-18.3
4,Fri Feb 17 2023 17:26:58 GMT-0700 (Mountain Standard Time),0.6,22.7,-18.4
5,Fri Feb 17 2023 18:26:58 GMT-0700 (Mountain Standard Time),-1.8,33.8,-15.7
6,Fri Feb 17 2023 19:26:58 GMT-0700 (Mountain Standard Time),-2.8,33.8,-16.6
7,Fri Feb 17 2023 20:26:58 GMT-0700 (Mountain Standard Time),-3.5,32.5,-17.7
8,Fri Feb 17 2023 21:26:58 GMT-0700 (Mountain Standard Time),-3.8,31.5,-18.4
9,Fri Feb 17 2023 22:26:58 GMT-0700 (Mountain Standard Time),-4.5,32.1,-18.7
10,Fri Feb 17 2023 23:26:58 GMT-0700 (Mountain Standard Time),-4.9,32.2,-19.1
11,Sat Feb 18 2023 00:26:58 GMT-0700 (Mountain Standard Time),-4.5,31.6,-18.9
12,Sat Feb 18 2023 01:26:58 GMT-0700 (Mountain Standard Time),-4.5,32,-18.8
13,Sat Feb 18 2023 02:26:58 GMT-0700 (Mountain Standard Time),-5.2,33,-19
14,Sat Feb 18 2023 03:26:58 GMT-0700 (Mountain Standard Time),-5,29,-20.4
15,Sat Feb 18 2023 04:26:58 GMT-0700 (Mountain Standard Time),-5.8,28,-21.5
16,Sat Feb 18 2023 05:26:58 GMT-0700 (Mountain Standard Time),-7.2,31,-21.6
17,Sat Feb 18 2023 06:26:58 GMT-0700 (Mountain Standard Time),-7.3,30.8,-21.7
18,Sat Feb 18 2023 07:26:58 GMT-0700 (Mountain Standard Time),-8.3,31.6,-22.3
19,Sat Feb 18 2023 08:26:58 GMT-0700 (Mountain Standard Time),-7.6,29.4,-22.5
20,Sat Feb 18 2023 09:26:58 GMT-0700 (Mountain Standard Time),-6.3,27.5,-22.1
21,Sat Feb 18 2023 10:26:58 GMT-0700 (Mountain Standard Time),-2.9,24.6,-20.5
22,Sat Feb 18 2023 11:26:58 GMT-0700 (Mountain Standard Time),0.5,15.6,-22.9
23,Sat Feb 18 2023 12:26:58 GMT-0700 (Mountain Standard Time),1.3,14.3,-23.2
24,Sat Feb 18 2023 13:26:58 GMT-0700 (Mountain Standard Time),2.6,15.4,-21.3
25,Sat Feb 18 2023 14:26:58 GMT-0700 (Mountain Standard Time),2.7,13.5,-22.7
26,Sat Feb 18 2023 15:26:58 GMT-0700 (Mountain Standard Time),2.4,16.3,-20.8
27,Sat Feb 18 2023 16:26:58 GMT-0700 (Mountain Standard Time),1.9,16.5,-21
28,Sat Feb 18 2023 17:26:58 GMT-0700 (Mountain Standard Time),0.7,18.1,-21
29,Sat Feb 18 2023 18:26:58 GMT-0700 (Mountain Standard Time),-1.4,17.5,-23.1
30,Sat Feb 18 2023 19:26:58 GMT-0700 (Mountain Standard Time),-3,21,-22.4
31,Sat Feb 18 2023 20:26:58 GMT-0700 (Mountain Standard Time),-3.7,26.3,-20.4
32,Sat Feb 18 2023 21:26:58 GMT-0700 (Mountain Standard Time),-3.9,27.3,-20.1
33,Sat Feb 18 2023 22:26:58 GMT-0700 (Mountain Standard Time),-4.5,25.9,-21.3
34,Sat Feb 18 2023 23:26:58 GMT-0700 (Mountain Standard Time),-4.5,25.4,-21.5
35,Sun Feb 19 2023 00:26:58 GMT-0700 (Mountain Standard Time),-4.9,28.4,-20.5
36,Sun Feb 19 2023 01:26:58 GMT-0700 (Mountain Standard Time),-5.6,34.4,-18.9
37,Sun Feb 19 2023 02:26:58 GMT-0700 (Mountain Standard Time),-6.1,38.6,-18
38,Sun Feb 19 2023 03:26:58 GMT-0700 (Mountain Standard Time),-6,41.5,-17
39,Sun Feb 19 2023 04:26:58 GMT-0700 (Mountain Standard Time),-5.8,43.2,-16.4
40,Sun Feb 19 2023 05:26:58 GMT-0700 (Mountain Standard Time),-5.9,46.9,-15.5
41,Sun Feb 19 2023 06:26:58 GMT-0700 (Mountain Standard Time),-5.9,47.7,-15.3
42,Sun Feb 19 2023 07:26:58 GMT-0700 (Mountain Standard Time),-6.7,49.5,-15.6
43,Sun Feb 19 2023 08:26:58 GMT-0700 (Mountain Standard Time),-5.6,46.4,-15.3
44,Sun Feb 19 2023 09:26:58 GMT-0700 (Mountain Standard Time),-3.1,39.1,-15.1
45,Sun Feb 19 2023 10:26:58 GMT-0700 (Mountain Standard Time),-1.6,33.7,-15.6
46,Sun Feb 19 2023 11:26:58 GMT-0700 (Mountain Standard Time),-0.2,34.2,-14.1
47,Sun Feb 19 2023 12:26:58 GMT-0700 (Mountain Standard Time),0.5,34.4,-13.4
48,Sun Feb 19 2023 13:26:58 GMT-0700 (Mountain Standard Time),-1.1,36.2,-14.3
49,Sun Feb 19 2023 14:26:58 GMT-0700 (Mountain Standard Time),-0.1,36.4,-13.3
50,Sun Feb 19 2023 15:26:58 GMT-0700 (Mountain Standard Time),-0.9,35.7,-14.2
51,Sun Feb 19 2023 16:26:58 GMT-0700 (Mountain Standard Time),-1.4,32.6,-15.8
52,Sun Feb 19 2023 17:26:58 GMT-0700 (Mountain Standard Time),-2.3,34.5,-15.9
53,Sun Feb 19 2023 18:26:58 GMT-0700 (Mountain Standard Time),-2.8,30.5,-17.8
54,Sun Feb 19 2023 19:26:58 GMT-0700 (Mountain Standard Time),-2.8,30.8,-17.7
55,Sun Feb 19 2023 20:26:58 GMT-0700 (Mountain Standard Time),-2.7,31,-17.6
56,Sun Feb 19 2023 21:26:58 GMT-0700 (Mountain Standard Time),-2.9,33.2,-16.9
57,Sun Feb 19 2023 22:26:58 GMT-0700 (Mountain Standard Time),-4.5,37.2,-17
58,Sun Feb 19 2023 23:26:58 GMT-0700 (Mountain Standard Time),-3.7,37,-16.3
59,Mon Feb 20 2023 00:26:58 GMT-0700 (Mountain Standard Time),-4.6,41.1,-15.9
60,Mon Feb 20 2023 01:26:58 GMT-0700 (Mountain Standard Time),-4.1,40.1,-15.7
