Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef6,F709FE3B,Tue Jul 25 2023 10:45:45 GMT-0600 (Mountain Daylight Time),Not set,3600,3792,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Feb 17 2023 10:45:45 GMT-0700 (Mountain Standard Time),19,74.3,14.4
1,Fri Feb 17 2023 11:45:45 GMT-0700 (Mountain Standard Time),-4.1,58,-11.2
2,Fri Feb 17 2023 12:45:45 GMT-0700 (Mountain Standard Time),-0.9,47.8,-10.6
3,Fri Feb 17 2023 13:45:45 GMT-0700 (Mountain Standard Time),1.1,39,-11.3
4,Fri Feb 17 2023 14:45:45 GMT-0700 (Mountain Standard Time),0.9,37.9,-11.9
5,Fri Feb 17 2023 15:45:45 GMT-0700 (Mountain Standard Time),1.8,34.2,-12.4
6,Fri Feb 17 2023 16:45:45 GMT-0700 (Mountain Standard Time),1.6,31,-13.8
7,Fri Feb 17 2023 17:45:45 GMT-0700 (Mountain Standard Time),-2,52.8,-10.4
8,Fri Feb 17 2023 18:45:45 GMT-0700 (Mountain Standard Time),-5.8,67.5,-10.9
9,Fri Feb 17 2023 19:45:45 GMT-0700 (Mountain Standard Time),-7.8,72.6,-11.9
10,Fri Feb 17 2023 20:45:45 GMT-0700 (Mountain Standard Time),-9.7,74,-13.5
11,Fri Feb 17 2023 21:45:45 GMT-0700 (Mountain Standard Time),-11,75.8,-14.4
12,Fri Feb 17 2023 22:45:45 GMT-0700 (Mountain Standard Time),-12.2,76.1,-15.6
13,Fri Feb 17 2023 23:45:45 GMT-0700 (Mountain Standard Time),-12.9,77.2,-16.1
14,Sat Feb 18 2023 00:45:45 GMT-0700 (Mountain Standard Time),-12.5,78.5,-15.5
15,Sat Feb 18 2023 01:45:45 GMT-0700 (Mountain Standard Time),-12,79.7,-14.8
16,Sat Feb 18 2023 02:45:45 GMT-0700 (Mountain Standard Time),-12.5,79.2,-15.4
17,Sat Feb 18 2023 03:45:45 GMT-0700 (Mountain Standard Time),-11.5,80.2,-14.2
18,Sat Feb 18 2023 04:45:45 GMT-0700 (Mountain Standard Time),-12.5,76.2,-15.8
19,Sat Feb 18 2023 05:45:45 GMT-0700 (Mountain Standard Time),-14.3,77.3,-17.4
20,Sat Feb 18 2023 06:45:45 GMT-0700 (Mountain Standard Time),-15,76.8,-18.2
21,Sat Feb 18 2023 07:45:45 GMT-0700 (Mountain Standard Time),-16.2,77,-19.3
22,Sat Feb 18 2023 08:45:45 GMT-0700 (Mountain Standard Time),-16,77.7,-19
23,Sat Feb 18 2023 09:45:45 GMT-0700 (Mountain Standard Time),-12.7,81.1,-15.3
24,Sat Feb 18 2023 10:45:45 GMT-0700 (Mountain Standard Time),-6.4,71.2,-10.8
25,Sat Feb 18 2023 11:45:45 GMT-0700 (Mountain Standard Time),1.5,27.1,-15.5
26,Sat Feb 18 2023 12:45:45 GMT-0700 (Mountain Standard Time),2,23.3,-16.9
27,Sat Feb 18 2023 13:45:45 GMT-0700 (Mountain Standard Time),3.3,21,-17
28,Sat Feb 18 2023 14:45:45 GMT-0700 (Mountain Standard Time),3.4,18.3,-18.6
29,Sat Feb 18 2023 15:45:45 GMT-0700 (Mountain Standard Time),3.3,18.3,-18.7
30,Sat Feb 18 2023 16:45:45 GMT-0700 (Mountain Standard Time),2.6,20.4,-18
31,Sat Feb 18 2023 17:45:45 GMT-0700 (Mountain Standard Time),0.6,26,-16.8
32,Sat Feb 18 2023 18:45:45 GMT-0700 (Mountain Standard Time),-4.8,52.2,-13.1
33,Sat Feb 18 2023 19:45:45 GMT-0700 (Mountain Standard Time),-5.7,51.5,-14.1
34,Sat Feb 18 2023 20:45:45 GMT-0700 (Mountain Standard Time),-6.8,57.5,-13.8
35,Sat Feb 18 2023 21:45:45 GMT-0700 (Mountain Standard Time),-3.2,34.6,-16.7
36,Sat Feb 18 2023 22:45:45 GMT-0700 (Mountain Standard Time),-4.1,37.6,-16.5
37,Sat Feb 18 2023 23:45:45 GMT-0700 (Mountain Standard Time),-4.6,38.4,-16.7
38,Sun Feb 19 2023 00:45:45 GMT-0700 (Mountain Standard Time),-6.6,50.1,-15.3
39,Sun Feb 19 2023 01:45:45 GMT-0700 (Mountain Standard Time),-8.1,56.5,-15.3
40,Sun Feb 19 2023 02:45:45 GMT-0700 (Mountain Standard Time),-5.5,47.5,-14.9
41,Sun Feb 19 2023 03:45:45 GMT-0700 (Mountain Standard Time),-4.4,42.9,-15.2
42,Sun Feb 19 2023 04:45:45 GMT-0700 (Mountain Standard Time),-4.3,44.1,-14.7
43,Sun Feb 19 2023 05:45:45 GMT-0700 (Mountain Standard Time),-4.7,47.5,-14.2
44,Sun Feb 19 2023 06:45:45 GMT-0700 (Mountain Standard Time),-7.3,56.5,-14.5
45,Sun Feb 19 2023 07:45:45 GMT-0700 (Mountain Standard Time),-10.7,64.4,-16.1
46,Sun Feb 19 2023 08:45:45 GMT-0700 (Mountain Standard Time),-9,67.8,-13.9
