Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef4,FD81E27D,Tue Jul 25 2023 17:49:16 GMT-0600 (Mountain Daylight Time),Not set,3600,5405,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Dec 12 2022 12:49:16 GMT-0700 (Mountain Standard Time),14.5,13.9,-12.8
1,Mon Dec 12 2022 13:49:16 GMT-0700 (Mountain Standard Time),3,27.1,-14.2
2,Mon Dec 12 2022 14:49:16 GMT-0700 (Mountain Standard Time),3,27.9,-13.8
3,Mon Dec 12 2022 15:49:16 GMT-0700 (Mountain Standard Time),0.2,32.1,-14.6
4,Mon Dec 12 2022 16:49:16 GMT-0700 (Mountain Standard Time),-1.4,38.2,-13.9
5,Mon Dec 12 2022 17:49:16 GMT-0700 (Mountain Standard Time),-3.1,41.9,-14.3
6,Mon Dec 12 2022 18:49:16 GMT-0700 (Mountain Standard Time),-3.8,46.9,-13.5
7,Mon Dec 12 2022 19:49:16 GMT-0700 (Mountain Standard Time),-4.2,50.5,-13
8,Mon Dec 12 2022 20:49:16 GMT-0700 (Mountain Standard Time),-4.7,51,-13.3
9,Mon Dec 12 2022 21:49:16 GMT-0700 (Mountain Standard Time),-7.2,60.9,-13.5
10,Mon Dec 12 2022 22:49:16 GMT-0700 (Mountain Standard Time),-9.4,79.8,-12.3
11,Mon Dec 12 2022 23:49:16 GMT-0700 (Mountain Standard Time),-10.5,89.3,-11.9
12,Tue Dec 13 2022 00:49:16 GMT-0700 (Mountain Standard Time),-10.4,88.7,-11.9
13,Tue Dec 13 2022 01:49:16 GMT-0700 (Mountain Standard Time),-10.6,89.6,-12
14,Tue Dec 13 2022 02:49:16 GMT-0700 (Mountain Standard Time),-10.7,90.2,-12
15,Tue Dec 13 2022 03:49:16 GMT-0700 (Mountain Standard Time),-10.7,90.4,-12
16,Tue Dec 13 2022 04:49:16 GMT-0700 (Mountain Standard Time),-11.4,90,-12.7
17,Tue Dec 13 2022 05:49:16 GMT-0700 (Mountain Standard Time),-12.2,89.6,-13.6
18,Tue Dec 13 2022 06:49:16 GMT-0700 (Mountain Standard Time),-12.7,88.9,-14.2
19,Tue Dec 13 2022 07:49:16 GMT-0700 (Mountain Standard Time),-12.9,88.7,-14.4
20,Tue Dec 13 2022 08:49:16 GMT-0700 (Mountain Standard Time),-12.5,89.1,-13.9
21,Tue Dec 13 2022 09:49:16 GMT-0700 (Mountain Standard Time),-11.7,90.1,-13
22,Tue Dec 13 2022 10:49:16 GMT-0700 (Mountain Standard Time),-11,89.9,-12.3
23,Tue Dec 13 2022 11:49:16 GMT-0700 (Mountain Standard Time),-9.5,85.9,-11.4
24,Tue Dec 13 2022 12:49:16 GMT-0700 (Mountain Standard Time),-8.6,75.6,-12.1
25,Tue Dec 13 2022 13:49:16 GMT-0700 (Mountain Standard Time),-8.5,70.9,-12.8
26,Tue Dec 13 2022 14:49:16 GMT-0700 (Mountain Standard Time),-8.6,66.1,-13.8
27,Tue Dec 13 2022 15:49:16 GMT-0700 (Mountain Standard Time),-8.5,72.7,-12.5
28,Tue Dec 13 2022 16:49:16 GMT-0700 (Mountain Standard Time),-9.6,66.9,-14.6
29,Tue Dec 13 2022 17:49:16 GMT-0700 (Mountain Standard Time),-11,76.7,-14.3
30,Tue Dec 13 2022 18:49:16 GMT-0700 (Mountain Standard Time),-11.1,72.4,-15.1
31,Tue Dec 13 2022 19:49:16 GMT-0700 (Mountain Standard Time),-11.5,65,-16.8
32,Tue Dec 13 2022 20:49:16 GMT-0700 (Mountain Standard Time),-12.8,64,-18.2
