Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
mef7,C4AA9E2F,Fri May 10 2024 14:57:27 GMT-0600 (Mountain Daylight Time),Not set,3600,7567,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Jun 30 2023 08:57:27 GMT-0600 (Mountain Daylight Time),3,56.8,-4.7
1,Fri Jun 30 2023 09:57:27 GMT-0600 (Mountain Daylight Time),2.4,61.4,-4.3
2,Fri Jun 30 2023 10:57:27 GMT-0600 (Mountain Daylight Time),0.1,71,-4.5
3,Fri Jun 30 2023 11:57:27 GMT-0600 (Mountain Daylight Time),-1.7,77.9,-5
4,Fri Jun 30 2023 12:57:27 GMT-0600 (Mountain Daylight Time),-0.9,79.8,-3.9
5,Fri Jun 30 2023 13:57:27 GMT-0600 (Mountain Daylight Time),-0.5,79.9,-3.5
6,Fri Jun 30 2023 14:57:27 GMT-0600 (Mountain Daylight Time),-1.1,79.2,-4.2
7,Fri Jun 30 2023 15:57:27 GMT-0600 (Mountain Daylight Time),-2.6,82.3,-5.2
8,Fri Jun 30 2023 16:57:27 GMT-0600 (Mountain Daylight Time),-3.3,84.1,-5.6
9,Fri Jun 30 2023 17:57:27 GMT-0600 (Mountain Daylight Time),-3.6,85.6,-5.7
10,Fri Jun 30 2023 18:57:27 GMT-0600 (Mountain Daylight Time),-3.5,88.4,-5.1
11,Fri Jun 30 2023 19:57:27 GMT-0600 (Mountain Daylight Time),-3.4,88.8,-5
12,Fri Jun 30 2023 20:57:27 GMT-0600 (Mountain Daylight Time),-3.2,89.4,-4.7
13,Fri Jun 30 2023 21:57:27 GMT-0600 (Mountain Daylight Time),-2.7,89,-4.3
14,Fri Jun 30 2023 22:57:27 GMT-0600 (Mountain Daylight Time),-2.1,89,-3.7
15,Fri Jun 30 2023 23:57:27 GMT-0600 (Mountain Daylight Time),3.7,58.7,-3.6
16,Sat Jul 01 2023 00:57:27 GMT-0600 (Mountain Daylight Time),5.5,44.4,-5.7
17,Sat Jul 01 2023 01:57:27 GMT-0600 (Mountain Daylight Time),6.9,34.5,-7.7
