Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Mef19,C89585E4,Fri May 03 2024 07:51:01 GMT-0600 (Mountain Daylight Time),Not set,3600,5927,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Wed Aug 30 2023 09:51:01 GMT-0600 (Mountain Daylight Time),22.8,53.3,12.9
1,Wed Aug 30 2023 10:51:01 GMT-0600 (Mountain Daylight Time),21.6,47.8,10.1
2,Wed Aug 30 2023 11:51:01 GMT-0600 (Mountain Daylight Time),23.3,39.8,9
3,Wed Aug 30 2023 12:51:01 GMT-0600 (Mountain Daylight Time),24.5,30,5.9
4,Wed Aug 30 2023 13:51:01 GMT-0600 (Mountain Daylight Time),24.9,28.5,5.5
5,Wed Aug 30 2023 14:51:01 GMT-0600 (Mountain Daylight Time),26.5,30,7.7
6,Wed Aug 30 2023 15:51:01 GMT-0600 (Mountain Daylight Time),26.6,27.9,6.7
7,Wed Aug 30 2023 16:51:01 GMT-0600 (Mountain Daylight Time),25.7,33.4,8.5
8,Wed Aug 30 2023 17:51:01 GMT-0600 (Mountain Daylight Time),21.9,43.9,9.2
9,Wed Aug 30 2023 18:51:01 GMT-0600 (Mountain Daylight Time),20.7,43.2,7.8
10,Wed Aug 30 2023 19:51:01 GMT-0600 (Mountain Daylight Time),19.6,42.7,6.7
11,Wed Aug 30 2023 20:51:01 GMT-0600 (Mountain Daylight Time),18.9,43.6,6.3
12,Wed Aug 30 2023 21:51:01 GMT-0600 (Mountain Daylight Time),17.9,47.5,6.7
13,Wed Aug 30 2023 22:51:01 GMT-0600 (Mountain Daylight Time),16.6,51.1,6.5
14,Wed Aug 30 2023 23:51:01 GMT-0600 (Mountain Daylight Time),17.4,45.7,5.6
15,Thu Aug 31 2023 00:51:01 GMT-0600 (Mountain Daylight Time),17.2,44.2,5
16,Thu Aug 31 2023 01:51:01 GMT-0600 (Mountain Daylight Time),17.4,41,4.1
17,Thu Aug 31 2023 02:51:01 GMT-0600 (Mountain Daylight Time),16.9,40.3,3.4
18,Thu Aug 31 2023 03:51:01 GMT-0600 (Mountain Daylight Time),15.9,41.7,3
19,Thu Aug 31 2023 04:51:01 GMT-0600 (Mountain Daylight Time),16.2,40.2,2.7
20,Thu Aug 31 2023 05:51:01 GMT-0600 (Mountain Daylight Time),16.5,38.1,2.2
21,Thu Aug 31 2023 06:51:01 GMT-0600 (Mountain Daylight Time),16.5,36.5,1.6
22,Thu Aug 31 2023 07:51:01 GMT-0600 (Mountain Daylight Time),17.4,36.2,2.3
23,Thu Aug 31 2023 08:51:01 GMT-0600 (Mountain Daylight Time),19.8,34,3.6
24,Thu Aug 31 2023 09:51:01 GMT-0600 (Mountain Daylight Time),26.9,26.6,6.3
25,Thu Aug 31 2023 10:51:01 GMT-0600 (Mountain Daylight Time),23.8,27.3,4
26,Thu Aug 31 2023 11:51:01 GMT-0600 (Mountain Daylight Time),24,24.8,2.8
27,Thu Aug 31 2023 12:51:01 GMT-0600 (Mountain Daylight Time),25.3,22.9,2.8
28,Thu Aug 31 2023 13:51:01 GMT-0600 (Mountain Daylight Time),25.4,25.4,4.3
29,Thu Aug 31 2023 14:51:01 GMT-0600 (Mountain Daylight Time),26.9,20.1,2.3
30,Thu Aug 31 2023 15:51:01 GMT-0600 (Mountain Daylight Time),25.8,19.9,1.2
31,Thu Aug 31 2023 16:51:01 GMT-0600 (Mountain Daylight Time),27.1,21.3,3.3
32,Thu Aug 31 2023 17:51:01 GMT-0600 (Mountain Daylight Time),23.3,24.1,1.8
33,Thu Aug 31 2023 18:51:01 GMT-0600 (Mountain Daylight Time),25.6,21.2,1.9
34,Thu Aug 31 2023 19:51:01 GMT-0600 (Mountain Daylight Time),22.6,24.3,1.3
35,Thu Aug 31 2023 20:51:01 GMT-0600 (Mountain Daylight Time),21.4,26.9,1.7
36,Thu Aug 31 2023 21:51:01 GMT-0600 (Mountain Daylight Time),19.9,34.7,4
37,Thu Aug 31 2023 22:51:01 GMT-0600 (Mountain Daylight Time),18.9,35.3,3.3
38,Thu Aug 31 2023 23:51:01 GMT-0600 (Mountain Daylight Time),17.9,36.6,2.9
39,Fri Sep 01 2023 00:51:01 GMT-0600 (Mountain Daylight Time),16.8,40.1,3.2
40,Fri Sep 01 2023 01:51:01 GMT-0600 (Mountain Daylight Time),17.6,37.9,3.2
41,Fri Sep 01 2023 02:51:01 GMT-0600 (Mountain Daylight Time),17.9,37.8,3.4
42,Fri Sep 01 2023 03:51:01 GMT-0600 (Mountain Daylight Time),18,38.6,3.8
43,Fri Sep 01 2023 04:51:01 GMT-0600 (Mountain Daylight Time),16.8,41.5,3.7
44,Fri Sep 01 2023 05:51:01 GMT-0600 (Mountain Daylight Time),16.4,41,3.2
45,Fri Sep 01 2023 06:51:01 GMT-0600 (Mountain Daylight Time),16,40.1,2.5
46,Fri Sep 01 2023 07:51:01 GMT-0600 (Mountain Daylight Time),17.1,40.4,3.6
47,Fri Sep 01 2023 08:51:01 GMT-0600 (Mountain Daylight Time),20.3,33.6,3.9
48,Fri Sep 01 2023 09:51:01 GMT-0600 (Mountain Daylight Time),26.2,26,5.3
49,Fri Sep 01 2023 10:51:01 GMT-0600 (Mountain Daylight Time),24.4,29.9,5.8
50,Fri Sep 01 2023 11:51:01 GMT-0600 (Mountain Daylight Time),25.7,22.9,3.1
51,Fri Sep 01 2023 12:51:01 GMT-0600 (Mountain Daylight Time),26.8,21,2.8
52,Fri Sep 01 2023 13:51:01 GMT-0600 (Mountain Daylight Time),28,20.3,3.3
53,Fri Sep 01 2023 14:51:01 GMT-0600 (Mountain Daylight Time),26.7,23.8,4.5
54,Fri Sep 01 2023 15:51:01 GMT-0600 (Mountain Daylight Time),26.8,21.2,2.9
55,Fri Sep 01 2023 16:51:01 GMT-0600 (Mountain Daylight Time),28.4,21.8,4.7
