Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Mef20,CB78DBD8,Fri May 03 2024 07:55:49 GMT-0600 (Mountain Daylight Time),Not set,3600,5926,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Wed Aug 30 2023 10:55:49 GMT-0600 (Mountain Daylight Time),30.3,74.8,25.4
1,Wed Aug 30 2023 11:55:49 GMT-0600 (Mountain Daylight Time),23,45.5,10.7
2,Wed Aug 30 2023 12:55:49 GMT-0600 (Mountain Daylight Time),24.7,43.2,11.5
3,Wed Aug 30 2023 13:55:49 GMT-0600 (Mountain Daylight Time),25.2,35.1,8.8
4,Wed Aug 30 2023 14:55:49 GMT-0600 (Mountain Daylight Time),24.9,40.2,10.6
5,Wed Aug 30 2023 15:55:49 GMT-0600 (Mountain Daylight Time),28.1,30.3,9.2
6,Wed Aug 30 2023 16:55:49 GMT-0600 (Mountain Daylight Time),24.2,37.2,8.8
7,Wed Aug 30 2023 17:55:49 GMT-0600 (Mountain Daylight Time),22.4,45.3,10.1
8,Wed Aug 30 2023 18:55:49 GMT-0600 (Mountain Daylight Time),21.4,46.9,9.7
9,Wed Aug 30 2023 19:55:49 GMT-0600 (Mountain Daylight Time),19.9,46.9,8.3
10,Wed Aug 30 2023 20:55:49 GMT-0600 (Mountain Daylight Time),18.9,48.1,7.8
11,Wed Aug 30 2023 21:55:49 GMT-0600 (Mountain Daylight Time),17.9,51.3,7.8
12,Wed Aug 30 2023 22:55:49 GMT-0600 (Mountain Daylight Time),16.3,54.6,7.2
13,Wed Aug 30 2023 23:55:49 GMT-0600 (Mountain Daylight Time),15.8,55.5,7
14,Thu Aug 31 2023 00:55:49 GMT-0600 (Mountain Daylight Time),15.6,53.8,6.3
15,Thu Aug 31 2023 01:55:49 GMT-0600 (Mountain Daylight Time),15.8,49.9,5.4
16,Thu Aug 31 2023 02:55:49 GMT-0600 (Mountain Daylight Time),15.8,47.7,4.8
17,Thu Aug 31 2023 03:55:49 GMT-0600 (Mountain Daylight Time),15.3,47.2,4.2
18,Thu Aug 31 2023 04:55:49 GMT-0600 (Mountain Daylight Time),15,47.4,4
19,Thu Aug 31 2023 05:55:49 GMT-0600 (Mountain Daylight Time),14.6,46.7,3.4
20,Thu Aug 31 2023 06:55:49 GMT-0600 (Mountain Daylight Time),14.9,45,3.1
21,Thu Aug 31 2023 07:55:49 GMT-0600 (Mountain Daylight Time),14.9,44.2,2.9
22,Thu Aug 31 2023 08:55:49 GMT-0600 (Mountain Daylight Time),17.6,46.8,6.2
23,Thu Aug 31 2023 09:55:49 GMT-0600 (Mountain Daylight Time),20.7,44.5,8.3
24,Thu Aug 31 2023 10:55:49 GMT-0600 (Mountain Daylight Time),22.7,35.4,6.7
25,Thu Aug 31 2023 11:55:49 GMT-0600 (Mountain Daylight Time),25.8,31.9,8
26,Thu Aug 31 2023 12:55:49 GMT-0600 (Mountain Daylight Time),25.9,34.3,9.1
27,Thu Aug 31 2023 13:55:49 GMT-0600 (Mountain Daylight Time),26.2,29,6.9
28,Thu Aug 31 2023 14:55:49 GMT-0600 (Mountain Daylight Time),26.9,28,7
29,Thu Aug 31 2023 15:55:49 GMT-0600 (Mountain Daylight Time),28.8,22.5,5.5
30,Thu Aug 31 2023 16:55:49 GMT-0600 (Mountain Daylight Time),23.6,30.4,5.3
31,Thu Aug 31 2023 17:55:49 GMT-0600 (Mountain Daylight Time),23.8,29,4.8
32,Thu Aug 31 2023 18:55:49 GMT-0600 (Mountain Daylight Time),23.4,27.7,3.8
33,Thu Aug 31 2023 19:55:49 GMT-0600 (Mountain Daylight Time),22.7,27.7,3.2
