Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Mef25,D7816C77,Fri May 03 2024 10:39:35 GMT-0600 (Mountain Daylight Time),Not set,3600,5922,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Wed Aug 30 2023 17:39:35 GMT-0600 (Mountain Daylight Time),32.6,53.2,22
1,Wed Aug 30 2023 18:39:35 GMT-0600 (Mountain Daylight Time),19.6,49.6,8.9
2,Wed Aug 30 2023 19:39:35 GMT-0600 (Mountain Daylight Time),18.2,50,7.7
3,Wed Aug 30 2023 20:39:35 GMT-0600 (Mountain Daylight Time),16.9,51.3,6.8
4,Wed Aug 30 2023 21:39:35 GMT-0600 (Mountain Daylight Time),15.7,54.1,6.5
5,Wed Aug 30 2023 22:39:35 GMT-0600 (Mountain Daylight Time),14.9,56.5,6.4
6,Wed Aug 30 2023 23:39:35 GMT-0600 (Mountain Daylight Time),13.8,55.6,5.1
7,Thu Aug 31 2023 00:39:35 GMT-0600 (Mountain Daylight Time),12.8,60.6,5.4
8,Thu Aug 31 2023 01:39:35 GMT-0600 (Mountain Daylight Time),12.9,55.9,4.3
9,Thu Aug 31 2023 02:39:35 GMT-0600 (Mountain Daylight Time),12.4,54.6,3.5
10,Thu Aug 31 2023 03:39:35 GMT-0600 (Mountain Daylight Time),12.7,52.1,3.2
11,Thu Aug 31 2023 04:39:35 GMT-0600 (Mountain Daylight Time),12.3,52.1,2.8
12,Thu Aug 31 2023 05:39:35 GMT-0600 (Mountain Daylight Time),12.1,51.5,2.4
13,Thu Aug 31 2023 06:39:35 GMT-0600 (Mountain Daylight Time),11.4,51.9,1.9
14,Thu Aug 31 2023 07:39:35 GMT-0600 (Mountain Daylight Time),11.5,51.6,1.9
15,Thu Aug 31 2023 08:39:35 GMT-0600 (Mountain Daylight Time),12.2,52.2,2.7
16,Thu Aug 31 2023 09:39:35 GMT-0600 (Mountain Daylight Time),18.3,40.5,4.7
17,Thu Aug 31 2023 10:39:35 GMT-0600 (Mountain Daylight Time),19.6,38.4,5.1
18,Thu Aug 31 2023 11:39:35 GMT-0600 (Mountain Daylight Time),22,35.3,6.1
19,Thu Aug 31 2023 12:39:35 GMT-0600 (Mountain Daylight Time),22.9,32.3,5.6
20,Thu Aug 31 2023 13:39:35 GMT-0600 (Mountain Daylight Time),23.7,27.7,4.1
21,Thu Aug 31 2023 14:39:35 GMT-0600 (Mountain Daylight Time),25.4,27.7,5.6
22,Thu Aug 31 2023 15:39:35 GMT-0600 (Mountain Daylight Time),24.5,26.8,4.3
23,Thu Aug 31 2023 16:39:35 GMT-0600 (Mountain Daylight Time),22.8,29,4
24,Thu Aug 31 2023 17:39:35 GMT-0600 (Mountain Daylight Time),22.2,28.7,3.3
25,Thu Aug 31 2023 18:39:35 GMT-0600 (Mountain Daylight Time),21.1,31.2,3.5
26,Thu Aug 31 2023 19:39:35 GMT-0600 (Mountain Daylight Time),21.3,30.5,3.4
27,Thu Aug 31 2023 20:39:35 GMT-0600 (Mountain Daylight Time),18.5,34.5,2.6
28,Thu Aug 31 2023 21:39:35 GMT-0600 (Mountain Daylight Time),17.8,35.1,2.3
29,Thu Aug 31 2023 22:39:35 GMT-0600 (Mountain Daylight Time),16.7,43.7,4.4
30,Thu Aug 31 2023 23:39:35 GMT-0600 (Mountain Daylight Time),15.7,44,3.5
31,Fri Sep 01 2023 00:39:35 GMT-0600 (Mountain Daylight Time),15.8,45.2,4
32,Fri Sep 01 2023 01:39:35 GMT-0600 (Mountain Daylight Time),15.1,47.3,4
33,Fri Sep 01 2023 02:39:35 GMT-0600 (Mountain Daylight Time),13.5,49.4,3.2
34,Fri Sep 01 2023 03:39:35 GMT-0600 (Mountain Daylight Time),13.2,50.9,3.3
35,Fri Sep 01 2023 04:39:35 GMT-0600 (Mountain Daylight Time),13.4,51.1,3.5
36,Fri Sep 01 2023 05:39:35 GMT-0600 (Mountain Daylight Time),13.4,50.6,3.4
37,Fri Sep 01 2023 06:39:35 GMT-0600 (Mountain Daylight Time),13.5,48.8,3
38,Fri Sep 01 2023 07:39:35 GMT-0600 (Mountain Daylight Time),13.3,46.9,2.2
39,Fri Sep 01 2023 08:39:35 GMT-0600 (Mountain Daylight Time),14.1,47.8,3.2
40,Fri Sep 01 2023 09:39:35 GMT-0600 (Mountain Daylight Time),18.7,40.1,4.9
41,Fri Sep 01 2023 10:39:35 GMT-0600 (Mountain Daylight Time),20.1,37.1,5.1
42,Fri Sep 01 2023 11:39:35 GMT-0600 (Mountain Daylight Time),22.6,34.9,6.4
43,Fri Sep 01 2023 12:39:35 GMT-0600 (Mountain Daylight Time),24.7,27.2,4.7
44,Fri Sep 01 2023 13:39:35 GMT-0600 (Mountain Daylight Time),25.6,24.6,4
45,Fri Sep 01 2023 14:39:35 GMT-0600 (Mountain Daylight Time),27,23.7,4.7
46,Fri Sep 01 2023 15:39:35 GMT-0600 (Mountain Daylight Time),26.7,23.5,4.3
47,Fri Sep 01 2023 16:39:35 GMT-0600 (Mountain Daylight Time),26,25,4.6
48,Fri Sep 01 2023 17:39:35 GMT-0600 (Mountain Daylight Time),25.6,28.6,6.2
49,Fri Sep 01 2023 18:39:35 GMT-0600 (Mountain Daylight Time),23.9,29.1,5
50,Fri Sep 01 2023 19:39:35 GMT-0600 (Mountain Daylight Time),22.4,31.1,4.6
51,Fri Sep 01 2023 20:39:35 GMT-0600 (Mountain Daylight Time),19.7,37.8,5
52,Fri Sep 01 2023 21:39:35 GMT-0600 (Mountain Daylight Time),18.2,40.1,4.5
53,Fri Sep 01 2023 22:39:35 GMT-0600 (Mountain Daylight Time),17.6,39.8,3.8
54,Fri Sep 01 2023 23:39:35 GMT-0600 (Mountain Daylight Time),16.8,41.4,3.7
55,Sat Sep 02 2023 00:39:35 GMT-0600 (Mountain Daylight Time),16.1,42.5,3.4
56,Sat Sep 02 2023 01:39:35 GMT-0600 (Mountain Daylight Time),16.4,41.3,3.3
57,Sat Sep 02 2023 02:39:35 GMT-0600 (Mountain Daylight Time),15.5,43.7,3.3
58,Sat Sep 02 2023 03:39:35 GMT-0600 (Mountain Daylight Time),15.1,44.5,3.2
59,Sat Sep 02 2023 04:39:35 GMT-0600 (Mountain Daylight Time),14.8,45,3
60,Sat Sep 02 2023 05:39:35 GMT-0600 (Mountain Daylight Time),15,43.9,2.9
61,Sat Sep 02 2023 06:39:35 GMT-0600 (Mountain Daylight Time),14.7,42.8,2.2
62,Sat Sep 02 2023 07:39:35 GMT-0600 (Mountain Daylight Time),13.3,43.8,1.3
63,Sat Sep 02 2023 08:39:35 GMT-0600 (Mountain Daylight Time),14.6,46.9,3.4
64,Sat Sep 02 2023 09:39:35 GMT-0600 (Mountain Daylight Time),18.7,38.6,4.4
65,Sat Sep 02 2023 10:39:35 GMT-0600 (Mountain Daylight Time),19.6,40,5.7
66,Sat Sep 02 2023 11:39:35 GMT-0600 (Mountain Daylight Time),21,34.7,4.9
67,Sat Sep 02 2023 12:39:35 GMT-0600 (Mountain Daylight Time),21.4,34.9,5.4
68,Sat Sep 02 2023 13:39:35 GMT-0600 (Mountain Daylight Time),21.5,39.3,7.2
69,Sat Sep 02 2023 14:39:35 GMT-0600 (Mountain Daylight Time),22.3,32.5,5.1
70,Sat Sep 02 2023 15:39:35 GMT-0600 (Mountain Daylight Time),22.1,32.7,5.1
71,Sat Sep 02 2023 16:39:35 GMT-0600 (Mountain Daylight Time),23.2,29.9,4.7
72,Sat Sep 02 2023 17:39:35 GMT-0600 (Mountain Daylight Time),22.3,33.8,5.7
73,Sat Sep 02 2023 18:39:35 GMT-0600 (Mountain Daylight Time),21.3,41.5,7.8
74,Sat Sep 02 2023 19:39:35 GMT-0600 (Mountain Daylight Time),15.2,68.3,9.4
75,Sat Sep 02 2023 20:39:35 GMT-0600 (Mountain Daylight Time),16,54.9,7
76,Sat Sep 02 2023 21:39:35 GMT-0600 (Mountain Daylight Time),16.8,49.4,6.2
77,Sat Sep 02 2023 22:39:35 GMT-0600 (Mountain Daylight Time),16.5,58.4,8.4
78,Sat Sep 02 2023 23:39:35 GMT-0600 (Mountain Daylight Time),16.3,49.6,5.8
79,Sun Sep 03 2023 00:39:35 GMT-0600 (Mountain Daylight Time),15.2,51.7,5.4
