Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Mef22,DB01D208,Fri May 03 2024 11:44:58 GMT-0600 (Mountain Daylight Time),Not set,3600,5925,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Wed Aug 30 2023 15:44:58 GMT-0600 (Mountain Daylight Time),29.4,34.8,12.4
1,Wed Aug 30 2023 16:44:58 GMT-0600 (Mountain Daylight Time),26.6,31.6,8.5
2,Wed Aug 30 2023 17:44:58 GMT-0600 (Mountain Daylight Time),23.3,40.6,9.3
3,Wed Aug 30 2023 18:44:58 GMT-0600 (Mountain Daylight Time),20.8,47.6,9.4
4,Wed Aug 30 2023 19:44:58 GMT-0600 (Mountain Daylight Time),19.1,47.3,7.7
5,Wed Aug 30 2023 20:44:58 GMT-0600 (Mountain Daylight Time),18.5,47,7.1
6,Wed Aug 30 2023 21:44:58 GMT-0600 (Mountain Daylight Time),17.6,50.6,7.3
7,Wed Aug 30 2023 22:44:58 GMT-0600 (Mountain Daylight Time),16.8,51.1,6.7
8,Wed Aug 30 2023 23:44:58 GMT-0600 (Mountain Daylight Time),15.6,54.6,6.5
9,Thu Aug 31 2023 00:44:58 GMT-0600 (Mountain Daylight Time),15.4,52.9,5.9
10,Thu Aug 31 2023 01:44:58 GMT-0600 (Mountain Daylight Time),15.3,49.4,4.8
11,Thu Aug 31 2023 02:44:58 GMT-0600 (Mountain Daylight Time),15.5,47.1,4.3
12,Thu Aug 31 2023 03:44:58 GMT-0600 (Mountain Daylight Time),15.1,46,3.6
13,Thu Aug 31 2023 04:44:58 GMT-0600 (Mountain Daylight Time),14.3,47.1,3.2
14,Thu Aug 31 2023 05:44:58 GMT-0600 (Mountain Daylight Time),14.6,45.1,2.9
15,Thu Aug 31 2023 06:44:58 GMT-0600 (Mountain Daylight Time),14.3,44.1,2.3
16,Thu Aug 31 2023 07:44:58 GMT-0600 (Mountain Daylight Time),14.2,43.2,1.9
17,Thu Aug 31 2023 08:44:58 GMT-0600 (Mountain Daylight Time),15.6,41.3,2.6
18,Thu Aug 31 2023 09:44:58 GMT-0600 (Mountain Daylight Time),17.8,38,3.4
19,Thu Aug 31 2023 10:44:58 GMT-0600 (Mountain Daylight Time),21.3,35,5.3
20,Thu Aug 31 2023 11:44:58 GMT-0600 (Mountain Daylight Time),21.8,31.2,4.1
21,Thu Aug 31 2023 12:44:58 GMT-0600 (Mountain Daylight Time),22.6,32.8,5.5
22,Thu Aug 31 2023 13:44:58 GMT-0600 (Mountain Daylight Time),24.6,24.1,2.9
23,Thu Aug 31 2023 14:44:58 GMT-0600 (Mountain Daylight Time),25.8,23.5,3.6
24,Thu Aug 31 2023 15:44:58 GMT-0600 (Mountain Daylight Time),26.4,23.4,4
25,Thu Aug 31 2023 16:44:58 GMT-0600 (Mountain Daylight Time),26,24.3,4.2
26,Thu Aug 31 2023 17:44:58 GMT-0600 (Mountain Daylight Time),26.7,22,3.4
27,Thu Aug 31 2023 18:44:58 GMT-0600 (Mountain Daylight Time),23.5,26.7,3.4
28,Thu Aug 31 2023 19:44:58 GMT-0600 (Mountain Daylight Time),22.8,26.2,2.5
29,Thu Aug 31 2023 20:44:58 GMT-0600 (Mountain Daylight Time),20.7,29.5,2.4
30,Thu Aug 31 2023 21:44:58 GMT-0600 (Mountain Daylight Time),20.3,30.1,2.3
31,Thu Aug 31 2023 22:44:58 GMT-0600 (Mountain Daylight Time),18.9,40.3,5.2
32,Thu Aug 31 2023 23:44:58 GMT-0600 (Mountain Daylight Time),17.2,41.7,4.1
33,Fri Sep 01 2023 00:44:58 GMT-0600 (Mountain Daylight Time),17.3,43.4,4.8
34,Fri Sep 01 2023 01:44:58 GMT-0600 (Mountain Daylight Time),15.8,44.9,3.9
35,Fri Sep 01 2023 02:44:58 GMT-0600 (Mountain Daylight Time),15.5,45.1,3.7
36,Fri Sep 01 2023 03:44:58 GMT-0600 (Mountain Daylight Time),15.9,45.4,4.2
37,Fri Sep 01 2023 04:44:58 GMT-0600 (Mountain Daylight Time),16.1,45.6,4.4
38,Fri Sep 01 2023 05:44:58 GMT-0600 (Mountain Daylight Time),16.2,44.7,4.2
39,Fri Sep 01 2023 06:44:58 GMT-0600 (Mountain Daylight Time),15.9,42.6,3.3
40,Fri Sep 01 2023 07:44:58 GMT-0600 (Mountain Daylight Time),16.4,40.5,3
41,Fri Sep 01 2023 08:44:58 GMT-0600 (Mountain Daylight Time),15.8,42.7,3.2
42,Fri Sep 01 2023 09:44:58 GMT-0600 (Mountain Daylight Time),18.6,37.9,4.1
43,Fri Sep 01 2023 10:44:58 GMT-0600 (Mountain Daylight Time),21.8,35.3,5.9
44,Fri Sep 01 2023 11:44:58 GMT-0600 (Mountain Daylight Time),22.5,33,5.5
45,Fri Sep 01 2023 12:44:58 GMT-0600 (Mountain Daylight Time),24.4,24.5,3
46,Fri Sep 01 2023 13:44:58 GMT-0600 (Mountain Daylight Time),25.7,23.1,3.2
47,Fri Sep 01 2023 14:44:58 GMT-0600 (Mountain Daylight Time),26.5,22.2,3.3
48,Fri Sep 01 2023 15:44:58 GMT-0600 (Mountain Daylight Time),27.2,21.9,3.7
49,Fri Sep 01 2023 16:44:58 GMT-0600 (Mountain Daylight Time),28.6,21.5,4.7
50,Fri Sep 01 2023 17:44:58 GMT-0600 (Mountain Daylight Time),26.8,24,4.7
51,Fri Sep 01 2023 18:44:58 GMT-0600 (Mountain Daylight Time),26.7,24.6,5
52,Fri Sep 01 2023 19:44:58 GMT-0600 (Mountain Daylight Time),23.7,28.2,4.3
53,Fri Sep 01 2023 20:44:58 GMT-0600 (Mountain Daylight Time),21.1,34.8,5.1
54,Fri Sep 01 2023 21:44:58 GMT-0600 (Mountain Daylight Time),20.3,35.4,4.6
55,Fri Sep 01 2023 22:44:58 GMT-0600 (Mountain Daylight Time),20.3,34.8,4.4
56,Fri Sep 01 2023 23:44:58 GMT-0600 (Mountain Daylight Time),18.1,39,4
57,Sat Sep 02 2023 00:44:58 GMT-0600 (Mountain Daylight Time),19,36.7,4
58,Sat Sep 02 2023 01:44:58 GMT-0600 (Mountain Daylight Time),17.7,38.7,3.5
59,Sat Sep 02 2023 02:44:58 GMT-0600 (Mountain Daylight Time),18.4,37.3,3.6
60,Sat Sep 02 2023 03:44:58 GMT-0600 (Mountain Daylight Time),17.5,38.8,3.4
61,Sat Sep 02 2023 04:44:58 GMT-0600 (Mountain Daylight Time),17.4,38.1,3
62,Sat Sep 02 2023 05:44:58 GMT-0600 (Mountain Daylight Time),17,37.7,2.5
63,Sat Sep 02 2023 06:44:58 GMT-0600 (Mountain Daylight Time),16.6,37,1.9
64,Sat Sep 02 2023 07:44:58 GMT-0600 (Mountain Daylight Time),16,38.1,1.8
65,Sat Sep 02 2023 08:44:58 GMT-0600 (Mountain Daylight Time),17.1,37,2.4
66,Sat Sep 02 2023 09:44:58 GMT-0600 (Mountain Daylight Time),18.1,38.9,4
67,Sat Sep 02 2023 10:44:58 GMT-0600 (Mountain Daylight Time),20.3,37.4,5.4
68,Sat Sep 02 2023 11:44:58 GMT-0600 (Mountain Daylight Time),20.9,35.5,5.2
69,Sat Sep 02 2023 12:44:58 GMT-0600 (Mountain Daylight Time),21.4,34.6,5.2
70,Sat Sep 02 2023 13:44:58 GMT-0600 (Mountain Daylight Time),22.6,31.6,5
71,Sat Sep 02 2023 14:44:58 GMT-0600 (Mountain Daylight Time),22.4,28.3,3.3
72,Sat Sep 02 2023 15:44:58 GMT-0600 (Mountain Daylight Time),23,28.7,4
73,Sat Sep 02 2023 16:44:58 GMT-0600 (Mountain Daylight Time),25.6,27.1,5.4
74,Sat Sep 02 2023 17:44:58 GMT-0600 (Mountain Daylight Time),24.9,29.6,6.1
75,Sat Sep 02 2023 18:44:58 GMT-0600 (Mountain Daylight Time),20.9,42.1,7.6
76,Sat Sep 02 2023 19:44:58 GMT-0600 (Mountain Daylight Time),15.2,65.9,8.9
77,Sat Sep 02 2023 20:44:58 GMT-0600 (Mountain Daylight Time),18.5,45.5,6.6
78,Sat Sep 02 2023 21:44:58 GMT-0600 (Mountain Daylight Time),19.3,42.3,6.3
