Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Mef27,ED739F7D,Fri May 03 2024 08:56:32 GMT-0600 (Mountain Daylight Time),Not set,3600,5904,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Thu Aug 31 2023 09:56:32 GMT-0600 (Mountain Daylight Time),28.1,42.2,14.2
1,Thu Aug 31 2023 10:56:32 GMT-0600 (Mountain Daylight Time),25.8,24.3,4
2,Thu Aug 31 2023 11:56:32 GMT-0600 (Mountain Daylight Time),25.5,22.9,2.9
3,Thu Aug 31 2023 12:56:32 GMT-0600 (Mountain Daylight Time),25.8,25,4.4
4,Thu Aug 31 2023 13:56:32 GMT-0600 (Mountain Daylight Time),28.4,19.6,3.2
5,Thu Aug 31 2023 14:56:32 GMT-0600 (Mountain Daylight Time),28.7,18.2,2.4
6,Thu Aug 31 2023 15:56:32 GMT-0600 (Mountain Daylight Time),25.7,25.5,4.6
7,Thu Aug 31 2023 16:56:32 GMT-0600 (Mountain Daylight Time),27.1,23.3,4.5
8,Thu Aug 31 2023 17:56:32 GMT-0600 (Mountain Daylight Time),24.1,28.5,4.8
9,Thu Aug 31 2023 18:56:32 GMT-0600 (Mountain Daylight Time),24.6,25.3,3.6
10,Thu Aug 31 2023 19:56:32 GMT-0600 (Mountain Daylight Time),20.1,33.4,3.6
11,Thu Aug 31 2023 20:56:32 GMT-0600 (Mountain Daylight Time),17.7,37.8,3.2
12,Thu Aug 31 2023 21:56:32 GMT-0600 (Mountain Daylight Time),15.8,44.7,3.9
13,Thu Aug 31 2023 22:56:32 GMT-0600 (Mountain Daylight Time),14.1,50.8,4.1
14,Thu Aug 31 2023 23:56:32 GMT-0600 (Mountain Daylight Time),13,55.4,4.3
15,Fri Sep 01 2023 00:56:32 GMT-0600 (Mountain Daylight Time),11.6,59.6,4
16,Fri Sep 01 2023 01:56:32 GMT-0600 (Mountain Daylight Time),10.2,65.2,4
17,Fri Sep 01 2023 02:56:32 GMT-0600 (Mountain Daylight Time),10.1,66.4,4.1
18,Fri Sep 01 2023 03:56:32 GMT-0600 (Mountain Daylight Time),9.9,67.2,4.1
19,Fri Sep 01 2023 04:56:32 GMT-0600 (Mountain Daylight Time),9.5,69.9,4.3
20,Fri Sep 01 2023 05:56:32 GMT-0600 (Mountain Daylight Time),8.6,72.7,4
21,Fri Sep 01 2023 06:56:32 GMT-0600 (Mountain Daylight Time),8.2,73.6,3.8
22,Fri Sep 01 2023 07:56:32 GMT-0600 (Mountain Daylight Time),9.1,75.7,5.1
23,Fri Sep 01 2023 08:56:32 GMT-0600 (Mountain Daylight Time),15.4,70,10
24,Fri Sep 01 2023 09:56:32 GMT-0600 (Mountain Daylight Time),22,39,7.5
25,Fri Sep 01 2023 10:56:32 GMT-0600 (Mountain Daylight Time),26.5,24.5,4.7
26,Fri Sep 01 2023 11:56:32 GMT-0600 (Mountain Daylight Time),27.3,21.8,3.8
27,Fri Sep 01 2023 12:56:32 GMT-0600 (Mountain Daylight Time),28.3,20.2,3.5
28,Fri Sep 01 2023 13:56:32 GMT-0600 (Mountain Daylight Time),29,18.4,2.8
29,Fri Sep 01 2023 14:56:32 GMT-0600 (Mountain Daylight Time),28.6,17.8,2
30,Fri Sep 01 2023 15:56:32 GMT-0600 (Mountain Daylight Time),26.9,25.9,5.9
31,Fri Sep 01 2023 16:56:32 GMT-0600 (Mountain Daylight Time),29.4,21.6,5.4
32,Fri Sep 01 2023 17:56:32 GMT-0600 (Mountain Daylight Time),28.9,22.6,5.6
33,Fri Sep 01 2023 18:56:32 GMT-0600 (Mountain Daylight Time),25.3,25.5,4.3
34,Fri Sep 01 2023 19:56:32 GMT-0600 (Mountain Daylight Time),22.1,31.5,4.5
35,Fri Sep 01 2023 20:56:32 GMT-0600 (Mountain Daylight Time),19.5,37.3,4.6
36,Fri Sep 01 2023 21:56:32 GMT-0600 (Mountain Daylight Time),16.3,45.3,4.5
37,Fri Sep 01 2023 22:56:32 GMT-0600 (Mountain Daylight Time),15.9,47.7,4.9
38,Fri Sep 01 2023 23:56:32 GMT-0600 (Mountain Daylight Time),14.8,52.1,5.1
39,Sat Sep 02 2023 00:56:32 GMT-0600 (Mountain Daylight Time),13.8,53.8,4.6
40,Sat Sep 02 2023 01:56:32 GMT-0600 (Mountain Daylight Time),13,57.2,4.8
41,Sat Sep 02 2023 02:56:32 GMT-0600 (Mountain Daylight Time),12.5,59.3,4.8
42,Sat Sep 02 2023 03:56:32 GMT-0600 (Mountain Daylight Time),10.8,65,4.5
43,Sat Sep 02 2023 04:56:32 GMT-0600 (Mountain Daylight Time),11.9,60,4.4
44,Sat Sep 02 2023 05:56:32 GMT-0600 (Mountain Daylight Time),10.4,64.3,4
45,Sat Sep 02 2023 06:56:32 GMT-0600 (Mountain Daylight Time),10.2,65.2,4
46,Sat Sep 02 2023 07:56:32 GMT-0600 (Mountain Daylight Time),12.2,66.5,6.2
