plot,code,coord_x,coord_y,original_name,actual_species,spec_notes,MG_notes,entered_by
MEF_13,F9A227FE,39.103455,-105.033233,Juniperus cammunis,Juniperus communis,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Carex sp1,Carex sp1,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Koeleria macrantha,Koeleria macrantha,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Arctostaphylous uva ursi,Arctostaphylos uva-ursi,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Campanula rotundifolia,Campanula rotundifolia,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Geranium richurdsonii,Geranium richardsonii,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Heterotheca villosa,Heterotheca villosa,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Achillea millefolia,Achillea millefolium,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Solidago missouriensis,Solidago missouriensis,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Pseudstsuga menzies,Pseudotsuga menziesii,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Populus tremuloides,Populus tremuloides,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Pinus flexulus,Pinus flexilis,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Androsace septentrionnlis,Androsace septentrionalis,,,MG
MEF_13,F9A227FE,39.103455,-105.033233,Sedum laceolatum,Sedum lanceolatum,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Koeleria macrantha,Koeleria macrantha,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Thalictrum fendleri,Thalictrum fendleri,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Eremogore hookeri,Eremogone hookeri,mat forming,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Jamesia americana,Jamesia americana,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Ribes sp,Ribes cereum,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Fragaria vesca,Fragaria vesca,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Carex sp,Carex sp1,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Senecio pudicus,Senecio pudicus,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Erigeron sp vetensis,Erigeron vetensis,"basal, entire linear to spatulate",,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Achillea millefolium,Achillea millefolium,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Pseudotuga menzezii,Pseudotsuga menziesii,,,MG
MEF_17,EB3DB7AD,39.09943,-105.05992,Pinus flexulus,Pinus flexilis,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Pinus flexulus,Pinus flexilis,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Festuca arizonica,Festuca arizonica,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Arctostaphylus uvaerse,Arctostaphylos uva-ursi,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Artemisia ludoviciana,Artemisia ludoviciana,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Pseudotuga menzezii,Pseudotsuga menziesii,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Carex sp1,Carex sp1,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Heterotheca villosa,Heterotheca villosa,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,CF Mallenbergia,Muhlenbergia montana,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Artemisia Frigida,Artemisia frigida,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Juniperus communis,Juniperus communis,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Geranium coespitosum,Geranium caespitosum,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Jamesia americana,Jamesia americana,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Elymus elymoides,Elymus elymoides,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Pinus ponderosa,Pinus ponderosa,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Solidago missouriensis,Solidago missouriensis,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Ribes sp cfaurenm,Ribes cereum,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Rubus deliciousus,Rubus deliciosus,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Senecio pudicus,Senecio pudicus,,,MG
MEF_14,C907CBBE,39.098716,-105.059242,Holodiscus discolor,Holodiscus discolor,,,MG
MEF_18,F908B422,39.099127,-105.058859,Pseudotuga menzezii,Pseudotsuga menziesii,,,MG
MEF_18,F908B422,39.099127,-105.058859,Pinus flexulos,Pinus flexilis,,,MG
MEF_18,F908B422,39.099127,-105.058859,Juniperus comunus,Juniperus communis,,,MG
MEF_18,F908B422,39.099127,-105.058859,Jamsia americana,Jamesia americana,,,MG
MEF_18,F908B422,39.099127,-105.058859,Carex sp1,Carex sp1,,,MG
MEF_18,F908B422,39.099127,-105.058859,Fragaria vesca,Fragaria vesca,,,MG
MEF_18,F908B422,39.099127,-105.058859,Eremogone hookeri,Eremogone hookeri,,,MG
MEF_18,F908B422,39.099127,-105.058859,Anterina CF microphylla,Antennaria microphylla,,,MG
MEF_18,F908B422,39.099127,-105.058859,Poa fendleriana,Poa fendleriana,,,MG
MEF_18,F908B422,39.099127,-105.058859,Koelaria macrantha,Koeleria macrantha,,,MG
MEF_18,F908B422,39.099127,-105.058859,Goodyerra repens,Goodyera repens,,,MG
MEF_18,F908B422,39.099127,-105.058859,Arctostaphyllus uvaurse,Arctostaphylos uva-ursi,,,MG
MEF_18,F908B422,39.099127,-105.058859,Rosa sp,Rosa woodsii,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Pseudotsuga menzizii,Pseudotsuga menziesii,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Pinus flexulus,Pinus flexilis,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,CF Mulenbergi,Muhlenbergia montana,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Carex sp1,Carex sp1,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Geranium caespitosum,Geranium caespitosum,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Jamesia americana,Jamesia americana,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Arctostaphylus uvaerse,Arctostaphylos uva-ursi,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Fragaria vesca,Fragaria vesca,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Penstemon sp1,Penstemon sp1,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Juniperus comunus,Juniperus communis,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Heterotheca foliosa,Heterotheca foliosa,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Rubus delicios,Rubus deliciosus,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Koelaria macrantha,Koeleria macrantha,,,MG
MEF_15,EC8707C6,39.09836,-105.06024,Erigeron compositus,Erigeron compositus,,,MG
MEF_19,C89585E4,39.090213,-105.075933,PIPO,Pinus ponderosa,,,MG
MEF_19,C89585E4,39.090213,-105.075933,PSME,Pseudotsuga menziesii,,,MG
MEF_19,C89585E4,39.090213,-105.075933,Populus tremuloides,Populus tremuloides,,,MG
MEF_19,C89585E4,39.090213,-105.075933,Penstemon sp1,Penstemon sp1,,,MG
MEF_19,C89585E4,39.090213,-105.075933,Achileea milifolium,Achillea millefolium,,,MG
MEF_19,C89585E4,39.090213,-105.075933,Ribes CF cereum,Ribes cereum,,,MG
MEF_19,C89585E10,39.090213,-105.075933,Artemisia ludoviciana,Artemisia ludoviciana,,,MG
