Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg10,CB78DBD8,Fri Aug 25 2023 14:19:08 GMT-0600 (Mountain Daylight Time),Not set,900,31597,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Sep 30 2022 11:19:08 GMT-0600 (Mountain Daylight Time),5.7,60.3,-1.4
1,Fri Sep 30 2022 11:34:08 GMT-0600 (Mountain Daylight Time),6.2,58.8,-1.3
2,Fri Sep 30 2022 11:49:08 GMT-0600 (Mountain Daylight Time),6.5,57.6,-1.2
3,Fri Sep 30 2022 12:04:08 GMT-0600 (Mountain Daylight Time),7,60.1,-0.2
4,Fri Sep 30 2022 12:19:08 GMT-0600 (Mountain Daylight Time),10.7,50,0.7
5,Fri Sep 30 2022 12:34:08 GMT-0600 (Mountain Daylight Time),11.4,49.7,1.3
6,Fri Sep 30 2022 12:49:08 GMT-0600 (Mountain Daylight Time),11.6,50.3,1.6
7,Fri Sep 30 2022 13:04:08 GMT-0600 (Mountain Daylight Time),13.2,48.3,2.6
8,Fri Sep 30 2022 13:19:08 GMT-0600 (Mountain Daylight Time),14.5,44,2.4
9,Fri Sep 30 2022 13:34:08 GMT-0600 (Mountain Daylight Time),16.3,41.2,3.2
10,Fri Sep 30 2022 13:49:08 GMT-0600 (Mountain Daylight Time),16.3,37.4,1.8
11,Fri Sep 30 2022 14:04:08 GMT-0600 (Mountain Daylight Time),15.9,38.6,1.9
12,Fri Sep 30 2022 14:19:08 GMT-0600 (Mountain Daylight Time),16.8,40,3.2
13,Fri Sep 30 2022 14:34:08 GMT-0600 (Mountain Daylight Time),16.5,36.4,1.6
14,Fri Sep 30 2022 14:49:08 GMT-0600 (Mountain Daylight Time),16.8,38.8,2.8
15,Fri Sep 30 2022 15:04:08 GMT-0600 (Mountain Daylight Time),16.6,38.5,2.5
16,Fri Sep 30 2022 15:19:08 GMT-0600 (Mountain Daylight Time),16.8,36.5,1.9
17,Fri Sep 30 2022 15:34:08 GMT-0600 (Mountain Daylight Time),17.5,36.7,2.6
18,Fri Sep 30 2022 15:49:08 GMT-0600 (Mountain Daylight Time),16.7,37.1,2
19,Fri Sep 30 2022 16:04:08 GMT-0600 (Mountain Daylight Time),16.9,36.6,2
20,Fri Sep 30 2022 16:19:08 GMT-0600 (Mountain Daylight Time),17.5,34.4,1.7
21,Fri Sep 30 2022 16:34:08 GMT-0600 (Mountain Daylight Time),17.7,34.8,2
22,Fri Sep 30 2022 16:49:08 GMT-0600 (Mountain Daylight Time),16.7,38.2,2.5
23,Fri Sep 30 2022 17:04:08 GMT-0600 (Mountain Daylight Time),16.9,36.7,2.1
24,Fri Sep 30 2022 17:19:08 GMT-0600 (Mountain Daylight Time),16.2,36.6,1.4
25,Fri Sep 30 2022 17:34:08 GMT-0600 (Mountain Daylight Time),15.8,37.9,1.5
26,Fri Sep 30 2022 17:49:08 GMT-0600 (Mountain Daylight Time),16.3,39.1,2.4
27,Fri Sep 30 2022 18:04:08 GMT-0600 (Mountain Daylight Time),16.8,35.4,1.5
28,Fri Sep 30 2022 18:19:08 GMT-0600 (Mountain Daylight Time),17.1,35.2,1.7
29,Fri Sep 30 2022 18:34:08 GMT-0600 (Mountain Daylight Time),15.8,35.9,0.8
30,Fri Sep 30 2022 18:49:08 GMT-0600 (Mountain Daylight Time),16.8,35.7,1.6
31,Fri Sep 30 2022 19:04:08 GMT-0600 (Mountain Daylight Time),17.5,32.6,1
32,Fri Sep 30 2022 19:19:08 GMT-0600 (Mountain Daylight Time),17.5,33.8,1.5
