Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg7,D7816C77,Fri Aug 25 2023 13:40:54 GMT-0600 (Mountain Daylight Time),Not set,900,27272,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Nov 14 2022 10:55:54 GMT-0700 (Mountain Standard Time),3.5,59,-3.8
1,Mon Nov 14 2022 11:10:54 GMT-0700 (Mountain Standard Time),3.7,55.2,-4.5
2,Mon Nov 14 2022 11:25:54 GMT-0700 (Mountain Standard Time),4.1,53.4,-4.5
3,Mon Nov 14 2022 11:40:54 GMT-0700 (Mountain Standard Time),4.3,50.2,-5.2
4,Mon Nov 14 2022 11:55:54 GMT-0700 (Mountain Standard Time),4.4,48.5,-5.5
5,Mon Nov 14 2022 12:10:54 GMT-0700 (Mountain Standard Time),4.5,46.6,-5.9
6,Mon Nov 14 2022 12:25:54 GMT-0700 (Mountain Standard Time),3.9,49.4,-5.7
7,Mon Nov 14 2022 12:40:54 GMT-0700 (Mountain Standard Time),4.1,46.5,-6.3
8,Mon Nov 14 2022 12:55:54 GMT-0700 (Mountain Standard Time),4.4,46.4,-6.1
9,Mon Nov 14 2022 13:10:54 GMT-0700 (Mountain Standard Time),4.4,47,-5.9
10,Mon Nov 14 2022 13:25:54 GMT-0700 (Mountain Standard Time),4.9,41.9,-7
11,Mon Nov 14 2022 13:40:54 GMT-0700 (Mountain Standard Time),5.3,41.1,-6.9
12,Mon Nov 14 2022 13:55:54 GMT-0700 (Mountain Standard Time),5,40.7,-7.3
13,Mon Nov 14 2022 14:10:54 GMT-0700 (Mountain Standard Time),6,37.9,-7.3
14,Mon Nov 14 2022 14:25:54 GMT-0700 (Mountain Standard Time),6.6,37.9,-6.7
15,Mon Nov 14 2022 14:40:54 GMT-0700 (Mountain Standard Time),6.7,37.4,-6.8
16,Mon Nov 14 2022 14:55:54 GMT-0700 (Mountain Standard Time),7.2,36.4,-6.7
17,Mon Nov 14 2022 15:10:54 GMT-0700 (Mountain Standard Time),7.8,39.8,-5
18,Mon Nov 14 2022 15:25:54 GMT-0700 (Mountain Standard Time),8.2,41.1,-4.2
19,Mon Nov 14 2022 15:40:54 GMT-0700 (Mountain Standard Time),8.7,35.4,-5.7
20,Mon Nov 14 2022 15:55:54 GMT-0700 (Mountain Standard Time),9.1,36.1,-5.1
21,Mon Nov 14 2022 16:10:54 GMT-0700 (Mountain Standard Time),11.2,32.7,-4.6
22,Mon Nov 14 2022 16:25:54 GMT-0700 (Mountain Standard Time),12.8,34.1,-2.6
23,Mon Nov 14 2022 16:40:54 GMT-0700 (Mountain Standard Time),11.9,34.7,-3.2
24,Mon Nov 14 2022 16:55:54 GMT-0700 (Mountain Standard Time),12.6,38.7,-1.1
25,Mon Nov 14 2022 17:10:54 GMT-0700 (Mountain Standard Time),14.1,33.1,-1.8
26,Mon Nov 14 2022 17:25:54 GMT-0700 (Mountain Standard Time),15.9,22.7,-5.3
27,Mon Nov 14 2022 17:40:54 GMT-0700 (Mountain Standard Time),15.4,22.3,-6
28,Mon Nov 14 2022 17:55:54 GMT-0700 (Mountain Standard Time),15.6,21.7,-6.2
29,Mon Nov 14 2022 18:10:54 GMT-0700 (Mountain Standard Time),18.2,21.7,-4
30,Mon Nov 14 2022 18:25:54 GMT-0700 (Mountain Standard Time),16.1,22.3,-5.4
31,Mon Nov 14 2022 18:40:54 GMT-0700 (Mountain Standard Time),16.4,22,-5.3
32,Mon Nov 14 2022 18:55:54 GMT-0700 (Mountain Standard Time),16.8,22.6,-4.6
33,Mon Nov 14 2022 19:10:54 GMT-0700 (Mountain Standard Time),15.7,23.9,-4.8
34,Mon Nov 14 2022 19:25:54 GMT-0700 (Mountain Standard Time),16.3,24.4,-4
35,Mon Nov 14 2022 19:40:54 GMT-0700 (Mountain Standard Time),16.4,23.1,-4.7
36,Mon Nov 14 2022 19:55:54 GMT-0700 (Mountain Standard Time),16.8,23.5,-4.1
37,Mon Nov 14 2022 20:10:54 GMT-0700 (Mountain Standard Time),17.4,21.3,-4.9
38,Mon Nov 14 2022 20:25:54 GMT-0700 (Mountain Standard Time),18.3,19.5,-5.3
39,Mon Nov 14 2022 20:40:54 GMT-0700 (Mountain Standard Time),19.2,19,-4.9
40,Mon Nov 14 2022 20:55:54 GMT-0700 (Mountain Standard Time),18.2,20.1,-5
41,Mon Nov 14 2022 21:10:54 GMT-0700 (Mountain Standard Time),16.5,18.9,-7.2
42,Mon Nov 14 2022 21:25:54 GMT-0700 (Mountain Standard Time),16.6,18.9,-7.1
43,Mon Nov 14 2022 21:40:54 GMT-0700 (Mountain Standard Time),17,18.8,-6.9
44,Mon Nov 14 2022 21:55:54 GMT-0700 (Mountain Standard Time),17.2,18.2,-7.1
45,Mon Nov 14 2022 22:10:54 GMT-0700 (Mountain Standard Time),17.3,17,-7.9
46,Mon Nov 14 2022 22:25:54 GMT-0700 (Mountain Standard Time),17.4,20.1,-5.7
47,Mon Nov 14 2022 22:40:54 GMT-0700 (Mountain Standard Time),16.9,20.6,-5.8
48,Mon Nov 14 2022 22:55:54 GMT-0700 (Mountain Standard Time),16.1,21.1,-6.1
49,Mon Nov 14 2022 23:10:54 GMT-0700 (Mountain Standard Time),17.5,18.8,-6.5
50,Mon Nov 14 2022 23:25:54 GMT-0700 (Mountain Standard Time),18.3,19.6,-5.2
51,Mon Nov 14 2022 23:40:54 GMT-0700 (Mountain Standard Time),17.9,19.8,-5.4
52,Mon Nov 14 2022 23:55:54 GMT-0700 (Mountain Standard Time),17.2,19.8,-6
53,Tue Nov 15 2022 00:10:54 GMT-0700 (Mountain Standard Time),16.2,22,-5.5
54,Tue Nov 15 2022 00:25:54 GMT-0700 (Mountain Standard Time),17.7,20.5,-5.2
55,Tue Nov 15 2022 00:40:54 GMT-0700 (Mountain Standard Time),16.5,22.1,-5.2
56,Tue Nov 15 2022 00:55:54 GMT-0700 (Mountain Standard Time),15.2,23.3,-5.6
57,Tue Nov 15 2022 01:10:54 GMT-0700 (Mountain Standard Time),15.1,22.9,-5.9
58,Tue Nov 15 2022 01:25:54 GMT-0700 (Mountain Standard Time),15.3,21.7,-6.4
59,Tue Nov 15 2022 01:40:54 GMT-0700 (Mountain Standard Time),14.8,22,-6.7
60,Tue Nov 15 2022 01:55:54 GMT-0700 (Mountain Standard Time),14.5,21.9,-7
