Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg8,D8CED4EB,Fri Aug 25 2023 14:36:57 GMT-0600 (Mountain Daylight Time),Not set,900,30603,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Oct 10 2022 20:06:57 GMT-0600 (Mountain Daylight Time),11.2,49.3,1
1,Mon Oct 10 2022 20:21:57 GMT-0600 (Mountain Daylight Time),11.6,46.7,0.6
2,Mon Oct 10 2022 20:36:57 GMT-0600 (Mountain Daylight Time),11.4,51.3,1.7
3,Mon Oct 10 2022 20:51:57 GMT-0600 (Mountain Daylight Time),10.6,52.2,1.2
4,Mon Oct 10 2022 21:06:57 GMT-0600 (Mountain Daylight Time),9.9,56,1.6
5,Mon Oct 10 2022 21:21:57 GMT-0600 (Mountain Daylight Time),9.1,61.7,2.2
6,Mon Oct 10 2022 21:36:57 GMT-0600 (Mountain Daylight Time),8.8,63.6,2.3
7,Mon Oct 10 2022 21:51:57 GMT-0600 (Mountain Daylight Time),8.3,65,2.1
8,Mon Oct 10 2022 22:06:57 GMT-0600 (Mountain Daylight Time),8.3,65.3,2.2
9,Mon Oct 10 2022 22:21:57 GMT-0600 (Mountain Daylight Time),8.1,65.3,2
10,Mon Oct 10 2022 22:36:57 GMT-0600 (Mountain Daylight Time),7.9,66,2
11,Mon Oct 10 2022 22:51:57 GMT-0600 (Mountain Daylight Time),7.3,68.1,1.8
12,Mon Oct 10 2022 23:06:57 GMT-0600 (Mountain Daylight Time),7.6,68.2,2.1
13,Mon Oct 10 2022 23:21:57 GMT-0600 (Mountain Daylight Time),7.8,67.6,2.2
14,Mon Oct 10 2022 23:36:57 GMT-0600 (Mountain Daylight Time),7.4,68.5,2
15,Mon Oct 10 2022 23:51:57 GMT-0600 (Mountain Daylight Time),7.4,69.9,2.3
16,Tue Oct 11 2022 00:06:57 GMT-0600 (Mountain Daylight Time),8,67.7,2.4
17,Tue Oct 11 2022 00:21:57 GMT-0600 (Mountain Daylight Time),7.3,69.5,2.1
18,Tue Oct 11 2022 00:36:57 GMT-0600 (Mountain Daylight Time),5.7,76.4,1.9
19,Tue Oct 11 2022 00:51:57 GMT-0600 (Mountain Daylight Time),4.7,80.5,1.6
20,Tue Oct 11 2022 01:06:57 GMT-0600 (Mountain Daylight Time),4.6,82.9,2
21,Tue Oct 11 2022 01:21:57 GMT-0600 (Mountain Daylight Time),4.5,83.3,1.9
22,Tue Oct 11 2022 01:36:57 GMT-0600 (Mountain Daylight Time),3.9,85.4,1.7
23,Tue Oct 11 2022 01:51:57 GMT-0600 (Mountain Daylight Time),3.7,85.8,1.5
24,Tue Oct 11 2022 02:06:57 GMT-0600 (Mountain Daylight Time),4.2,85.8,2
25,Tue Oct 11 2022 02:21:57 GMT-0600 (Mountain Daylight Time),4.5,86.1,2.4
26,Tue Oct 11 2022 02:36:57 GMT-0600 (Mountain Daylight Time),4.9,86.1,2.8
27,Tue Oct 11 2022 02:51:57 GMT-0600 (Mountain Daylight Time),4.4,87.2,2.5
