Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Rsad3,DB01D208,Fri Aug 25 2023 14:32:04 GMT-0600 (Mountain Daylight Time),Not set,900,5384,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Jun 30 2023 12:47:04 GMT-0600 (Mountain Daylight Time),30,40.9,15.4
1,Fri Jun 30 2023 13:02:04 GMT-0600 (Mountain Daylight Time),17.5,57.5,9.1
2,Fri Jun 30 2023 13:17:04 GMT-0600 (Mountain Daylight Time),15.9,64,9.1
3,Fri Jun 30 2023 13:32:04 GMT-0600 (Mountain Daylight Time),16.6,64.7,10
4,Fri Jun 30 2023 13:47:04 GMT-0600 (Mountain Daylight Time),16.3,65.4,9.8
5,Fri Jun 30 2023 14:02:04 GMT-0600 (Mountain Daylight Time),15.3,70.6,10
6,Fri Jun 30 2023 14:17:04 GMT-0600 (Mountain Daylight Time),14.7,74.3,10.2
7,Fri Jun 30 2023 14:32:04 GMT-0600 (Mountain Daylight Time),15,72.8,10.2
8,Fri Jun 30 2023 14:47:04 GMT-0600 (Mountain Daylight Time),15.1,73.3,10.4
9,Fri Jun 30 2023 15:02:04 GMT-0600 (Mountain Daylight Time),16.8,63.5,9.9
10,Fri Jun 30 2023 15:17:04 GMT-0600 (Mountain Daylight Time),17.9,57,9.3
11,Fri Jun 30 2023 15:32:04 GMT-0600 (Mountain Daylight Time),17.9,57.4,9.4
12,Fri Jun 30 2023 15:47:04 GMT-0600 (Mountain Daylight Time),18.1,56.6,9.4
13,Fri Jun 30 2023 16:02:04 GMT-0600 (Mountain Daylight Time),17.7,53.3,8.1
14,Fri Jun 30 2023 16:17:04 GMT-0600 (Mountain Daylight Time),16,58.2,7.8
15,Fri Jun 30 2023 16:32:04 GMT-0600 (Mountain Daylight Time),15.5,60.8,8
16,Fri Jun 30 2023 16:47:04 GMT-0600 (Mountain Daylight Time),15.2,63.4,8.3
17,Fri Jun 30 2023 17:02:04 GMT-0600 (Mountain Daylight Time),15.3,62.4,8.2
18,Fri Jun 30 2023 17:17:04 GMT-0600 (Mountain Daylight Time),15,63.3,8.1
19,Fri Jun 30 2023 17:32:04 GMT-0600 (Mountain Daylight Time),14.7,65.6,8.4
20,Fri Jun 30 2023 17:47:04 GMT-0600 (Mountain Daylight Time),14.1,69.9,8.7
21,Fri Jun 30 2023 18:02:04 GMT-0600 (Mountain Daylight Time),13.1,70.7,7.9
22,Fri Jun 30 2023 18:17:04 GMT-0600 (Mountain Daylight Time),13,74.1,8.5
23,Fri Jun 30 2023 18:32:04 GMT-0600 (Mountain Daylight Time),11.8,84.6,9.3
24,Fri Jun 30 2023 18:47:04 GMT-0600 (Mountain Daylight Time),11,86.6,8.9
25,Fri Jun 30 2023 19:02:04 GMT-0600 (Mountain Daylight Time),10.6,90,9
26,Fri Jun 30 2023 19:17:04 GMT-0600 (Mountain Daylight Time),11.2,87.3,9.2
27,Fri Jun 30 2023 19:32:04 GMT-0600 (Mountain Daylight Time),10.7,83.6,8.1
28,Fri Jun 30 2023 19:47:04 GMT-0600 (Mountain Daylight Time),10,91.3,8.7
29,Fri Jun 30 2023 20:02:04 GMT-0600 (Mountain Daylight Time),10.6,90.6,9.1
30,Fri Jun 30 2023 20:17:04 GMT-0600 (Mountain Daylight Time),10.5,91.2,9.1
31,Fri Jun 30 2023 20:32:04 GMT-0600 (Mountain Daylight Time),10.2,92.6,9.1
32,Fri Jun 30 2023 20:47:04 GMT-0600 (Mountain Daylight Time),10,92.9,8.9
33,Fri Jun 30 2023 21:02:04 GMT-0600 (Mountain Daylight Time),9.9,93.4,8.9
34,Fri Jun 30 2023 21:17:04 GMT-0600 (Mountain Daylight Time),9.8,96.3,9.2
35,Fri Jun 30 2023 21:32:04 GMT-0600 (Mountain Daylight Time),9.6,98.2,9.3
36,Fri Jun 30 2023 21:47:04 GMT-0600 (Mountain Daylight Time),9.6,98.3,9.3
37,Fri Jun 30 2023 22:02:04 GMT-0600 (Mountain Daylight Time),9.6,98.2,9.3
38,Fri Jun 30 2023 22:17:04 GMT-0600 (Mountain Daylight Time),9.6,98.8,9.4
39,Fri Jun 30 2023 22:32:04 GMT-0600 (Mountain Daylight Time),9.6,98.4,9.4
40,Fri Jun 30 2023 22:47:04 GMT-0600 (Mountain Daylight Time),9.7,98.4,9.5
41,Fri Jun 30 2023 23:02:04 GMT-0600 (Mountain Daylight Time),9.7,97,9.2
42,Fri Jun 30 2023 23:17:04 GMT-0600 (Mountain Daylight Time),9.8,95.5,9.1
43,Fri Jun 30 2023 23:32:04 GMT-0600 (Mountain Daylight Time),10.1,95.3,9.4
44,Fri Jun 30 2023 23:47:04 GMT-0600 (Mountain Daylight Time),9.9,95.9,9.3
45,Sat Jul 01 2023 00:02:04 GMT-0600 (Mountain Daylight Time),9.3,97.9,9
46,Sat Jul 01 2023 00:17:04 GMT-0600 (Mountain Daylight Time),9.7,94.6,8.9
47,Sat Jul 01 2023 00:32:04 GMT-0600 (Mountain Daylight Time),9.6,96.2,9
48,Sat Jul 01 2023 00:47:04 GMT-0600 (Mountain Daylight Time),9.5,96.7,9
49,Sat Jul 01 2023 01:02:04 GMT-0600 (Mountain Daylight Time),9.4,96.3,8.8
50,Sat Jul 01 2023 01:17:04 GMT-0600 (Mountain Daylight Time),9.4,96.7,8.9
51,Sat Jul 01 2023 01:32:04 GMT-0600 (Mountain Daylight Time),9.5,95.9,8.9
52,Sat Jul 01 2023 01:47:04 GMT-0600 (Mountain Daylight Time),9.1,97,8.7
53,Sat Jul 01 2023 02:02:04 GMT-0600 (Mountain Daylight Time),9.1,96.2,8.5
54,Sat Jul 01 2023 02:17:04 GMT-0600 (Mountain Daylight Time),8.8,96.9,8.3
55,Sat Jul 01 2023 02:32:04 GMT-0600 (Mountain Daylight Time),8.9,97.2,8.5
56,Sat Jul 01 2023 02:47:04 GMT-0600 (Mountain Daylight Time),8.5,96.3,7.9
57,Sat Jul 01 2023 03:02:04 GMT-0600 (Mountain Daylight Time),8.5,97.2,8.1
58,Sat Jul 01 2023 03:17:04 GMT-0600 (Mountain Daylight Time),8.9,97,8.5
59,Sat Jul 01 2023 03:32:04 GMT-0600 (Mountain Daylight Time),9,96.8,8.5
60,Sat Jul 01 2023 03:47:04 GMT-0600 (Mountain Daylight Time),9.2,96,8.6
61,Sat Jul 01 2023 04:02:04 GMT-0600 (Mountain Daylight Time),9.4,94.4,8.6
