Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,temperatureCalibration,humidityCalibration,pressureCalibration,dewpointCalibration
Rsad5,E826E554,Fri Aug 25 2023 13:47:08 GMT-0600 (Mountain Daylight Time),Not set,900,8264,0,0,Celsius,0,0,0,0
index,date,temperature,humidity,dewpoint,pressure
0,Wed May 31 2023 12:17:08 GMT-0600 (Mountain Daylight Time),2.8,39.7,-9.6,703.4
1,Wed May 31 2023 12:32:08 GMT-0600 (Mountain Daylight Time),2.2,40.6,-9.8,703.4
2,Wed May 31 2023 12:47:08 GMT-0600 (Mountain Daylight Time),1.5,42.3,-10,703.2
3,Wed May 31 2023 13:02:08 GMT-0600 (Mountain Daylight Time),1.4,43.4,-9.7,703.2
4,Wed May 31 2023 13:17:08 GMT-0600 (Mountain Daylight Time),1.1,45.1,-9.5,703.4
5,Wed May 31 2023 13:32:08 GMT-0600 (Mountain Daylight Time),0.6,46.7,-9.5,703.4
6,Wed May 31 2023 13:47:08 GMT-0600 (Mountain Daylight Time),0.7,46.7,-9.4,703.4
7,Wed May 31 2023 14:02:08 GMT-0600 (Mountain Daylight Time),0.7,47.1,-9.3,703.4
8,Wed May 31 2023 14:17:08 GMT-0600 (Mountain Daylight Time),0.8,46.3,-9.4,703.4
9,Wed May 31 2023 14:32:08 GMT-0600 (Mountain Daylight Time),0.4,47.6,-9.5,703.3
10,Wed May 31 2023 14:47:08 GMT-0600 (Mountain Daylight Time),0,50,-9.2,703.3
11,Wed May 31 2023 15:02:08 GMT-0600 (Mountain Daylight Time),-0.1,51.3,-9,703.4
12,Wed May 31 2023 15:17:08 GMT-0600 (Mountain Daylight Time),-0.1,52.9,-8.6,703.3
13,Wed May 31 2023 15:32:08 GMT-0600 (Mountain Daylight Time),-0.2,53.6,-8.5,703.4
14,Wed May 31 2023 15:47:08 GMT-0600 (Mountain Daylight Time),0.9,49.5,-8.5,703.4
15,Wed May 31 2023 16:02:08 GMT-0600 (Mountain Daylight Time),4.7,42.2,-7.1,703.4
16,Wed May 31 2023 16:17:08 GMT-0600 (Mountain Daylight Time),7.6,36.1,-6.5,703.5
17,Wed May 31 2023 16:32:08 GMT-0600 (Mountain Daylight Time),7,34.5,-7.6,703.6
18,Wed May 31 2023 16:47:08 GMT-0600 (Mountain Daylight Time),6.4,36.7,-7.3,703.7
19,Wed May 31 2023 17:02:08 GMT-0600 (Mountain Daylight Time),9,31.9,-6.8,703.9
20,Wed May 31 2023 17:17:08 GMT-0600 (Mountain Daylight Time),9.2,29.9,-7.5,704
21,Wed May 31 2023 17:32:08 GMT-0600 (Mountain Daylight Time),8.9,31.7,-7,704.1
22,Wed May 31 2023 17:47:08 GMT-0600 (Mountain Daylight Time),9.2,29.7,-7.6,704.1
23,Wed May 31 2023 18:02:08 GMT-0600 (Mountain Daylight Time),9.2,31.4,-6.9,704
24,Wed May 31 2023 18:17:08 GMT-0600 (Mountain Daylight Time),9.9,29.9,-6.9,704
25,Wed May 31 2023 18:32:08 GMT-0600 (Mountain Daylight Time),9.7,32.3,-6.1,704
26,Wed May 31 2023 18:47:08 GMT-0600 (Mountain Daylight Time),10.6,29.4,-6.5,704
27,Wed May 31 2023 19:02:08 GMT-0600 (Mountain Daylight Time),10.1,29.6,-6.9,704
28,Wed May 31 2023 19:17:08 GMT-0600 (Mountain Daylight Time),9.9,30.2,-6.8,703.9
29,Wed May 31 2023 19:32:08 GMT-0600 (Mountain Daylight Time),10.2,31.5,-6,703.9
30,Wed May 31 2023 19:47:08 GMT-0600 (Mountain Daylight Time),9.9,34.9,-4.9,703.8
31,Wed May 31 2023 20:02:08 GMT-0600 (Mountain Daylight Time),10.6,31.1,-5.8,703.8
32,Wed May 31 2023 20:17:08 GMT-0600 (Mountain Daylight Time),10.6,29.7,-6.4,703.7
