Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Rsad 4,F9A227FE,Fri Aug 25 2023 13:59:41 GMT-0600 (Mountain Daylight Time),Not set,900,4463,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Mon Jul 10 2023 02:29:41 GMT-0600 (Mountain Daylight Time),29.4,44.6,16.2
1,Mon Jul 10 2023 02:44:41 GMT-0600 (Mountain Daylight Time),19.8,51.3,9.5
2,Mon Jul 10 2023 02:59:41 GMT-0600 (Mountain Daylight Time),15.7,66.7,9.6
3,Mon Jul 10 2023 03:14:41 GMT-0600 (Mountain Daylight Time),15.1,69.9,9.7
4,Mon Jul 10 2023 03:29:41 GMT-0600 (Mountain Daylight Time),14.5,74.2,10
5,Mon Jul 10 2023 03:44:41 GMT-0600 (Mountain Daylight Time),14.2,77.5,10.3
6,Mon Jul 10 2023 03:59:41 GMT-0600 (Mountain Daylight Time),14.2,76.8,10.2
7,Mon Jul 10 2023 04:14:41 GMT-0600 (Mountain Daylight Time),15,72.1,10
8,Mon Jul 10 2023 04:29:41 GMT-0600 (Mountain Daylight Time),16.3,67.7,10.4
9,Mon Jul 10 2023 04:44:41 GMT-0600 (Mountain Daylight Time),16.2,62.4,9.1
10,Mon Jul 10 2023 04:59:41 GMT-0600 (Mountain Daylight Time),16.9,61.7,9.6
11,Mon Jul 10 2023 05:14:41 GMT-0600 (Mountain Daylight Time),16.6,58.3,8.4
12,Mon Jul 10 2023 05:29:41 GMT-0600 (Mountain Daylight Time),15.8,60.2,8.1
13,Mon Jul 10 2023 05:44:41 GMT-0600 (Mountain Daylight Time),15.2,62.7,8.2
14,Mon Jul 10 2023 05:59:41 GMT-0600 (Mountain Daylight Time),15,64,8.3
15,Mon Jul 10 2023 06:14:41 GMT-0600 (Mountain Daylight Time),14.8,66.8,8.7
16,Mon Jul 10 2023 06:29:41 GMT-0600 (Mountain Daylight Time),15.5,63.5,8.6
17,Mon Jul 10 2023 06:44:41 GMT-0600 (Mountain Daylight Time),14.6,67.1,8.6
18,Mon Jul 10 2023 06:59:41 GMT-0600 (Mountain Daylight Time),14.2,70,8.8
19,Mon Jul 10 2023 07:14:41 GMT-0600 (Mountain Daylight Time),13.1,72.4,8.3
20,Mon Jul 10 2023 07:29:41 GMT-0600 (Mountain Daylight Time),12.2,81.3,9.1
21,Mon Jul 10 2023 07:44:41 GMT-0600 (Mountain Daylight Time),11.8,84.8,9.3
22,Mon Jul 10 2023 07:59:41 GMT-0600 (Mountain Daylight Time),10.8,89.3,9.1
23,Mon Jul 10 2023 08:14:41 GMT-0600 (Mountain Daylight Time),10.4,93.7,9.4
24,Mon Jul 10 2023 08:29:41 GMT-0600 (Mountain Daylight Time),10.1,96.6,9.6
25,Mon Jul 10 2023 08:44:41 GMT-0600 (Mountain Daylight Time),10.5,93.2,9.5
26,Mon Jul 10 2023 08:59:41 GMT-0600 (Mountain Daylight Time),9.7,92.4,8.5
27,Mon Jul 10 2023 09:14:41 GMT-0600 (Mountain Daylight Time),9.4,98.7,9.2
28,Mon Jul 10 2023 09:29:41 GMT-0600 (Mountain Daylight Time),10,98.7,9.8
29,Mon Jul 10 2023 09:44:41 GMT-0600 (Mountain Daylight Time),10,97.9,9.7
30,Mon Jul 10 2023 09:59:41 GMT-0600 (Mountain Daylight Time),9.6,98.1,9.3
31,Mon Jul 10 2023 10:14:41 GMT-0600 (Mountain Daylight Time),9.3,99.3,9.2
32,Mon Jul 10 2023 10:29:41 GMT-0600 (Mountain Daylight Time),9.4,100,9.4
33,Mon Jul 10 2023 10:44:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.6
34,Mon Jul 10 2023 10:59:41 GMT-0600 (Mountain Daylight Time),9.6,100,9.8
35,Mon Jul 10 2023 11:14:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.7
36,Mon Jul 10 2023 11:29:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.8
37,Mon Jul 10 2023 11:44:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.8
38,Mon Jul 10 2023 11:59:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.9
39,Mon Jul 10 2023 12:14:41 GMT-0600 (Mountain Daylight Time),9.5,100,9.9
40,Mon Jul 10 2023 12:29:41 GMT-0600 (Mountain Daylight Time),9.4,100,9.8
41,Mon Jul 10 2023 12:44:41 GMT-0600 (Mountain Daylight Time),9.1,100,9.6
42,Mon Jul 10 2023 12:59:41 GMT-0600 (Mountain Daylight Time),9.2,100,9.7
43,Mon Jul 10 2023 13:14:41 GMT-0600 (Mountain Daylight Time),9.2,100,9.7
44,Mon Jul 10 2023 13:29:41 GMT-0600 (Mountain Daylight Time),9.1,100,9.6
45,Mon Jul 10 2023 13:44:41 GMT-0600 (Mountain Daylight Time),8.7,100,9.2
46,Mon Jul 10 2023 13:59:41 GMT-0600 (Mountain Daylight Time),8.7,100,9.3
47,Mon Jul 10 2023 14:14:41 GMT-0600 (Mountain Daylight Time),8.7,100,9.3
48,Mon Jul 10 2023 14:29:41 GMT-0600 (Mountain Daylight Time),8.7,100,9.3
49,Mon Jul 10 2023 14:44:41 GMT-0600 (Mountain Daylight Time),8.7,100,9.3
50,Mon Jul 10 2023 14:59:41 GMT-0600 (Mountain Daylight Time),8.6,100,9.2
51,Mon Jul 10 2023 15:14:41 GMT-0600 (Mountain Daylight Time),8.5,100,9.1
52,Mon Jul 10 2023 15:29:41 GMT-0600 (Mountain Daylight Time),8.5,100,9.1
53,Mon Jul 10 2023 15:44:41 GMT-0600 (Mountain Daylight Time),8.3,100,8.9
54,Mon Jul 10 2023 15:59:41 GMT-0600 (Mountain Daylight Time),8.3,100,8.9
55,Mon Jul 10 2023 16:14:41 GMT-0600 (Mountain Daylight Time),7.9,100,8.5
56,Mon Jul 10 2023 16:29:41 GMT-0600 (Mountain Daylight Time),8,100,8.7
57,Mon Jul 10 2023 16:44:41 GMT-0600 (Mountain Daylight Time),8.3,100,9
58,Mon Jul 10 2023 16:59:41 GMT-0600 (Mountain Daylight Time),8.4,100,9.1
59,Mon Jul 10 2023 17:14:41 GMT-0600 (Mountain Daylight Time),8.4,100,9.1
60,Mon Jul 10 2023 17:29:41 GMT-0600 (Mountain Daylight Time),8.5,100,9.2
61,Mon Jul 10 2023 17:44:41 GMT-0600 (Mountain Daylight Time),8.4,100,9
62,Mon Jul 10 2023 17:59:41 GMT-0600 (Mountain Daylight Time),8.2,100,8.8
