Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg3,C11EE039,Wed Dec 14 2022 14:09:45 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Thu Oct 13 2022 03:24:45 GMT-0600 (Mountain Daylight Time),1.3,84.0,-1.1
1,Thu Oct 13 2022 03:39:45 GMT-0600 (Mountain Daylight Time),3.3,81.4,0.4
2,Thu Oct 13 2022 03:54:45 GMT-0600 (Mountain Daylight Time),4.9,78.8,1.5
3,Thu Oct 13 2022 04:09:45 GMT-0600 (Mountain Daylight Time),6.2,73.9,1.9
4,Thu Oct 13 2022 04:24:45 GMT-0600 (Mountain Daylight Time),7.9,67.9,2.4
5,Thu Oct 13 2022 04:39:45 GMT-0600 (Mountain Daylight Time),8.9,61.7,2.0
6,Thu Oct 13 2022 04:54:45 GMT-0600 (Mountain Daylight Time),11.3,50.6,1.5
7,Thu Oct 13 2022 05:09:45 GMT-0600 (Mountain Daylight Time),12.5,44.3,0.7
8,Thu Oct 13 2022 05:24:45 GMT-0600 (Mountain Daylight Time),14.3,36.8,-0.2
9,Thu Oct 13 2022 05:39:45 GMT-0600 (Mountain Daylight Time),14.2,36.8,-0.3
10,Thu Oct 13 2022 05:54:45 GMT-0600 (Mountain Daylight Time),15.0,34.9,-0.3
11,Thu Oct 13 2022 06:09:45 GMT-0600 (Mountain Daylight Time),15.0,34.1,-0.6
12,Thu Oct 13 2022 06:24:45 GMT-0600 (Mountain Daylight Time),15.2,34.2,-0.4
13,Thu Oct 13 2022 06:39:45 GMT-0600 (Mountain Daylight Time),15.7,33.1,-0.4
14,Thu Oct 13 2022 06:54:45 GMT-0600 (Mountain Daylight Time),15.6,33.6,-0.3
15,Thu Oct 13 2022 07:09:45 GMT-0600 (Mountain Daylight Time),15.6,32.1,-0.9
16,Thu Oct 13 2022 07:24:45 GMT-0600 (Mountain Daylight Time),15.5,31.6,-1.2
17,Thu Oct 13 2022 07:39:45 GMT-0600 (Mountain Daylight Time),15.8,31.9,-0.8
18,Thu Oct 13 2022 07:54:45 GMT-0600 (Mountain Daylight Time),15.9,30.2,-1.5
19,Thu Oct 13 2022 08:09:45 GMT-0600 (Mountain Daylight Time),16.0,30.8,-1.1
20,Thu Oct 13 2022 08:24:45 GMT-0600 (Mountain Daylight Time),16.0,30.9,-1.1
21,Thu Oct 13 2022 08:39:45 GMT-0600 (Mountain Daylight Time),15.9,29.0,-2.1
22,Thu Oct 13 2022 08:54:45 GMT-0600 (Mountain Daylight Time),16.2,27.8,-2.4
23,Thu Oct 13 2022 09:09:45 GMT-0600 (Mountain Daylight Time),16.2,28.2,-2.2
24,Thu Oct 13 2022 09:24:45 GMT-0600 (Mountain Daylight Time),16.4,27.1,-2.5
25,Thu Oct 13 2022 09:39:45 GMT-0600 (Mountain Daylight Time),16.3,27.0,-2.7
26,Thu Oct 13 2022 09:54:45 GMT-0600 (Mountain Daylight Time),16.4,26.6,-2.8
27,Thu Oct 13 2022 10:09:45 GMT-0600 (Mountain Daylight Time),16.5,27.1,-2.4
28,Thu Oct 13 2022 10:24:45 GMT-0600 (Mountain Daylight Time),16.3,26.4,-3.0
29,Thu Oct 13 2022 10:39:45 GMT-0600 (Mountain Daylight Time),16.4,27.6,-2.3
30,Thu Oct 13 2022 10:54:45 GMT-0600 (Mountain Daylight Time),16.3,26.4,-3.0
31,Thu Oct 13 2022 11:09:45 GMT-0600 (Mountain Daylight Time),16.1,25.9,-3.4
32,Thu Oct 13 2022 11:24:45 GMT-0600 (Mountain Daylight Time),15.7,26.3,-3.5
33,Thu Oct 13 2022 11:39:45 GMT-0600 (Mountain Daylight Time),13.5,29.1,-4.1
34,Thu Oct 13 2022 11:54:45 GMT-0600 (Mountain Daylight Time),12.4,31.9,-3.8
35,Thu Oct 13 2022 12:09:45 GMT-0600 (Mountain Daylight Time),11.5,34.0,-3.8
36,Thu Oct 13 2022 12:24:45 GMT-0600 (Mountain Daylight Time),11.1,37.0,-3.0
37,Thu Oct 13 2022 12:39:45 GMT-0600 (Mountain Daylight Time),10.5,37.9,-3.2
38,Thu Oct 13 2022 12:54:45 GMT-0600 (Mountain Daylight Time),8.7,44.4,-2.7
39,Thu Oct 13 2022 13:09:45 GMT-0600 (Mountain Daylight Time),7.4,46.0,-3.5
40,Thu Oct 13 2022 13:24:45 GMT-0600 (Mountain Daylight Time),6.9,48.1,-3.3
41,Thu Oct 13 2022 13:39:45 GMT-0600 (Mountain Daylight Time),6.5,49.1,-3.4
42,Thu Oct 13 2022 13:54:45 GMT-0600 (Mountain Daylight Time),5.6,51.6,-3.6
43,Thu Oct 13 2022 14:09:45 GMT-0600 (Mountain Daylight Time),5.5,52.9,-3.3
44,Thu Oct 13 2022 14:24:45 GMT-0600 (Mountain Daylight Time),3.4,59.2,-3.8
45,Thu Oct 13 2022 14:39:45 GMT-0600 (Mountain Daylight Time),2.7,61.1,-4.0
46,Thu Oct 13 2022 14:54:45 GMT-0600 (Mountain Daylight Time),2.4,63.3,-3.9
47,Thu Oct 13 2022 15:09:45 GMT-0600 (Mountain Daylight Time),3.1,62.5,-3.4
48,Thu Oct 13 2022 15:24:45 GMT-0600 (Mountain Daylight Time),3.5,60.8,-3.4
49,Thu Oct 13 2022 15:39:45 GMT-0600 (Mountain Daylight Time),3.2,61.3,-3.5
50,Thu Oct 13 2022 15:54:45 GMT-0600 (Mountain Daylight Time),3.1,61.0,-3.7
51,Thu Oct 13 2022 16:09:45 GMT-0600 (Mountain Daylight Time),3.0,61.0,-3.8
52,Thu Oct 13 2022 16:24:45 GMT-0600 (Mountain Daylight Time),1.1,64.3,-4.9
53,Thu Oct 13 2022 16:39:45 GMT-0600 (Mountain Daylight Time),1.4,66.2,-4.2
54,Thu Oct 13 2022 16:54:45 GMT-0600 (Mountain Daylight Time),0.9,68.3,-4.3
55,Thu Oct 13 2022 17:09:45 GMT-0600 (Mountain Daylight Time),1.6,66.5,-4.0
56,Thu Oct 13 2022 17:24:45 GMT-0600 (Mountain Daylight Time),0.9,64.1,-5.1
57,Thu Oct 13 2022 17:39:45 GMT-0600 (Mountain Daylight Time),0.2,68.7,-4.9
58,Thu Oct 13 2022 17:54:45 GMT-0600 (Mountain Daylight Time),-0.3,69.7,-5.2
