Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg10,CB78DBD8,Thu Dec 15 2022 11:54:18 GMT-0700 (Mountain Standard Time),Not set,900,6000,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Fri Oct 14 2022 01:09:18 GMT-0600 (Mountain Daylight Time),1.6,60.3,-5.3
1,Fri Oct 14 2022 01:24:18 GMT-0600 (Mountain Daylight Time),1.6,61.5,-5.0
2,Fri Oct 14 2022 01:39:18 GMT-0600 (Mountain Daylight Time),2.5,58.3,-4.9
3,Fri Oct 14 2022 01:54:18 GMT-0600 (Mountain Daylight Time),2.5,56.7,-5.2
4,Fri Oct 14 2022 02:09:18 GMT-0600 (Mountain Daylight Time),2.7,52.6,-6.0
5,Fri Oct 14 2022 02:24:18 GMT-0600 (Mountain Daylight Time),2.7,52.2,-6.1
6,Fri Oct 14 2022 02:39:18 GMT-0600 (Mountain Daylight Time),2.9,50.7,-6.3
7,Fri Oct 14 2022 02:54:18 GMT-0600 (Mountain Daylight Time),3.4,48.1,-6.5
8,Fri Oct 14 2022 03:09:18 GMT-0600 (Mountain Daylight Time),3.2,47.4,-6.9
9,Fri Oct 14 2022 03:24:18 GMT-0600 (Mountain Daylight Time),3.1,47.4,-7.0
10,Fri Oct 14 2022 03:39:18 GMT-0600 (Mountain Daylight Time),3.0,47.4,-7.1
11,Fri Oct 14 2022 03:54:18 GMT-0600 (Mountain Daylight Time),2.8,49.1,-6.8
12,Fri Oct 14 2022 04:09:18 GMT-0600 (Mountain Daylight Time),3.0,49.8,-6.5
13,Fri Oct 14 2022 04:24:18 GMT-0600 (Mountain Daylight Time),3.0,50.2,-6.4
14,Fri Oct 14 2022 04:39:18 GMT-0600 (Mountain Daylight Time),2.7,51.2,-6.4
15,Fri Oct 14 2022 04:54:18 GMT-0600 (Mountain Daylight Time),2.5,52.2,-6.3
16,Fri Oct 14 2022 05:09:18 GMT-0600 (Mountain Daylight Time),1.6,56.0,-6.2
17,Fri Oct 14 2022 05:24:18 GMT-0600 (Mountain Daylight Time),0.7,60.1,-6.2
18,Fri Oct 14 2022 05:39:18 GMT-0600 (Mountain Daylight Time),1.0,60.1,-5.9
19,Fri Oct 14 2022 05:54:18 GMT-0600 (Mountain Daylight Time),1.1,60.1,-5.8
20,Fri Oct 14 2022 06:09:18 GMT-0600 (Mountain Daylight Time),0.6,62.4,-5.8
21,Fri Oct 14 2022 06:24:18 GMT-0600 (Mountain Daylight Time),0.5,62.6,-5.8
22,Fri Oct 14 2022 06:39:18 GMT-0600 (Mountain Daylight Time),0.6,61.9,-5.9
23,Fri Oct 14 2022 06:54:18 GMT-0600 (Mountain Daylight Time),0.5,62.5,-5.8
24,Fri Oct 14 2022 07:09:18 GMT-0600 (Mountain Daylight Time),0.2,64.0,-5.8
25,Fri Oct 14 2022 07:24:18 GMT-0600 (Mountain Daylight Time),0.2,65.1,-5.6
26,Fri Oct 14 2022 07:39:18 GMT-0600 (Mountain Daylight Time),1.8,63.0,-4.5
27,Fri Oct 14 2022 07:54:18 GMT-0600 (Mountain Daylight Time),6.1,52.9,-2.8
28,Fri Oct 14 2022 08:09:18 GMT-0600 (Mountain Daylight Time),8.8,45.3,-2.4
29,Fri Oct 14 2022 08:24:18 GMT-0600 (Mountain Daylight Time),9.4,39.7,-3.6
30,Fri Oct 14 2022 08:39:18 GMT-0600 (Mountain Daylight Time),10.5,40.3,-2.4
31,Fri Oct 14 2022 08:54:18 GMT-0600 (Mountain Daylight Time),11.6,38.5,-2.0
32,Fri Oct 14 2022 09:09:18 GMT-0600 (Mountain Daylight Time),11.6,35.8,-3.0
33,Fri Oct 14 2022 09:24:18 GMT-0600 (Mountain Daylight Time),11.8,36.7,-2.5
34,Fri Oct 14 2022 09:39:18 GMT-0600 (Mountain Daylight Time),12.6,33.8,-2.9
35,Fri Oct 14 2022 09:54:18 GMT-0600 (Mountain Daylight Time),11.4,33.3,-4.2
36,Fri Oct 14 2022 10:09:18 GMT-0600 (Mountain Daylight Time),12.7,30.3,-4.3
37,Fri Oct 14 2022 10:24:18 GMT-0600 (Mountain Daylight Time),12.3,30.5,-4.5
38,Fri Oct 14 2022 10:39:18 GMT-0600 (Mountain Daylight Time),13.0,32.9,-2.9
39,Fri Oct 14 2022 10:54:18 GMT-0600 (Mountain Daylight Time),13.8,32.1,-2.5
40,Fri Oct 14 2022 11:09:18 GMT-0600 (Mountain Daylight Time),13.8,28.3,-4.2
41,Fri Oct 14 2022 11:24:18 GMT-0600 (Mountain Daylight Time),14.4,30.1,-2.9
42,Fri Oct 14 2022 11:39:18 GMT-0600 (Mountain Daylight Time),14.0,30.4,-3.1
43,Fri Oct 14 2022 11:54:18 GMT-0600 (Mountain Daylight Time),14.4,30.4,-2.7
44,Fri Oct 14 2022 12:09:18 GMT-0600 (Mountain Daylight Time),14.1,28.0,-4.1
45,Fri Oct 14 2022 12:24:18 GMT-0600 (Mountain Daylight Time),13.9,27.3,-4.6
46,Fri Oct 14 2022 12:39:18 GMT-0600 (Mountain Daylight Time),13.9,28.5,-4.0
47,Fri Oct 14 2022 12:54:18 GMT-0600 (Mountain Daylight Time),13.9,28.3,-4.1
48,Fri Oct 14 2022 13:09:18 GMT-0600 (Mountain Daylight Time),13.3,26.7,-5.4
49,Fri Oct 14 2022 13:24:18 GMT-0600 (Mountain Daylight Time),13.4,28.6,-4.4
50,Fri Oct 14 2022 13:39:18 GMT-0600 (Mountain Daylight Time),13.3,25.9,-5.8
51,Fri Oct 14 2022 13:54:18 GMT-0600 (Mountain Daylight Time),13.5,26.2,-5.5
52,Fri Oct 14 2022 14:09:18 GMT-0600 (Mountain Daylight Time),13.4,26.0,-5.7
53,Fri Oct 14 2022 14:24:18 GMT-0600 (Mountain Daylight Time),13.4,26.2,-5.6
54,Fri Oct 14 2022 14:39:18 GMT-0600 (Mountain Daylight Time),13.4,25.8,-5.8
55,Fri Oct 14 2022 14:54:18 GMT-0600 (Mountain Daylight Time),12.8,27.5,-5.5
56,Fri Oct 14 2022 15:09:18 GMT-0600 (Mountain Daylight Time),13.2,27.7,-5.0
57,Fri Oct 14 2022 15:24:18 GMT-0600 (Mountain Daylight Time),13.0,28.1,-5.0
58,Fri Oct 14 2022 15:39:18 GMT-0600 (Mountain Daylight Time),12.6,26.6,-6.1
59,Fri Oct 14 2022 15:54:18 GMT-0600 (Mountain Daylight Time),12.6,26.6,-6.1
60,Fri Oct 14 2022 16:09:18 GMT-0600 (Mountain Daylight Time),12.3,28.0,-5.7
