Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
Vg14,D0F5CFB1,Mon Dec 19 2022 15:12:08 GMT-0700 (Mountain Standard Time),Not set,900,7581,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Sat Oct 01 2022 17:12:08 GMT-0600 (Mountain Daylight Time),4.8,100,5.5
1,Sat Oct 01 2022 17:27:08 GMT-0600 (Mountain Daylight Time),4.7,100,5.5
2,Sat Oct 01 2022 17:42:08 GMT-0600 (Mountain Daylight Time),4.7,100,5.6
3,Sat Oct 01 2022 17:57:08 GMT-0600 (Mountain Daylight Time),4.7,100,5.6
4,Sat Oct 01 2022 18:12:08 GMT-0600 (Mountain Daylight Time),4.8,100,5.7
5,Sat Oct 01 2022 18:27:08 GMT-0600 (Mountain Daylight Time),4.9,100,5.7
6,Sat Oct 01 2022 18:42:08 GMT-0600 (Mountain Daylight Time),4.8,100,5.6
7,Sat Oct 01 2022 18:57:08 GMT-0600 (Mountain Daylight Time),4.8,100,5.7
8,Sat Oct 01 2022 19:12:08 GMT-0600 (Mountain Daylight Time),4.9,100,5.8
9,Sat Oct 01 2022 19:27:08 GMT-0600 (Mountain Daylight Time),4.9,100,5.8
10,Sat Oct 01 2022 19:42:08 GMT-0600 (Mountain Daylight Time),5.0,100,5.9
11,Sat Oct 01 2022 19:57:08 GMT-0600 (Mountain Daylight Time),4.9,100,5.8
12,Sat Oct 01 2022 20:12:08 GMT-0600 (Mountain Daylight Time),4.3,100,5.1
13,Sat Oct 01 2022 20:27:08 GMT-0600 (Mountain Daylight Time),4.3,100,5.2
14,Sat Oct 01 2022 20:42:08 GMT-0600 (Mountain Daylight Time),4.5,100,5.5
15,Sat Oct 01 2022 20:57:08 GMT-0600 (Mountain Daylight Time),4.3,100,5.2
16,Sat Oct 01 2022 21:12:08 GMT-0600 (Mountain Daylight Time),3.7,100,4.6
17,Sat Oct 01 2022 21:27:08 GMT-0600 (Mountain Daylight Time),3.2,100,4.1
18,Sat Oct 01 2022 21:42:08 GMT-0600 (Mountain Daylight Time),2.8,100,3.7
19,Sat Oct 01 2022 21:57:08 GMT-0600 (Mountain Daylight Time),2.8,100,3.8
20,Sat Oct 01 2022 22:12:08 GMT-0600 (Mountain Daylight Time),3.1,100,4.2
21,Sat Oct 01 2022 22:27:08 GMT-0600 (Mountain Daylight Time),3.0,100,4.0
22,Sat Oct 01 2022 22:42:08 GMT-0600 (Mountain Daylight Time),2.7,100,3.7
23,Sat Oct 01 2022 22:57:08 GMT-0600 (Mountain Daylight Time),2.4,100,3.4
24,Sat Oct 01 2022 23:12:08 GMT-0600 (Mountain Daylight Time),2.5,100,3.5
25,Sat Oct 01 2022 23:27:08 GMT-0600 (Mountain Daylight Time),2.8,100,3.8
26,Sat Oct 01 2022 23:42:08 GMT-0600 (Mountain Daylight Time),2.3,100,3.3
27,Sat Oct 01 2022 23:57:08 GMT-0600 (Mountain Daylight Time),2.4,100,3.4
28,Sun Oct 02 2022 00:12:08 GMT-0600 (Mountain Daylight Time),2.4,100,3.4
29,Sun Oct 02 2022 00:27:08 GMT-0600 (Mountain Daylight Time),2.4,100,3.5
30,Sun Oct 02 2022 00:42:08 GMT-0600 (Mountain Daylight Time),2.5,100,3.6
31,Sun Oct 02 2022 00:57:08 GMT-0600 (Mountain Daylight Time),2.9,100,4.0
32,Sun Oct 02 2022 01:12:08 GMT-0600 (Mountain Daylight Time),2.9,100,4.0
33,Sun Oct 02 2022 01:27:08 GMT-0600 (Mountain Daylight Time),2.8,100,3.9
34,Sun Oct 02 2022 01:42:08 GMT-0600 (Mountain Daylight Time),2.6,100,3.7
35,Sun Oct 02 2022 01:57:08 GMT-0600 (Mountain Daylight Time),2.6,100,3.7
36,Sun Oct 02 2022 02:12:08 GMT-0600 (Mountain Daylight Time),2.4,100,3.5
37,Sun Oct 02 2022 02:27:08 GMT-0600 (Mountain Daylight Time),2.2,100,3.2
38,Sun Oct 02 2022 02:42:08 GMT-0600 (Mountain Daylight Time),2.0,100,3.0
39,Sun Oct 02 2022 02:57:08 GMT-0600 (Mountain Daylight Time),1.5,100,2.5
40,Sun Oct 02 2022 03:12:08 GMT-0600 (Mountain Daylight Time),1.4,100,2.4
41,Sun Oct 02 2022 03:27:08 GMT-0600 (Mountain Daylight Time),5.3,100,6.2
42,Sun Oct 02 2022 03:42:08 GMT-0600 (Mountain Daylight Time),5.5,99.6,5.4
43,Sun Oct 02 2022 03:57:08 GMT-0600 (Mountain Daylight Time),6.3,94.3,5.5
44,Sun Oct 02 2022 04:12:08 GMT-0600 (Mountain Daylight Time),8.1,87.7,6.2
45,Sun Oct 02 2022 04:27:08 GMT-0600 (Mountain Daylight Time),8.6,87.0,6.6
46,Sun Oct 02 2022 04:42:08 GMT-0600 (Mountain Daylight Time),8.8,87.5,6.8
47,Sun Oct 02 2022 04:57:08 GMT-0600 (Mountain Daylight Time),8.2,86.6,6.1
48,Sun Oct 02 2022 05:12:08 GMT-0600 (Mountain Daylight Time),7.2,95.0,6.5
49,Sun Oct 02 2022 05:27:08 GMT-0600 (Mountain Daylight Time),7.4,95.2,6.7
50,Sun Oct 02 2022 05:42:08 GMT-0600 (Mountain Daylight Time),8.0,89.2,6.3
51,Sun Oct 02 2022 05:57:08 GMT-0600 (Mountain Daylight Time),8.2,85.4,5.9
52,Sun Oct 02 2022 06:12:08 GMT-0600 (Mountain Daylight Time),8.3,85.0,5.9
53,Sun Oct 02 2022 06:27:08 GMT-0600 (Mountain Daylight Time),8.8,86.4,6.7
54,Sun Oct 02 2022 06:42:08 GMT-0600 (Mountain Daylight Time),8.9,83.7,6.3
55,Sun Oct 02 2022 06:57:08 GMT-0600 (Mountain Daylight Time),9.1,85.3,6.8
56,Sun Oct 02 2022 07:12:08 GMT-0600 (Mountain Daylight Time),9.2,85.7,6.9
57,Sun Oct 02 2022 07:27:08 GMT-0600 (Mountain Daylight Time),10.4,80.9,7.3
58,Sun Oct 02 2022 07:42:08 GMT-0600 (Mountain Daylight Time),12.0,77.5,8.2
59,Sun Oct 02 2022 07:57:08 GMT-0600 (Mountain Daylight Time),10.7,78.6,7.2
60,Sun Oct 02 2022 08:12:08 GMT-0600 (Mountain Daylight Time),11.0,78.4,7.4
61,Sun Oct 02 2022 08:27:08 GMT-0600 (Mountain Daylight Time),9.7,81.8,6.8
62,Sun Oct 02 2022 08:42:08 GMT-0600 (Mountain Daylight Time),8.2,91.7,6.9
63,Sun Oct 02 2022 08:57:08 GMT-0600 (Mountain Daylight Time),8.1,97.7,7.8
64,Sun Oct 02 2022 09:12:08 GMT-0600 (Mountain Daylight Time),7.7,91.8,6.5
65,Sun Oct 02 2022 09:27:08 GMT-0600 (Mountain Daylight Time),7.1,95.5,6.4
66,Sun Oct 02 2022 09:42:08 GMT-0600 (Mountain Daylight Time),6.8,96.8,6.3
67,Sun Oct 02 2022 09:57:08 GMT-0600 (Mountain Daylight Time),6.9,97.2,6.5
68,Sun Oct 02 2022 10:12:08 GMT-0600 (Mountain Daylight Time),6.4,97.9,6.1
69,Sun Oct 02 2022 10:27:08 GMT-0600 (Mountain Daylight Time),5.1,100,5.5
70,Sun Oct 02 2022 10:42:08 GMT-0600 (Mountain Daylight Time),5.7,100,6.4
71,Sun Oct 02 2022 10:57:08 GMT-0600 (Mountain Daylight Time),6.6,100,7.3
72,Sun Oct 02 2022 11:12:08 GMT-0600 (Mountain Daylight Time),6.7,100,7.1
73,Sun Oct 02 2022 11:27:08 GMT-0600 (Mountain Daylight Time),7.2,100,7.3
74,Sun Oct 02 2022 11:42:08 GMT-0600 (Mountain Daylight Time),7.6,93.4,6.6
75,Sun Oct 02 2022 11:57:08 GMT-0600 (Mountain Daylight Time),7.9,96.7,7.4
76,Sun Oct 02 2022 12:12:08 GMT-0600 (Mountain Daylight Time),7.9,97.0,7.5
77,Sun Oct 02 2022 12:27:08 GMT-0600 (Mountain Daylight Time),7.1,95.3,6.4
78,Sun Oct 02 2022 12:42:08 GMT-0600 (Mountain Daylight Time),6.5,98.5,6.3
79,Sun Oct 02 2022 12:57:08 GMT-0600 (Mountain Daylight Time),5.7,100,5.8
80,Sun Oct 02 2022 13:12:08 GMT-0600 (Mountain Daylight Time),5.4,100,5.5
81,Sun Oct 02 2022 13:27:08 GMT-0600 (Mountain Daylight Time),5.4,100,5.7
82,Sun Oct 02 2022 13:42:08 GMT-0600 (Mountain Daylight Time),5.4,100,5.7
83,Sun Oct 02 2022 13:57:08 GMT-0600 (Mountain Daylight Time),5.0,100,5.5
84,Sun Oct 02 2022 14:12:08 GMT-0600 (Mountain Daylight Time),4.6,100,5.2
85,Sun Oct 02 2022 14:27:08 GMT-0600 (Mountain Daylight Time),4.5,100,5.2
86,Sun Oct 02 2022 14:42:08 GMT-0600 (Mountain Daylight Time),4.4,100,5.2
87,Sun Oct 02 2022 14:57:08 GMT-0600 (Mountain Daylight Time),4.2,100,5.0
88,Sun Oct 02 2022 15:12:08 GMT-0600 (Mountain Daylight Time),4.1,100,4.8
89,Sun Oct 02 2022 15:27:08 GMT-0600 (Mountain Daylight Time),3.6,100,4.3
90,Sun Oct 02 2022 15:42:08 GMT-0600 (Mountain Daylight Time),3.2,100,3.9
91,Sun Oct 02 2022 15:57:08 GMT-0600 (Mountain Daylight Time),3.0,100,3.8
