Name,Device_ID,Download_Date,Reference_Date,Log_Interval,Log_Count,Location_Lat,Location_Lng,Temp_Units,Temp_Calibration,Hum_Calibration,Dewpoint_Calibration
VG 16,ED363284,Mon Dec 19 2022 15:10:11 GMT-0700 (Mountain Standard Time),Not set,900,5131,0,0,Celsius,0,0,0
index,date,temperature,humidity,dewpoint
0,Thu Oct 27 2022 05:40:11 GMT-0600 (Mountain Daylight Time),26.9,43.1,13.4
1,Thu Oct 27 2022 05:55:11 GMT-0600 (Mountain Daylight Time),16.0,68.7,10.3
2,Thu Oct 27 2022 06:10:11 GMT-0600 (Mountain Daylight Time),17.0,66.1,10.7
3,Thu Oct 27 2022 06:25:11 GMT-0600 (Mountain Daylight Time),15.4,68.4,9.7
4,Thu Oct 27 2022 06:40:11 GMT-0600 (Mountain Daylight Time),16.1,67.7,10.2
5,Thu Oct 27 2022 06:55:11 GMT-0600 (Mountain Daylight Time),15.1,67.5,9.2
6,Thu Oct 27 2022 07:10:11 GMT-0600 (Mountain Daylight Time),14.0,69.9,8.6
7,Thu Oct 27 2022 07:25:11 GMT-0600 (Mountain Daylight Time),13.8,68.6,8.2
8,Thu Oct 27 2022 07:40:11 GMT-0600 (Mountain Daylight Time),13.1,78.2,9.4
9,Thu Oct 27 2022 07:55:11 GMT-0600 (Mountain Daylight Time),13.8,76.5,9.8
10,Thu Oct 27 2022 08:10:11 GMT-0600 (Mountain Daylight Time),12.2,80.2,8.9
11,Thu Oct 27 2022 08:25:11 GMT-0600 (Mountain Daylight Time),11.9,87.9,10.0
12,Thu Oct 27 2022 08:40:11 GMT-0600 (Mountain Daylight Time),12.3,87.2,10.2
13,Thu Oct 27 2022 08:55:11 GMT-0600 (Mountain Daylight Time),12.1,85.0,9.7
14,Thu Oct 27 2022 09:10:11 GMT-0600 (Mountain Daylight Time),11.3,91.4,10.0
15,Thu Oct 27 2022 09:25:11 GMT-0600 (Mountain Daylight Time),11.6,95.2,10.9
16,Thu Oct 27 2022 09:40:11 GMT-0600 (Mountain Daylight Time),11.7,92.8,10.6
17,Thu Oct 27 2022 09:55:11 GMT-0600 (Mountain Daylight Time),11.7,94.7,10.9
18,Thu Oct 27 2022 10:10:11 GMT-0600 (Mountain Daylight Time),11.6,96.3,11.0
19,Thu Oct 27 2022 10:25:11 GMT-0600 (Mountain Daylight Time),11.2,89.6,9.6
20,Thu Oct 27 2022 10:40:11 GMT-0600 (Mountain Daylight Time),10.2,95.2,9.5
21,Thu Oct 27 2022 10:55:11 GMT-0600 (Mountain Daylight Time),10.1,96.7,9.6
22,Thu Oct 27 2022 11:10:11 GMT-0600 (Mountain Daylight Time),9.4,100,9.4
23,Thu Oct 27 2022 11:25:11 GMT-0600 (Mountain Daylight Time),9.4,96.4,8.9
24,Thu Oct 27 2022 11:40:11 GMT-0600 (Mountain Daylight Time),9.0,96.6,8.5
25,Thu Oct 27 2022 11:55:11 GMT-0600 (Mountain Daylight Time),8.8,100.0,8.8
26,Thu Oct 27 2022 12:10:11 GMT-0600 (Mountain Daylight Time),9.1,99.5,9.0
27,Thu Oct 27 2022 12:25:11 GMT-0600 (Mountain Daylight Time),9.6,95.3,8.9
28,Thu Oct 27 2022 12:40:11 GMT-0600 (Mountain Daylight Time),9.5,98.5,9.3
29,Thu Oct 27 2022 12:55:11 GMT-0600 (Mountain Daylight Time),9.4,99.3,9.3
30,Thu Oct 27 2022 13:10:11 GMT-0600 (Mountain Daylight Time),9.2,100,9.4
31,Thu Oct 27 2022 13:25:11 GMT-0600 (Mountain Daylight Time),9.5,100,9.6
32,Thu Oct 27 2022 13:40:11 GMT-0600 (Mountain Daylight Time),9.5,98.3,9.2
33,Thu Oct 27 2022 13:55:11 GMT-0600 (Mountain Daylight Time),9.7,95.9,9.1
34,Thu Oct 27 2022 14:10:11 GMT-0600 (Mountain Daylight Time),9.6,97.6,9.2
35,Thu Oct 27 2022 14:25:11 GMT-0600 (Mountain Daylight Time),9.2,99.1,9.1
36,Thu Oct 27 2022 14:40:11 GMT-0600 (Mountain Daylight Time),9.4,97.7,9.1
37,Thu Oct 27 2022 14:55:11 GMT-0600 (Mountain Daylight Time),9.0,100,9.2
38,Thu Oct 27 2022 15:10:11 GMT-0600 (Mountain Daylight Time),9.3,100,9.5
39,Thu Oct 27 2022 15:25:11 GMT-0600 (Mountain Daylight Time),10.1,94.6,9.3
40,Thu Oct 27 2022 15:40:11 GMT-0600 (Mountain Daylight Time),10.1,92.5,8.9
41,Thu Oct 27 2022 15:55:11 GMT-0600 (Mountain Daylight Time),9.9,94.1,9.0
42,Thu Oct 27 2022 16:10:11 GMT-0600 (Mountain Daylight Time),9.3,95.0,8.5
43,Thu Oct 27 2022 16:25:11 GMT-0600 (Mountain Daylight Time),9.2,93.9,8.3
44,Thu Oct 27 2022 16:40:11 GMT-0600 (Mountain Daylight Time),9.3,93.3,8.3
45,Thu Oct 27 2022 16:55:11 GMT-0600 (Mountain Daylight Time),8.9,95.3,8.2
46,Thu Oct 27 2022 17:10:11 GMT-0600 (Mountain Daylight Time),8.9,94.8,8.1
47,Thu Oct 27 2022 17:25:11 GMT-0600 (Mountain Daylight Time),9.1,94.3,8.2
48,Thu Oct 27 2022 17:40:11 GMT-0600 (Mountain Daylight Time),9.4,92.1,8.2
49,Thu Oct 27 2022 17:55:11 GMT-0600 (Mountain Daylight Time),9.1,94.3,8.2
50,Thu Oct 27 2022 18:10:11 GMT-0600 (Mountain Daylight Time),9.5,92.8,8.4
51,Thu Oct 27 2022 18:25:11 GMT-0600 (Mountain Daylight Time),9.3,94.3,8.4
52,Thu Oct 27 2022 18:40:11 GMT-0600 (Mountain Daylight Time),8.9,95.8,8.3
53,Thu Oct 27 2022 18:55:11 GMT-0600 (Mountain Daylight Time),8.8,97.2,8.4
54,Thu Oct 27 2022 19:10:11 GMT-0600 (Mountain Daylight Time),9.1,95.6,8.4
55,Thu Oct 27 2022 19:25:11 GMT-0600 (Mountain Daylight Time),9.3,94.9,8.5
56,Thu Oct 27 2022 19:40:11 GMT-0600 (Mountain Daylight Time),9.4,94.2,8.5
57,Thu Oct 27 2022 19:55:11 GMT-0600 (Mountain Daylight Time),8.4,96.6,7.9
58,Thu Oct 27 2022 20:10:11 GMT-0600 (Mountain Daylight Time),8.0,97.8,7.7
59,Thu Oct 27 2022 20:25:11 GMT-0600 (Mountain Daylight Time),8.7,94.6,7.9
60,Thu Oct 27 2022 20:40:11 GMT-0600 (Mountain Daylight Time),8.6,95.2,7.9
61,Thu Oct 27 2022 20:55:11 GMT-0600 (Mountain Daylight Time),8.8,96.8,8.3
62,Thu Oct 27 2022 21:10:11 GMT-0600 (Mountain Daylight Time),8.7,97.2,8.3
63,Thu Oct 27 2022 21:25:11 GMT-0600 (Mountain Daylight Time),8.7,96.8,8.2
64,Thu Oct 27 2022 21:40:11 GMT-0600 (Mountain Daylight Time),8.7,95.7,8.1
65,Thu Oct 27 2022 21:55:11 GMT-0600 (Mountain Daylight Time),8.5,94.8,7.7
66,Thu Oct 27 2022 22:10:11 GMT-0600 (Mountain Daylight Time),9.0,90.7,7.6
67,Thu Oct 27 2022 22:25:11 GMT-0600 (Mountain Daylight Time),8.8,92.1,7.6
68,Thu Oct 27 2022 22:40:11 GMT-0600 (Mountain Daylight Time),8.3,93.9,7.4
69,Thu Oct 27 2022 22:55:11 GMT-0600 (Mountain Daylight Time),8.7,95.8,8.1
70,Thu Oct 27 2022 23:10:11 GMT-0600 (Mountain Daylight Time),11.3,83.4,8.6
71,Thu Oct 27 2022 23:25:11 GMT-0600 (Mountain Daylight Time),12.0,83.8,9.4
72,Thu Oct 27 2022 23:40:11 GMT-0600 (Mountain Daylight Time),12.2,85.9,9.9
73,Thu Oct 27 2022 23:55:11 GMT-0600 (Mountain Daylight Time),12.5,85.5,10.1
74,Fri Oct 28 2022 00:10:11 GMT-0600 (Mountain Daylight Time),11.8,88.9,10.0
75,Fri Oct 28 2022 00:25:11 GMT-0600 (Mountain Daylight Time),14.2,79.8,10.8
76,Fri Oct 28 2022 00:40:11 GMT-0600 (Mountain Daylight Time),13.1,83.1,10.3
77,Fri Oct 28 2022 00:55:11 GMT-0600 (Mountain Daylight Time),14.5,65.3,8.1
78,Fri Oct 28 2022 01:10:11 GMT-0600 (Mountain Daylight Time),15.0,60.7,7.5
79,Fri Oct 28 2022 01:25:11 GMT-0600 (Mountain Daylight Time),14.7,61.3,7.4
80,Fri Oct 28 2022 01:40:11 GMT-0600 (Mountain Daylight Time),15.6,56.3,7.0
81,Fri Oct 28 2022 01:55:11 GMT-0600 (Mountain Daylight Time),14.8,58.1,6.7
82,Fri Oct 28 2022 02:10:11 GMT-0600 (Mountain Daylight Time),14.7,59.0,6.8
83,Fri Oct 28 2022 02:25:11 GMT-0600 (Mountain Daylight Time),14.7,60.7,7.2
84,Fri Oct 28 2022 02:40:11 GMT-0600 (Mountain Daylight Time),14.6,65.0,8.1
85,Fri Oct 28 2022 02:55:11 GMT-0600 (Mountain Daylight Time),14.9,64.2,8.2
86,Fri Oct 28 2022 03:10:11 GMT-0600 (Mountain Daylight Time),14.8,64.1,8.1
87,Fri Oct 28 2022 03:25:11 GMT-0600 (Mountain Daylight Time),15.1,62.2,8.0
88,Fri Oct 28 2022 03:40:11 GMT-0600 (Mountain Daylight Time),15.0,60.0,7.3
89,Fri Oct 28 2022 03:55:11 GMT-0600 (Mountain Daylight Time),15.7,60.5,8.1
90,Fri Oct 28 2022 04:10:11 GMT-0600 (Mountain Daylight Time),15.9,58.7,7.9
91,Fri Oct 28 2022 04:25:11 GMT-0600 (Mountain Daylight Time),16.6,59.5,8.7
92,Fri Oct 28 2022 04:40:11 GMT-0600 (Mountain Daylight Time),16.5,49.8,6.0
93,Fri Oct 28 2022 04:55:11 GMT-0600 (Mountain Daylight Time),16.2,53.4,6.8
94,Fri Oct 28 2022 05:10:11 GMT-0600 (Mountain Daylight Time),16.2,50.8,6.1
95,Fri Oct 28 2022 05:25:11 GMT-0600 (Mountain Daylight Time),16.2,54.4,7.0
96,Fri Oct 28 2022 05:40:11 GMT-0600 (Mountain Daylight Time),15.9,54.0,6.7
97,Fri Oct 28 2022 05:55:11 GMT-0600 (Mountain Daylight Time),16.9,51.7,7.0
98,Fri Oct 28 2022 06:10:11 GMT-0600 (Mountain Daylight Time),16.8,51.4,6.8
99,Fri Oct 28 2022 06:25:11 GMT-0600 (Mountain Daylight Time),16.7,44.7,4.7
100,Fri Oct 28 2022 06:40:11 GMT-0600 (Mountain Daylight Time),16.2,49.0,5.5
101,Fri Oct 28 2022 06:55:11 GMT-0600 (Mountain Daylight Time),16.2,48.6,5.4
102,Fri Oct 28 2022 07:10:11 GMT-0600 (Mountain Daylight Time),16.4,43.4,4.0
103,Fri Oct 28 2022 07:25:11 GMT-0600 (Mountain Daylight Time),16.0,46.1,4.5
104,Fri Oct 28 2022 07:40:11 GMT-0600 (Mountain Daylight Time),16.2,48.6,5.4
105,Fri Oct 28 2022 07:55:11 GMT-0600 (Mountain Daylight Time),16.8,48.0,5.8
106,Fri Oct 28 2022 08:10:11 GMT-0600 (Mountain Daylight Time),15.9,50.0,5.5
107,Fri Oct 28 2022 08:25:11 GMT-0600 (Mountain Daylight Time),15.6,49.2,5.0
108,Fri Oct 28 2022 08:40:11 GMT-0600 (Mountain Daylight Time),15.4,50.6,5.3
109,Fri Oct 28 2022 08:55:11 GMT-0600 (Mountain Daylight Time),15.1,52.2,5.4
110,Fri Oct 28 2022 09:10:11 GMT-0600 (Mountain Daylight Time),14.9,51.3,5.0
111,Fri Oct 28 2022 09:25:11 GMT-0600 (Mountain Daylight Time),14.5,55.2,5.7
112,Fri Oct 28 2022 09:40:11 GMT-0600 (Mountain Daylight Time),14.1,55.7,5.4
113,Fri Oct 28 2022 09:55:11 GMT-0600 (Mountain Daylight Time),13.4,54.4,4.4
114,Fri Oct 28 2022 10:10:11 GMT-0600 (Mountain Daylight Time),12.7,60.8,5.4
115,Fri Oct 28 2022 10:25:11 GMT-0600 (Mountain Daylight Time),12.1,62.1,5.1
116,Fri Oct 28 2022 10:40:11 GMT-0600 (Mountain Daylight Time),11.5,61.7,4.4
117,Fri Oct 28 2022 10:55:11 GMT-0600 (Mountain Daylight Time),10.4,67.4,4.6
118,Fri Oct 28 2022 11:10:11 GMT-0600 (Mountain Daylight Time),10.1,67.4,4.4
119,Fri Oct 28 2022 11:25:11 GMT-0600 (Mountain Daylight Time),9.6,67.2,3.8
120,Fri Oct 28 2022 11:40:11 GMT-0600 (Mountain Daylight Time),8.9,72.3,4.2
121,Fri Oct 28 2022 11:55:11 GMT-0600 (Mountain Daylight Time),8.8,71.9,4.0
122,Fri Oct 28 2022 12:10:11 GMT-0600 (Mountain Daylight Time),8.6,74.1,4.3
123,Fri Oct 28 2022 12:25:11 GMT-0600 (Mountain Daylight Time),8.7,72.3,4.0
124,Fri Oct 28 2022 12:40:11 GMT-0600 (Mountain Daylight Time),8.9,69.7,3.7
125,Fri Oct 28 2022 12:55:11 GMT-0600 (Mountain Daylight Time),8.9,68.6,3.5
126,Fri Oct 28 2022 13:10:11 GMT-0600 (Mountain Daylight Time),8.5,71.6,3.7
